swe_id	source_req_id	hmi_source_id	key_hit	sys1_nrl	sys1_outline	desc_verdict	similarity
SWE1-HMI-001	SYS-HMI-RA-PHONE-016	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.1	YES	NRL-127932	1.2.1	NEAR	0.903
SWE1-HMI-002	SYS-HMI-RA-PHONE-017	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.2	YES	NRL-127933	1.2.2	NEAR	0.931
SWE1-HMI-003	SYS-HMI-RA-PHONE-018	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.3	YES	NRL-127934	1.2.3	EXACT	1.000
SWE1-HMI-004	SYS-HMI-RA-PHONE-019	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.4	YES	NRL-127935	1.2.4	EXACT	1.000
SWE1-HMI-005	SYS-HMI-RA-PHONE-021	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.6	YES	NRL-349292	1.2.6	EXACT	1.000
SWE1-HMI-006	SYS-HMI-RA-PHONE-022	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.7	YES	NRL-127937	1.2.7	EXACT	1.000
SWE1-HMI-007	SYS-HMI-RA-PHONE-023	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.8	YES	NRL-127938	1.2.8	EXACT	1.000
SWE1-HMI-008	SYS-HMI-RA-PHONE-024	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.9	YES	NRL-127939	1.2.9	EXACT	1.000
SWE1-HMI-009	SYS-HMI-RA-PHONE-025	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.10	YES	NRL-127940	1.2.10	EXACT	1.000
SWE1-HMI-010	SYS-HMI-RA-PHONE-029	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.2.1	YES	NRL-127944	2.2.1	EXACT	1.000
SWE1-HMI-011	SYS-HMI-RA-PHONE-031	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.3	YES	NRL-127946	2.3	EXACT	1.000
SWE1-HMI-012	SYS-HMI-RA-PHONE-032	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.3.1	YES	NRL-127947	2.3.1	EXACT	1.000
SWE1-HMI-013	SYS-HMI-RA-PHONE-034	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.5	YES	NRL-127949	2.5	EXACT	1.000
SWE1-HMI-014	SYS-HMI-RA-PHONE-035	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.5.1	YES	NRL-127950	2.5.1	EXACT	1.000
SWE1-HMI-015	SYS-HMI-RA-PHONE-036	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.5.2	YES	NRL-127951	2.5.2	EXACT	1.000
SWE1-HMI-016	SYS-HMI-RA-PHONE-037	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.5.3	YES	NRL-396174	2.5.3	EXACT	1.000
SWE1-HMI-017	SYS-HMI-RA-PHONE-038	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.6	YES	NRL-127952	2.6	EXACT	1.000
SWE1-HMI-018	SYS-HMI-RA-PHONE-039	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.6.1	YES	NRL-127953	2.6.1	EXACT	1.000
SWE1-HMI-019	SYS-HMI-RA-PHONE-041	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_3.1	YES	NRL-127955	3.1	EXACT	1.000
SWE1-HMI-020	SYS-HMI-RA-PHONE-042	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_3.2	YES	NRL-127956	3.2	EXACT	1.000
SWE1-HMI-021	SYS-HMI-RA-PHONE-043	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_4	YES	NRL-127957	4	EXACT	1.000
SWE1-HMI-022	SYS-HMI-RA-PHONE-044	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_4.1	YES	NRL-127958	4.1	EXACT	1.000
SWE1-HMI-023	SYS-HMI-RA-PHONE-046	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.1	YES	NRL-127960	5.1	EXACT	1.000
