swe_id	source_req_id	hmi_source_id	class	first_token	description_head
SWE1-HMI-003-02	SYS-HMI-RA-PHONE-018	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.3	L3_非動詞連接	during	The system shall during an active Projection session, only that device will have active phone functions except CarLife.
SWE1-HMI-004	SYS-HMI-RA-PHONE-019	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.4	L3_非動詞連接	the	The system shall the Phone section will display phonebooks individually (not merged) with a method for users to toggle between both phonebooks.
SWE1-HMI-005	SYS-HMI-RA-PHONE-021	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.6	L3_非動詞連接	the	The system shall the “active” phone is defined as the connected phone with active phonebook.
SWE1-HMI-006	SYS-HMI-RA-PHONE-022	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.7	L3_非動詞連接	switching	The system shall switching to a new phonebook switches to a new “active” phone.
SWE1-HMI-007	SYS-HMI-RA-PHONE-023	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.8	L3_非動詞連接	the	The system shall the term “Multiphone” refers to having two connected phones at the same time.
SWE1-HMI-008	SYS-HMI-RA-PHONE-024	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.9	L3_非動詞連接	multiphone	The system shall multiphone feature allows Phone functions (calls, texts) for two phones (but not BTSA for two phones)
SWE1-HMI-009	SYS-HMI-RA-PHONE-025	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_1.2.10	L3_非動詞連接	if	The system shall if user attempts to place a 3rd call while there are 2 connected calls, the system shall block it from dialing out.
SWE1-HMI-010-01	SYS-HMI-RA-PHONE-029	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.2.1	L1_標籤殘留	pHCAT1.1)	The system shall pHCAT1.1) Current Call tab will be displayed when a call is initiated, answered, active, or recently ended in the respective Connected Phone Tab until there are no active calls currently on through that device, in which case the Current Call tab will no longer be visible to the customer.
SWE1-HMI-010-02	SYS-HMI-RA-PHONE-029	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.2.1	L3_非動詞連接	for	"The system shall for R1 Low 7"" the “devices” tab will change to the “Call” tab when a call is active."
SWE1-HMI-010-03	SYS-HMI-RA-PHONE-029	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.2.1	L3_非動詞連接	after	The system shall after the calls ends, the Call tab will be replaced by the Devices tab again.
SWE1-HMI-011-01	SYS-HMI-RA-PHONE-031	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.3	L3_非動詞連接	if	The system shall if no Phones connected, the Phone Category Domain screen will 1st show popup PU0065 and, if cleared, show text “Go to Device Manager to add or connect a phone.” (see Bluetooth Pairing page for more detail).
SWE1-HMI-011-02	SYS-HMI-RA-PHONE-031	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.3	L3_非動詞連接	only	The system shall only the Device Manager button will be selectable.
SWE1-HMI-011-03	SYS-HMI-RA-PHONE-031	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.3	L3_非動詞連接	grey	The system shall grey out the tabs (“Keypad”, “Recent”, “Favorites”, “Contacts”, and “Messages”) and do not show the Connected Phone tab).
SWE1-HMI-011-04	SYS-HMI-RA-PHONE-031	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.3	L3_非動詞連接	for	The system shall for R1 High, only display PU0065 in this scenario when there are no paired phones.
SWE1-HMI-012-01	SYS-HMI-RA-PHONE-032	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.3.1	L1_標籤殘留	pHCAT2.1)	The system shall pHCAT2.1) If zero (0) or one (1) Bluetooth (BT) Phone is connected, only one Connected Phone Tab will be present.
SWE1-HMI-012-02	SYS-HMI-RA-PHONE-032	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.3.1	L3_非動詞連接	the	The system shall the second Connected Phone tab will only appear if the Setting to enable “Two Connected Phones..” is On and a second BT Phone is connected.
SWE1-HMI-013-01	SYS-HMI-RA-PHONE-034	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.5	L3_非動詞連接	the	The system shall the Connected Phone Tab that is active will be highlighted.
SWE1-HMI-013-02	SYS-HMI-RA-PHONE-034	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.5	L3_非動詞連接	if	The system shall if the user switches to the second Connected Phone Tab, the previous Connected Phone Tab will no longer be highlighted and the newly selected Connected Phone Tab will be highlighted.
SWE1-HMI-013-03	SYS-HMI-RA-PHONE-034	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.5	L3_非動詞連接	the	"The system shall the Favorites, Recent, Contacts, Keypad, Messages, and Current Call tabs (For R1 Low 7"" also “Devices/Call” tab) will only be applicable to the selected/highlighted/active Connected Phone Tab."
SWE1-HMI-013-04	SYS-HMI-RA-PHONE-034	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.5	L3_非動詞連接	while	The system shall while on an active call on one Phone and user switches to the other Phone tab, the Current Call tab will not be present.
SWE1-HMI-014-01	SYS-HMI-RA-PHONE-035	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.5.1	L1_標籤殘留	pHCAT3.1)	The system shall pHCAT3.1) If two BT phones are connected and the first (left most Connected Phone Tab) BT Phone is disconnected, second BT phone will move to that tab.
SWE1-HMI-014-02	SYS-HMI-RA-PHONE-035	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.5.1	L3_非動詞連接	if	The system shall if a third phone has already been paired and is able to be connected, the Connected Phone Tab on the right will populate with that phone (“last in” connected Phone that is not already showing in the Phone Category).
SWE1-HMI-015	SYS-HMI-RA-PHONE-036	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.5.2	L1_標籤殘留	pHCAT3.2)	"The system shall pHCAT3.2) The Device Manager button (“Devices” tab for R1 Low 7"") will go to the Device Manager screen (reference Device Manager Logic and Flow)."
SWE1-HMI-016	SYS-HMI-RA-PHONE-037	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.5.3	L3_非動詞連接	if	The system shall if Android Auto or Apple CarPlay are active, they will take over the Phone Category section and the Phone category icon on the Main Category Bar.
SWE1-HMI-017-01	SYS-HMI-RA-PHONE-038	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.6	L3_非動詞連接	phone	The system shall phone call status information during an active call will be shown in the status bar.
SWE1-HMI-017-02	SYS-HMI-RA-PHONE-038	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.6	L3_非動詞連接	pressing	The system shall pressing the active call link in status bar will take the user to the active Call tab in the Phone section.
SWE1-HMI-017-03	SYS-HMI-RA-PHONE-038	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.6	L3_非動詞連接	call	The system shall call status info will not be displayed on pages where the call timer info is redundant like Current Call tab or if a widget with call status info is displayed.
SWE1-HMI-018-01	SYS-HMI-RA-PHONE-039	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.6.1	L1_標籤殘留	pHO5.1)	"The system shall pHO5.1) For 10.1"" Portrait, Keypad will combine with the “Call” tab."
SWE1-HMI-018-02	SYS-HMI-RA-PHONE-039	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.6.1	L3_非動詞連接	name	The system shall name “Keypad” will change to “Call” on active calls.
SWE1-HMI-018-03	SYS-HMI-RA-PHONE-039	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_2.6.1	L3_非動詞連接	all	The system shall all buttons available on the current call screen and keypad screen will be available.
SWE1-HMI-019	SYS-HMI-RA-PHONE-041	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_3.1	L3_非動詞連接	if	"The system shall if already in Phone section and if the connected Phone with active phone book supports AA/CP, show a caret (in the inactive state) with the Phone Category icon on the main menu bar (Not applicable to R1 Low 7"" because there is no native menu bar displayed during projection mode)"
SWE1-HMI-020-01	SYS-HMI-RA-PHONE-042	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_3.2	L3_非動詞連接	when	The system shall when Phone category main menu bar icon is pressed, the caret switches to the active state and a popup shows options: “Android Auto” or “Apple CarPlay” , whichever is applicable, and a Device Manager button that links to Device Manager screen.
SWE1-HMI-020-02	SYS-HMI-RA-PHONE-042	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_3.2	L3_非動詞連接	the	The system shall the CP/AA option has a corresponding CP/AA icon that when pressed will connect that device for CP/AA and launch CP/AA screen focus.
SWE1-HMI-020-03	SYS-HMI-RA-PHONE-042	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_3.2	L4_非字母開頭	(image:	The system shall (image: image1.png)
SWE1-HMI-021-01	SYS-HMI-RA-PHONE-043	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_4	L3_非動詞連接	during	The system shall during active Projection mode, if AA/CP has screen focus there will be a caret (in the inactive state) on the Projection icon on the main menu bar.
SWE1-HMI-021-02	SYS-HMI-RA-PHONE-043	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_4	L3_非動詞連接	if	The system shall if the Projection main menu bar icon is pressed, the caret will switch to the active state and a popup with show: “Uconnect Phone” and “Device Manager” options.
SWE1-HMI-021-03	SYS-HMI-RA-PHONE-043	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_4	L3_非動詞連接	pressing	The system shall pressing “Uconnect Phone” will connect that device for native Phone functions and screen focus will change to native Phone screen (last screen viewed).
SWE1-HMI-022-01	SYS-HMI-RA-PHONE-044	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_4.1	L3_非動詞連接	the	The system shall the popups for Launch AA/CP or Uconnect will have a 10 second timeout if not acted upon.
SWE1-HMI-022-02	SYS-HMI-RA-PHONE-044	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_4.1	L3_非動詞連接	making	The system shall making a selection from the popup, pressing outside of the popup, or pressing on the Phone/Projection main menu bar icon while the popup is showing will close the popup
SWE1-HMI-023	SYS-HMI-RA-PHONE-046	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.1	L3_非動詞連接	when	The system shall when a phone is connected, the signal strength of the active phone will be shown in the dynamic Phone icon in the menu bar.
SWE1-HMI-024-01	SYS-HMI-RA-PHONE-047	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.2	L3_非動詞連接	when	The system shall when entering the Phone Category domain, the last screen viewed will be displayed.
SWE1-HMI-024-02	SYS-HMI-RA-PHONE-047	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.2	L3_非動詞連接	this	The system shall this last mode behavior for the Phone Category domain will be latching over ignition cycles.
SWE1-HMI-024-03	SYS-HMI-RA-PHONE-047	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.2	L3_非動詞連接	for	The system shall for first time entry, the user can be taken to the “Recent” calls tab screen but all subsequent presses of the Phone icon will follow the ‘last Phone screen viewed’ behavior.
SWE1-HMI-024-04	SYS-HMI-RA-PHONE-047	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.2	L3_非動詞連接	current	The system shall current Call tab will be returned to only if a call is still active, otherwise navigating away from the Current Call screen to another Category and going back to Phone after the active call has ended will bring the user to the last known tab prior to Current Call tab.
SWE1-HMI-025	SYS-HMI-RA-PHONE-048	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.3	L3_非動詞連接	by	The system shall by default, the Favorite 1 phone, Favorite 2 phone or most recently connected phone has an active phonebook until a user switches phonebooks.
SWE1-HMI-026-01	SYS-HMI-RA-PHONE-049	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.3.1	L1_標籤殘留	mP04.1)	The system shall mP04.1) The Connected Phone tabs follow the same prioritization as active phonebook [MP04] with the left tab having highest priority (FAV 1) and the right tab (FAV 2).
SWE1-HMI-026-02	SYS-HMI-RA-PHONE-049	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.3.1	L3_非動詞連接	if	The system shall if no favorited devices are available then follow BT reconnection with most recent connection displayed in the left tab, 2nd most recent in right tab.
SWE1-HMI-027	SYS-HMI-RA-PHONE-050	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.4	L3_非動詞連接	the	The system shall the last selected phonebook will persist until changed by the user or until an ignition cycle.
SWE1-HMI-028-01	SYS-HMI-RA-PHONE-051	Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022)_5.5	L3_非動詞連接	when	The system shall when there is an outgoing call that is not yet connected, the Current Call tab shows : 1) Hold Call (greyed out) and 2) End Call 3) Mute greyed out, and 4) Transfer.
