outline	xlsx_chars	pdf_chars	delta	shape
3.1	40	166	126	其他不一致
3.2	41	105	64	其他不一致
3.3	53	54	1	標點/空白差異（不算掉句）
3.4	43	187	144	其他不一致
3.5	45	182	137	其他不一致
4.1	190	190	0	相同
4.1.1	518	518	0	相同
4.2	191	191	0	相同
4.3	261	261	0	相同
4.3.1	126	126	0	相同
4.4	179	178	-1	標點/空白差異（不算掉句）
4.5	464	464	0	相同
4.5.1	329	329	0	相同
4.5.2	147	147	0	相同
4.5.3	515	515	0	相同
4.5.3.1	163	163	0	相同
4.5.4	161	161	0	相同
4.6	193	193	0	相同
4.6.1	263	263	0	相同
4.6.2	97	97	0	相同
4.6.3	206	206	0	相同
4.7	182	183	1	標點/空白差異（不算掉句）
5.1	438	438	0	相同
5.1.1	231	231	0	相同
5.1.2	399	399	0	相同
5.2	449	449	0	相同
5.3	188	188	0	相同
5.3.1	249	249	0	相同
5.3.2	192	192	0	相同
5.3.3	89	89	0	相同
5.4	275	275	0	相同
5.5	583	582	-1	標點/空白差異（不算掉句）
5.6	304	303	-1	標點/空白差異（不算掉句）
5.6.1	209	209	0	相同
5.7	213	212	-1	標點/空白差異（不算掉句）
5.8	207	207	0	相同
5.9	217	217	0	相同
5.10	197	197	0	相同
5.10.1	728	728	0	相同
5.11	353	353	0	相同
5.12	151	151	0	相同
5.12.1	129	129	0	相同
5.12.2	89	89	0	相同
5.13	109	109	0	相同
5.13.1	100	100	0	相同
5.13.2	596	596	0	相同
5.14	162	161	-1	標點/空白差異（不算掉句）
5.15	145	145	0	相同
5.15.1	146	146	0	相同
5.16	195	195	0	相同
6.1	281	281	0	相同
6.2	213	213	0	相同
6.2.1	214	214	0	相同
6.3	242	242	0	相同
6.3.1	351	351	0	相同
6.3.2	159	159	0	相同
6.4	165	165	0	相同
6.4.1	153	153	0	相同
6.5	100	100	0	相同
6.6	121	121	0	相同
7.1	158	158	0	相同
7.1.1	223	223	0	相同
7.2	144	144	0	相同
7.2.1	361	361	0	相同
7.2.2	210	210	0	相同
7.3	242	242	0	相同
7.4	225	225	0	相同
7.4.1	80	80	0	相同
7.5	159	159	0	相同
8.1	280	280	0	相同
8.2	143	143	0	相同
8.3	112	112	0	相同
8.3.1	240	240	0	相同
8.4	302	302	0	相同
8.4.1	88	88	0	相同
8.5	68	198	130	句尾截斷
8.6	90	90	0	相同
8.7	343	342	-1	標點/空白差異（不算掉句）
8.7.1	227	227	0	相同
8.7.2	82	82	0	相同
8.8	360	360	0	相同
8.8.1	138	138	0	相同
8.8.2	255	255	0	相同
8.9	271	271	0	相同
8.10	138	138	0	相同
8.10.1	160	160	0	相同
8.10.2	95	95	0	相同
8.11	245	245	0	相同
8.12	192	369	177	句尾截斷
9.1	368	539	171	其他不一致
9.1.1	193	193	0	相同
9.1.2	90	90	0	相同
9.2	252	274	22	其他不一致
9.3	230	230	0	相同
9.3.1	172	172	0	相同
9.3.2	186	265	79	句尾截斷
9.4	189	189	0	相同
9.4.1	137	137	0	相同
9.4.2	67	67	0	相同
9.5	145	145	0	相同
9.5.1	226	226	0	相同
9.5.2	274	274	0	相同
9.5.3	158	158	0	相同
9.6	348	348	0	相同
9.6.1	233	233	0	相同
9.7	156	156	0	相同
9.7.1	114	114	0	相同
9.7.2	143	143	0	相同
9.8	237	364	127	句尾截斷
9.9	85	85	0	相同
10.2	231	231	0	相同
10.3	124	124	0	相同
10.3.1	337	561	224	句尾截斷
11.3	193	193	0	相同
11.3.1	203	203	0	相同
11.4	610	611	1	標點/空白差異（不算掉句）
11.5	306	844	538	句尾截斷
12.1	236	236	0	相同
12.1.1	216	216	0	相同
12.2	107	107	0	相同
12.2.1	191	191	0	相同
12.3	80	80	0	相同
12.3.1	74	74	0	相同
12.3.2	144	144	0	相同
12.3.3	91	91	0	相同
12.4	169	169	0	相同
12.5	105	105	0	相同
12.6	196	196	0	相同
12.7	143	143	0	相同
12.8	463	463	0	相同
12.8.1	348	348	0	相同
12.8.2	150	150	0	相同
12.9	166	166	0	相同
12.10	217	217	0	相同
12.10.1	65	65	0	相同
13.1	225	225	0	相同
13.2	282	282	0	標點/空白差異（不算掉句）
13.3	96	96	0	相同
14.1	300	300	0	相同
14.2	219	243	24	句尾截斷
