req_id	outline	polarion_id	spec_reference	title
SWE1-HMI-PROF-001-01	4.1	NRL-145450	Personal_Account_HMI_Logic_and_Flow_R1_SR24_Post2A_CR24798_(October_03_2023)_4.1	PRACC1.) The system will store and recall each unique Driver Profile’s preferenc
SWE1-HMI-PROF-001-02	4.1	NRL-145450	Personal_Account_HMI_Logic_and_Flow_R1_SR24_Post2A_CR24798_(October_03_2023)_4.1	PRACC1.) The system will store and recall each unique Driver Profile’s preferenc
SWE1-HMI-PROF-001-03	4.1	NRL-145450	Personal_Account_HMI_Logic_and_Flow_R1_SR24_Post2A_CR24798_(October_03_2023)_4.1	PRACC1.) The system will store and recall each unique Driver Profile’s preferenc
SWE1-HMI-PROF-002-01	4.1.1	NRL-145451	Personal_Account_HMI_Logic_and_Flow_R1_SR24_Post2A_CR24798_(October_03_2023)_4.1.1	PRACC1.2) For the “Restore Settings to Default” vehicle setting, when selected, 
SWE1-HMI-PROF-002-02	4.1.1	NRL-145451	Personal_Account_HMI_Logic_and_Flow_R1_SR24_Post2A_CR24798_(October_03_2023)_4.1.1	PRACC1.2) For the “Restore Settings to Default” vehicle setting, when selected, 
SWE1-HMI-PROF-002-03	4.1.1	NRL-145451	Personal_Account_HMI_Logic_and_Flow_R1_SR24_Post2A_CR24798_(October_03_2023)_4.1.1	PRACC1.2) For the “Restore Settings to Default” vehicle setting, when selected, 
SWE1-HMI-PROF-003	4.2	NRL-145452	Personal_Account_HMI_Logic_and_Flow_R1_SR24_Post2A_CR24798_(October_03_2023)_4.2	PRACC2.) A user can set up or customize a profile by inputting a username and av
SWE1-HMI-PROF-004-01	4.3	NRL-145453	Personal_Account_HMI_Logic_and_Flow_R1_SR24_Post2A_CR24798_(October_03_2023)_4.3	PRACC3.) All user preferences associated with a Profile will be stored by the sy
SWE1-HMI-PROF-004-02	4.3	NRL-145453	Personal_Account_HMI_Logic_and_Flow_R1_SR24_Post2A_CR24798_(October_03_2023)_4.3	PRACC3.) All user preferences associated with a Profile will be stored by the sy
SWE1-HMI-PROF-004-03	4.3	NRL-145453	Personal_Account_HMI_Logic_and_Flow_R1_SR24_Post2A_CR24798_(October_03_2023)_4.3	PRACC3.) All user preferences associated with a Profile will be stored by the sy
SWE1-HMI-PROF-004-04	4.3	NRL-145453	Personal_Account_HMI_Logic_and_Flow_R1_SR24_Post2A_CR24798_(October_03_2023)_4.3	PRACC3.) All user preferences associated with a Profile will be stored by the sy
SWE1-HMI-PROF-005	4.3.1	NRL-145454	Personal_Account_HMI_Logic_and_Flow_R1_SR24_Post2A_CR24798_(October_03_2023)_4.3.1	PRACC3.1) If a Profile is switched within a key cycle, any changed preferences w
SWE1-HMI-PROF-006-01	4.4	NRL-145455	Personal_Account_HMI_Logic_and_Flow_R1_SR24_Post2A_CR24798_(October_03_2023)_4.4	PRACC4.) At the start of a new key cycle, Head Unit will load last know n Profil
SWE1-HMI-PROF-006-02	4.4	NRL-145455	Personal_Account_HMI_Logic_and_Flow_R1_SR24_Post2A_CR24798_(October_03_2023)_4.4	PRACC4.) At the start of a new key cycle, Head Unit will load last know n Profil
SWE1-HMI-PROF-006-03	4.4	NRL-145455	Personal_Account_HMI_Logic_and_Flow_R1_SR24_Post2A_CR24798_(October_03_2023)_4.4	PRACC4.) At the start of a new key cycle, Head Unit will load last know n Profil
SWE1-HMI-PROF-007-01	4.5	NRL-145456	Personal_Account_HMI_Logic_and_Flow_R1_SR24_Post2A_CR24798_(October_03_2023)_4.5	PRACC5.) If no custom Profile is set up, or all profiles are deleted, there will
SWE1-HMI-PROF-007-02	4.5	NRL-145456	Personal_Account_HMI_Logic_and_Flow_R1_SR24_Post2A_CR24798_(October_03_2023)_4.5	PRACC5.) If no custom Profile is set up, or all profiles are deleted, there will
SWE1-HMI-PROF-007-03	4.5	NRL-145456	Personal_Account_HMI_Logic_and_Flow_R1_SR24_Post2A_CR24798_(October_03_2023)_4.5	PRACC5.) If no custom Profile is set up, or all profiles are deleted, there will
SWE1-HMI-PROF-008	4.5.1	NRL-145457	Personal_Account_HMI_Logic_and_Flow_R1_SR24_Post2A_CR24798_(October_03_2023)_4.5.1	PRACC5.1) If there are memory seat buttons, there will be a default Driver Profi
SWE1-HMI-PROF-009	4.5.2	NRL-145458	Personal_Account_HMI_Logic_and_Flow_R1_SR24_Post2A_CR24798_(October_03_2023)_4.5.2	PRACC5.2) The memory seat preferences can be swapped between Driver Profiles, bu
SWE1-HMI-PROF-010-01	4.5.3	NRL-145459	Personal_Account_HMI_Logic_and_Flow_R1_SR24_Post2A_CR24798_(October_03_2023)_4.5.3	PRACC5.3) If a Profile linked to a memory seat position is attempted to be delet
SWE1-HMI-PROF-010-02	4.5.3	NRL-145459	Personal_Account_HMI_Logic_and_Flow_R1_SR24_Post2A_CR24798_(October_03_2023)_4.5.3	PRACC5.3) If a Profile linked to a memory seat position is attempted to be delet
SWE1-HMI-PROF-011	4.5.3.1	NRL-145460	Personal_Account_HMI_Logic_and_Flow_R1_SR24_Post2A_CR24798_(October_03_2023)_4.5.3.1	PRACC5.3.1) If a Profile linked to a memory seat position is deleted, the new ac
