section_id	chapter	chars
4.1	4	190
4.1.1	4	518
4.2	4	191
4.3	4	261
4.3.1	4	126
4.4	4	179
4.5	4	464
4.5.1	4	329
4.5.2	4	147
4.5.3	4	515
4.5.3.1	4	163
4.5.4	4	161
4.6	4	294
4.6.1	4	263
4.6.2	4	97
4.6.3	4	206
4.7	4	182
5.1	5	489
5.1.1	5	231
5.1.2	5	399
5.2	5	499
5.3	5	188
5.3.1	5	249
5.3.2	5	192
5.3.3	5	89
5.4	5	275
5.5	5	583
5.6	5	304
5.6.1	5	209
5.7	5	213
5.8	5	207
5.9	5	217
5.10	5	197
5.10.1	5	728
5.11	5	353
5.12	5	151
5.12.1	5	129
5.12.2	5	89
5.13	5	109
5.13.1	5	100
5.13.2	5	596
5.14	5	162
5.15	5	145
5.15.1	5	146
5.16	5	195
6.1	6	281
6.2	6	264
6.2.1	6	214
6.3	6	242
6.3.1	6	351
6.3.2	6	159
6.4	6	165
6.4.1	6	153
6.5	6	100
6.6	6	121
7.1	7	158
7.1.1	7	223
7.2	7	195
7.2.1	7	411
7.2.2	7	210
7.3	7	242
7.4	7	225
7.4.1	7	80
7.5	7	209
8.1	8	280
8.2	8	194
8.3	8	112
8.3.1	8	240
8.4	8	352
8.4.1	8	88
8.5	8	68
8.6	8	90
8.7	8	343
8.7.1	8	227
8.7.2	8	82
8.8	8	360
8.8.1	8	138
8.8.2	8	255
8.9	8	271
8.10	8	138
8.10.1	8	160
8.10.2	8	95
8.11	8	245
8.12	8	192
9.1	9	419
9.1.1	9	193
9.1.2	9	90
9.2	9	252
9.3	9	230
9.3.1	9	172
9.3.2	9	186
9.4	9	189
9.4.1	9	137
9.4.2	9	67
9.5	9	145
9.5.1	9	226
9.5.2	9	274
9.5.3	9	158
9.6	9	348
9.6.1	9	233
9.7	9	156
9.7.1	9	114
9.7.2	9	143
9.8	9	237
9.9	9	85
10.2	10	333
10.3	10	124
10.3.1	10	337
11.3	11	193
11.3.1	11	203
11.4	11	712
11.5	11	306
12.1	12	236
12.1.1	12	216
12.2	12	157
12.2.1	12	191
12.3	12	80
12.3.1	12	74
12.3.2	12	144
12.3.3	12	91
12.4	12	169
12.5	12	105
12.6	12	196
12.7	12	143
12.8	12	463
12.8.1	12	348
12.8.2	12	150
12.9	12	166
12.10	12	217
12.10.1	12	65
13.1	13	225
13.2	13	282
13.3	13	96
14.1	14	351
14.2	14	219
