l2_no	test_set	row037	swe1_id	tc_ids	tc_count	status
2	SXM Signal Quality	29	SWE1-Diagnostics-022	NR1L-DIAG-433	1	COVERED
2	SXM Signal Quality	30	SWE1-Diagnostics-023	NR1L-DIAG-434;NR1L-DIAG-435	2	COVERED
2	SXM Signal Quality	31	SWE1-Diagnostics-024	NR1L-DIAG-436	1	COVERED
2	SXM Signal Quality	32	SWE1-Diagnostics-025	NR1L-DIAG-437	1	COVERED
2	SXM Signal Quality	33	SWE1-Diagnostics-026	NR1L-DIAG-438;NR1L-DIAG-439	2	COVERED
2	SXM Signal Quality	34	SWE1-Diagnostics-027	NR1L-DIAG-440	1	COVERED
2	SXM Signal Quality	35	SWE1-Diagnostics-028	NR1L-DIAG-441;NR1L-DIAG-442;NR1L-DIAG-443;NR1L-DIAG-444;NR1L-DIAG-445	5	COVERED
2	SXM Signal Quality	36	SWE1-Diagnostics-029	NR1L-DIAG-446;NR1L-DIAG-447	2	COVERED
2	SXM Signal Quality	37	SWE1-Diagnostics-030	NR1L-DIAG-448	1	COVERED
2	SXM Signal Quality	168	SWE1-Diagnostics-161	NR1L-DIAG-449	1	COVERED
2	SXM Signal Quality	169	SWE1-Diagnostics-162	NR1L-DIAG-450;NR1L-DIAG-451	2	COVERED
2	SXM Signal Quality	170	SWE1-Diagnostics-163	NR1L-DIAG-452	1	COVERED
2	SXM Signal Quality	171	SWE1-Diagnostics-164	NR1L-DIAG-453;NR1L-DIAG-454	2	COVERED
2	SXM Signal Quality	172	SWE1-Diagnostics-165	NR1L-DIAG-455	1	COVERED
2	SXM Signal Quality	173	SWE1-Diagnostics-166	NR1L-DIAG-456;NR1L-DIAG-457	2	COVERED
2	SXM Signal Quality	174	SWE1-Diagnostics-167	NR1L-DIAG-458	1	COVERED
2	SXM Signal Quality	175	SWE1-Diagnostics-168	NR1L-DIAG-459;NR1L-DIAG-460	2	COVERED
2	SXM Signal Quality	176	SWE1-Diagnostics-169	NR1L-DIAG-461	1	COVERED
2	SXM Signal Quality	177	SWE1-Diagnostics-170	NR1L-DIAG-462;NR1L-DIAG-463	2	COVERED
2	SXM Signal Quality	178	SWE1-Diagnostics-171	NR1L-DIAG-464	1	COVERED
2	SXM Signal Quality	179	SWE1-Diagnostics-172	NR1L-DIAG-465;NR1L-DIAG-466	2	COVERED
2	SXM Signal Quality	180	SWE1-Diagnostics-173	NR1L-DIAG-467	1	COVERED
2	SXM Signal Quality	181	SWE1-Diagnostics-174	NR1L-DIAG-468;NR1L-DIAG-469	2	COVERED
2	SXM Signal Quality	182	SWE1-Diagnostics-175	NR1L-DIAG-470	1	COVERED
2	SXM Signal Quality	183	SWE1-Diagnostics-176	NR1L-DIAG-471;NR1L-DIAG-472	2	COVERED
2	SXM Signal Quality	184	SWE1-Diagnostics-177	NR1L-DIAG-473	1	COVERED
2	SXM Signal Quality	185	SWE1-Diagnostics-178	NR1L-DIAG-474;NR1L-DIAG-475	2	COVERED
2	SXM Signal Quality	186	SWE1-Diagnostics-179	NR1L-DIAG-476	1	COVERED
