sheet	cell	tc_id	item	before	after
Cover 封面	G9		CMF-06 §3-2 封面類分頁	2026-09-07 00:00:00	2026-09-22 00:00:00
ChangeHistory 修訂履歷	A8		CMF-06 §3-2 封面類分頁		D
ChangeHistory 修訂履歷	B8		CMF-06 §3-2 封面類分頁		"車型欄依 PROXI 逐條填值、DR-46 結案（CAN 訊號改用實際名與值）、Test Set 名稱修正、新增 sibling 10 條
Filled the vehicle model columns per PROXI configuration, closed DR-46 by using the actual CAN signal names and values, corrected the Test Set names, and added 10 sibling test cases"
ChangeHistory 修訂履歷	C8		CMF-06 §3-2 封面類分頁		PeiPYHsu
ChangeHistory 修訂履歷	D8		CMF-06 §3-2 封面類分頁		2026-09-22 00:00:00
Product Document 記錄封面頁	B8		CMF-06 §3-2 封面類分頁	2026-09-07 00:00:00	2026-09-22 00:00:00
Product Document 記錄封面頁	A14		CMF-06 §3-2 封面類分頁		V1.1
Product Document 記錄封面頁	B14		CMF-06 §3-2 封面類分頁		"車型欄依 PROXI 逐條填值、DR-46 結案（CAN 訊號改用實際名與值）、Test Set 名稱修正、新增 sibling 10 條
Filled the vehicle model columns per PROXI configuration, closed DR-46 by using the actual CAN signal names and values, corrected the Test Set names, and added 10 sibling test cases"
Product Document 記錄封面頁	C14		CMF-06 §3-2 封面類分頁		許珮瑜 PeiPYHsu
Product Document 記錄封面頁	D14		CMF-06 §3-2 封面類分頁		2026-09-22
Test Case Specification 測試用例規範	J5		CMF-06 §3-3 J5	2026/8/17	2026-09-22
Test Case Specification 測試用例規範	N10	NR1L-ComfortHMI-435	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.1、2.14、6.3	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.1
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_6.3"
Test Case Specification 測試用例規範	T10	NR1L-ComfortHMI-435	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	U10	NR1L-ComfortHMI-435	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	W10	NR1L-ComfortHMI-435	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	X10	NR1L-ComfortHMI-435	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	Y10	NR1L-ComfortHMI-435	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	AH10	NR1L-ComfortHMI-435	R-C52		The Comfort HMI specification allows up to 4 tabs including Massage, while the software requirement for this case allows up to 3 tabs and does not list Massage. This case checks the specification's upper limit of 4 tabs.
Test Case Specification 測試用例規範	N11	NR1L-ComfortHMI-436	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.1、2.14、6.3	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.1
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_6.3"
Test Case Specification 測試用例規範	T11	NR1L-ComfortHMI-436	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	U11	NR1L-ComfortHMI-436	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	W11	NR1L-ComfortHMI-436	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	X11	NR1L-ComfortHMI-436	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	Y11	NR1L-ComfortHMI-436	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	AH11	NR1L-ComfortHMI-436	R-C52		The Comfort HMI specification allows up to 4 tabs including Massage, while the software requirement for this case allows up to 3 tabs and does not list Massage. This case checks 3 tabs drawn from the specification's four areas, which may include Massage.
Test Case Specification 測試用例規範	N12	NR1L-ComfortHMI-437	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.1、2.14、6.3	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.1
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_6.3"
Test Case Specification 測試用例規範	T12	NR1L-ComfortHMI-437	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	U12	NR1L-ComfortHMI-437	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	W12	NR1L-ComfortHMI-437	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	X12	NR1L-ComfortHMI-437	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	Y12	NR1L-ComfortHMI-437	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	AH12	NR1L-ComfortHMI-437	R-C52		The Comfort HMI specification allows up to 4 tabs including Massage, while the software requirement for this case allows up to 3 tabs and does not list Massage. This case checks 2 tabs drawn from the specification's four areas, which may include Massage.
Test Case Specification 測試用例規範	N13	NR1L-ComfortHMI-438	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.1、2.14、6.3	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.1
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_6.3"
Test Case Specification 測試用例規範	T13	NR1L-ComfortHMI-438	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	U13	NR1L-ComfortHMI-438	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	W13	NR1L-ComfortHMI-438	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	X13	NR1L-ComfortHMI-438	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	Y13	NR1L-ComfortHMI-438	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	AH13	NR1L-ComfortHMI-438	R-C52		The Comfort HMI specification orders the tabs Front, Seats, Massage, Rear, while the software requirement for this case lists Front, Seats, Rear without Massage. This case checks the specification's order, including Massage.
Test Case Specification 測試用例規範	N14	NR1L-ComfortHMI-042	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.1、2.14、6.3	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.1
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_6.3"
Test Case Specification 測試用例規範	T14	NR1L-ComfortHMI-042	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	U14	NR1L-ComfortHMI-042	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	W14	NR1L-ComfortHMI-042	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	X14	NR1L-ComfortHMI-042	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	Y14	NR1L-ComfortHMI-042	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	I15	NR1L-ComfortHMI-032	sibling-plan wb-006	"C1.) Whenever changes to the climate system are made via hard controls or touchscreen, these changes are reflected in both locations.

(change the temperature on the climate screen -> The temperature indicated by the hard controls is the one set on the climate screen)"	"C1.) Whenever changes to the climate system are made via hard controls or touchscreen, these changes are reflected in both locations.

(change the fan speed using the fan speed hard control -> The fan speed shown on the climate screen is the one set by the hard control)"
Test Case Specification 測試用例規範	L15	NR1L-ComfortHMI-032	sibling-plan wb-006	"1. Open the climate screen
2. Change the fan speed using the fan speed hard control
3. Change the temperature on the climate screen"	"1. Open the climate screen
2. Change the fan speed using the fan speed hard control"
Test Case Specification 測試用例規範	M15	NR1L-ComfortHMI-032	sibling-plan wb-006	"1. The climate screen shows the current fan speed and temperature
2. The fan speed shown on the climate screen is the one set by the hard control
3. The temperature indicated by the hard controls is the one set on the climate screen"	"1. The climate screen shows the current fan speed and temperature
2. The fan speed shown on the climate screen is the one set by the hard control"
Test Case Specification 測試用例規範	N15	NR1L-ComfortHMI-032	R-C49(amend)	HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2、2.14、16.2	"HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.2
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_2.14
HMI_Comfort_HMI_Logic_and_Flow_R1_SR24_Post_3A_CR24879_(September_25_2023)_16.2"
Test Case Specification 測試用例規範	T15	NR1L-ComfortHMI-032	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	U15	NR1L-ComfortHMI-032	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	W15	NR1L-ComfortHMI-032	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	X15	NR1L-ComfortHMI-032	R-C48(amend2)/R-C62 車型欄	1	0
Test Case Specification 測試用例規範	Y15	NR1L-ComfortHMI-032	R-C48(amend2)/R-C62 車型欄	1	0
