tc_id	field	item	before	after
NR1L-ComfortHMI-467	expected_result	R-C56	"1. The ""AUTO"" button is highlighted
2. PENDING: DR-47 the manual mode the system goes to when AUTO is broken without a mode button"	"1. The ""AUTO"" button is highlighted
2. The ""AUTO"" button is no longer highlighted and the system is in the manual mode that most closely matches the exited AUTO mode"
NR1L-ComfortHMI-467	test_item	R-C56	"When breaking Auto the system will go to the manual mode that most closely matches the auto mode exited, unless a specific mode button is pressed, in which case the system would go to that mode.

(press ""A/C"" -> the system goes to the manual mode that most closely matches the AUTO mode exited)"	"When breaking Auto the system will go to the manual mode that most closely matches the auto mode exited, unless a specific mode button is pressed, in which case the system would go to that mode.

(press ""A/C"" -> The ""AUTO"" button is no longer highlighted and the system is in the manual mode that most closely matches the exited AUTO mode)"
NR1L-ComfortHMI-468	expected_result	R-C56	"1. The ""AUTO"" button is highlighted
2. PENDING: DR-47 the manual mode the system goes to when AUTO is broken without a mode button"	"1. The ""AUTO"" button is highlighted
2. The ""AUTO"" button is no longer highlighted and the system is in the manual mode that most closely matches the exited AUTO mode"
NR1L-ComfortHMI-468	test_item	R-C56	"When breaking Auto the system will go to the manual mode that most closely matches the auto mode exited, unless a specific mode button is pressed, in which case the system would go to that mode.

(change the fan speed -> the system goes to the manual mode that most closely matches the AUTO mode exited)"	"When breaking Auto the system will go to the manual mode that most closely matches the auto mode exited, unless a specific mode button is pressed, in which case the system would go to that mode.

(change the fan speed -> The ""AUTO"" button is no longer highlighted and the system is in the manual mode that most closely matches the exited AUTO mode)"
NR1L-ComfortHMI-467	remarks	R-C56		The specification does not name which manual mode the system enters when AUTO is broken by pressing A/C, so the mode reached after this step cannot be determined from the specification alone
NR1L-ComfortHMI-468	remarks	R-C56		The specification does not name which manual mode the system enters when AUTO is broken by changing the fan speed, so the mode reached after this step cannot be determined from the specification alone
NR1L-ComfortHMI-275	remarks	R-C56		The specification does not name which manual mode the rear system enters when rear AUTO is broken by changing the rear fan speed, so the mode reached after that step cannot be determined from the specification alone
NR1L-ComfortHMI-036	test_item	R-C50(amend)	"a pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius and for Fahrenheit do not show half degrees) being set

(change the temperature using the temperature hard control -> A pop-up comes down from the temperature in the status bar and displays the degree being set, in half degree increments)"	"A pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius and for Fahrenheit do not show half degrees) being set

(change the temperature using the temperature hard control -> A pop-up comes down from the temperature in the status bar and displays the degree being set, in half degree increments)"
NR1L-ComfortHMI-037	test_item	R-C50(amend)	"a pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius and for Fahrenheit do not show half degrees) being set

(change the temperature using the temperature hard control -> A pop-up comes down from the temperature in the status bar and displays the degree being set, without half degrees)"	"A pop-up will be shown coming down from that temperature in the status bar to indicate it is being altered, for ATC it will display the degree (or half degree increments for Celsius and for Fahrenheit do not show half degrees) being set

(change the temperature using the temperature hard control -> A pop-up comes down from the temperature in the status bar and displays the degree being set, without half degrees)"
NR1L-ComfortHMI-038	test_item	R-C50(amend)	"for MTC (if the MTC has a Climate screen) it will display a slider bar with the arrow pointing to the current setting, this information will change as the user alters the temp.

(continue altering the temperature using the temperature hard control -> The arrow moves with the temperature being set)"	"For MTC (if the MTC has a Climate screen) it will display a slider bar with the arrow pointing to the current setting, this information will change as the user alters the temp.

(continue altering the temperature using the temperature hard control -> The arrow moves with the temperature being set)"
