# label_quote_plan.tsv - CMF-02 M7 (quote plan only; nothing applied)
# source: features/comfort/sandbox/revise_0918/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_ComfortHMI_20260918.xlsx
# source sha256: 28a0998c8b36a88b182b3fa209492cc5c6fda3999f48e6031d571d66439a266f
# sheet: Test Case Specification 測試用例規範; rows 10-483; columns L (Test procedure) + M (Expected Result); F = tc_id, D = req_id
# scan: case-sensitive whole word \b(AUTO|Face|Feet|RECIRC|SYNC|Sync)\b per physical line; a hit is "already quoted" when it lies inside a "..." span on the same line (ASCII double quotes; no curly quotes found)
# line_no = 1-based physical line within the cell; context = that line verbatim
# counts (unquoted hits listed below / already-quoted not listed): AUTO 173/45; Face 54/10; Feet 55/12; RECIRC 29/18; SYNC 24/39; Sync 4/0
# CMF-01 L+M (0907 workbook, unquoted): AUTO 161 (quoted 43), Face 54, Feet 55, RECIRC 29, SYNC 24, Sync 4
# class totals: label 144, state 184, verbatim 11; of which ambiguous (note starts with "ambiguous:") 25
# per token x class: AUTO l92/s70/v11; Face l8/s46/v0; Feet l10/s45/v0; RECIRC l14/s15/v0; SYNC l19/s5/v0; Sync l1/s3/v0 (l=label s=state v=verbatim)
# suggestion: label -> full line with every label hit of that line quoted (same text on each hit row of the line); state/verbatim -> keep
row	tc_id_F	req_id	column	line_no	token	class	context	suggestion	note
18	NR1L-ComfortHMI-009	SWE1-HVAC-002-04	L	1	Sync	label	1. Turn Sync on	1. Turn "SYNC" on	spelling: canon button label is SYNC (2.8 C12 "highlight button if SYNC"); SR24 also writes "Sync" in prose (2.8, MAX DEF "turns on Sync"). Analysis layer to decide whether to normalise to SYNC; suggestion normalises to "SYNC" matching precedent `Turn "SYNC" on` (rows 90-93, 411-414, 480)
18	NR1L-ComfortHMI-009	SWE1-HVAC-002-04	M	1	Sync	state	1. Sync is on	keep	spelling: canon button label is SYNC (2.8 C12 "highlight button if SYNC"); SR24 also writes "Sync" in prose (2.8, MAX DEF "turns on Sync"). Analysis layer to decide whether to normalise to SYNC
24	NR1L-ComfortHMI-015	SWE1-HVAC-003-01	L	1	AUTO	label	1. Turn AUTO on from the climate screen	1. Turn "AUTO" on from the climate screen	
25	NR1L-ComfortHMI-016	SWE1-HVAC-003-02	L	1	AUTO	label	1. Turn AUTO on from the climate screen	1. Turn "AUTO" on from the climate screen	
26	NR1L-ComfortHMI-017	SWE1-HVAC-003-03	L	1	AUTO	state	1. Set a fan speed and an airflow mode from the climate screen with AUTO off	keep	
26	NR1L-ComfortHMI-017	SWE1-HVAC-003-03	L	2	AUTO	label	2. Turn AUTO on and read the fan speed and the airflow mode	2. Turn "AUTO" on and read the fan speed and the airflow mode	
27	NR1L-ComfortHMI-018	SWE1-HVAC-003-04	L	3	AUTO	label	3. Turn AUTO on	3. Turn "AUTO" on	
28	NR1L-ComfortHMI-019	SWE1-HVAC-003-05	L	1	AUTO	state	1. Read the state of the "A/C" button on the climate screen with AUTO off and record it	keep	
28	NR1L-ComfortHMI-019	SWE1-HVAC-003-05	L	2	AUTO	label	2. Turn AUTO on and read the "A/C" button	2. Turn "AUTO" on and read the "A/C" button	
29	NR1L-ComfortHMI-020	SWE1-HVAC-003-06	L	1	AUTO	label	1. Turn AUTO on from the climate screen	1. Turn "AUTO" on from the climate screen	
