source_group	req_id	existing_tc_id(wb/json)	missing_axis	axis_values	value_source(section + verbatim)	est_new	blocked_by_R-C42	verdict
1 雙實體	SWE1-HVAC-002-01	wb-006/json-032	觸發方向（HC→TS／TS→HC）	TS→HC	2.2 C1「changes … via hard controls or touchscreen, these changes are reflected in both locations」	0	否	不拆：TS→HC 向另由 002-08（wb-014，LED 反映）承接；wb-006 第 3 步建議刪除以免與 002-08 重疊（改寫，非新增）
1 雙實體	SWE1-HVAC-005-04	wb-031/json-139	觸發（控制實體）	FRONT DEF｜RECIRC	2.4 C3 與 037 leaf「defrost and RECIRC can automatically turn on A/C」	1	否	拆：不同觸發 → 各 1（§8.2.2 different control entities）；現 TC 保留 FRONT DEF，新增 RECIRC
1 雙實體	SWE1-HVAC-009-04	wb-049/json-056	通道	TS 箭頭｜溫度硬鍵	2.6.1 C5.1「long press = fast move … shall also work for temperature HARD CONTROLS」	1	否	拆：條文逐字點名兩通道 → 各 1
1 雙實體	SWE1-HVAC-010-05	wb-061/json-063	—（非該 leaf 之軸）	—	2.7 C6「(using climate power button on the screen or hard control)」	0	否	不拆：leaf 驗 off 狀態之灰化；兩個 power 實體皆為到達同一狀態之 setup。若 Pei 視 power 實體為觸發軸則 +1（列 §4 待裁之附帶）
1 雙實體	SWE1-HVAC-012-02	wb-064/json-154	—	—	—	0	否	不拆：ER 重複係基線／結果同字（change not shown），單一觸發
1 雙實體	SWE1-HVAC-013-03	wb-072/json-161	「其他氣候功能」之列舉	AUTO｜FRONT DEF	2.9 C8「Rear defrost is independent of any other climate functions」／037「operate independently of other climate functions」	1	否	拆：不同觸發、獨立部分失效（§8.2.2）→ 各 1
1 雙實體	SWE1-HVAC-015-04	wb-083/json-430	控制實體	fan speed｜airflow mode	037 leaf「adjusting fan speed/mode affects front and rear passengers」	1	否	拆：leaf 自點兩實體 → 各 1
1 雙實體	SWE1-HVAC-018-05	wb-103/json-456	起始畫面（scope）	Climate main｜非 Climate main	2.12.2（Mode 硬鍵）；037 VC 另點 press and hold	1	否	拆：兩起始畫面為不同 scope → 各 1；VC 之 press-and-hold 未涵蓋，須回條文判是否屬本 leaf（未計入）
1 雙實體	SWE1-HVAC-021-02	wb-113/json-166	「其他氣候功能」之列舉	AUTO｜climate OFF	2.15 C16「independent of any other climate functions」／037「operate independently of other climate functions」	1	否	拆：同 013-03
1 雙實體	SWE1-HVAC-023-02	wb-119/json-016	—	—	3.1 C19 cycle 順序	0	否	不拆：同一控制之循環，多列 ER（§8.2.2 same element）
