# vm_split_plan.tsv —— CMF-04 §2-2（**只出 plan，未產任何 sibling**：§3 停點全數命中）。
# R-C62-2：同一 leaf 只有一條 TC，而其觸發／ER 依 PROXI 值在三台間不同者，每台一組值一條 sibling。
# **偵測為啟發式**（body 命中該軸之字樣且 PC 未宣告該軸），非證明；每條須人工複判 —— 見上繳包 §2-4。
# 每條只計其第一個命中之軸；同時涉兩軸者之實際拆數會高於本表。
# CMF-05 §3 補三欄（applicable_vehicles／axis_values_in_set／verdict）：依 R-C48(amend2) 定出各 TC 之適用車型集合後，逐條複判該差異軸是否仍有差異。
# 實產拆題 0 條。本表之 71 列為**三台全集下**之啟發式上界，不作廢 —— 日後加入第四台車時仍為候選。
tc_id	req_id	differing_axis	proxi_values_dec	split_into	new_rows_added	differing_field	evidence_in_body	note	applicable_vehicles	axis_values_in_set	verdict
NR1L-ComfortHMI-019	SWE1-HVAC-024-02	Rear_Climate	Promaster=0(Absent)／Toro=1(Present)／Fastback=0(Absent)	2	1	test_procedure / expected_result	REAR	觸發／ER 涉後排，而只有 Toro 具 Rear_Climate	VZ	V=0 (Absent)／Z=0 (Absent)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-022	SWE1-HVAC-024-05	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-029	SWE1-HVAC-025-01	Rear_Climate	Promaster=0(Absent)／Toro=1(Present)／Fastback=0(Absent)	2	1	test_procedure / expected_result	REAR	觸發／ER 涉後排，而只有 Toro 具 Rear_Climate	VZ	V=0 (Absent)／Z=0 (Absent)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-030	SWE1-HVAC-025-02	Rear_Climate	Promaster=0(Absent)／Toro=1(Present)／Fastback=0(Absent)	2	1	test_procedure / expected_result	REAR	觸發／ER 涉後排，而只有 Toro 具 Rear_Climate	VZ	V=0 (Absent)／Z=0 (Absent)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-031	SWE1-HVAC-026	Rear_Climate	Promaster=0(Absent)／Toro=1(Present)／Fastback=0(Absent)	2	1	test_procedure / expected_result	rear	觸發／ER 涉後排，而只有 Toro 具 Rear_Climate	VZ	V=0 (Absent)／Z=0 (Absent)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-047	SWE1-HVAC-020-04	Climate_Panel_Type	Promaster=7(No knobs)／Toro=6(3 knobs)／Fastback=0(Only blower knob)	3	2	test_procedure / expected_result	hard control	觸發用硬控，而三台之旋鈕型態互異	(空)	(無適用車型)	不拆 —— 適用車型集合為空（三台皆 0，依 R-C63 照填一條）
NR1L-ComfortHMI-067	SWE1-HVAC-044-01	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-068	SWE1-HVAC-045	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-069	SWE1-HVAC-046	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
NR1L-ComfortHMI-070	SWE1-HVAC-047	Climate_Type	Promaster=2(Automatic)／Toro=1(Manual)／Fastback=2(Automatic)	2	1	test_procedure / expected_result	"""AUTO"""	觸發／ER 含 AUTO 相關步驟，而 Toro 為 MTC（2.3 明載 `AUTO is not shown in MTC configurations`）	VZ	V=2 (Automatic)／Z=2 (Automatic)	不拆 —— 該軸於適用集合 VZ 內同值，本輪三台上不會有兩種行為
