swe1_id	value
SWE1-CertProvider-001	CFTS084-4949379⏎CFTS084-4949380⏎CFTS084-4949381⏎CFTS084-4949382⏎CFTS084-4949384⏎CFTS084-4949579⏎CFTS084-4949580⏎CFTS084-4949587⏎CFTS084-4949588⏎CFTS084-4949594⏎CFTS084-4949595⏎CFTS084-4949596⏎CFTS084-4949680⏎CFTS084-4949681⏎CFTS084-4949682⏎CFTS084-4949746⏎CFTS084-4949747⏎CFTS084-4949748⏎CFTS084-4949749⏎CFTS084-4949750⏎CFTS084-4949751⏎CFTS084-4949752⏎CFTS084-4949756⏎CFTS084-4949757⏎CFTS084-4949759⏎CFTS084-4949760⏎CFTS084-4949761⏎CFTS084-4949762⏎CFTS084-4949763⏎CFTS084-4949771⏎CFTS084-4949772⏎CFTS084-4949774⏎CFTS084-4949775⏎CFTS084-4949776⏎CFTS084-4949777⏎CFTS084-4949778⏎CFTS084-4949779⏎CFTS084-4949780⏎CFTS084-4949781⏎CFTS084-4949782⏎CFTS084-4949783
SWE1-CertProvider-002	CFTS084-4949587⏎CFTS084-4949588⏎CFTS084-4949594⏎CFTS084-4949595⏎CFTS084-4949596⏎CFTS084-4949680⏎CFTS084-4949681⏎CFTS084-4949682⏎CFTS084-4949759⏎CFTS084-4949760⏎CFTS084-4949761⏎CFTS084-4949762
SWE1-CertProvider-003	CFTS084-4949587⏎CFTS084-4949588⏎CFTS084-4949594⏎CFTS084-4949595⏎CFTS084-4949596⏎CFTS084-4949680⏎CFTS084-4949681⏎CFTS084-4949682⏎CFTS084-4949759⏎CFTS084-4949760⏎CFTS084-4949761⏎CFTS084-4949762
SWE1-CertProvider-004	CFTS084-4949587⏎CFTS084-4949588⏎CFTS084-4949594⏎CFTS084-4949595⏎CFTS084-4949596⏎CFTS084-4949680⏎CFTS084-4949681⏎CFTS084-4949682⏎CFTS084-4949759⏎CFTS084-4949760⏎CFTS084-4949761⏎CFTS084-4949762
SWE1-CertProvider-005	CFTS084-4949587⏎CFTS084-4949588⏎CFTS084-4949594⏎CFTS084-4949595⏎CFTS084-4949596⏎CFTS084-4949680⏎CFTS084-4949681⏎CFTS084-4949682⏎CFTS084-4949759⏎CFTS084-4949760⏎CFTS084-4949761⏎CFTS084-4949762
SWE1-CertProvider-006	CFTS084-4949587⏎CFTS084-4949588⏎CFTS084-4949594⏎CFTS084-4949595⏎CFTS084-4949596⏎CFTS084-4949680⏎CFTS084-4949681⏎CFTS084-4949682⏎CFTS084-4949759⏎CFTS084-4949760⏎CFTS084-4949761⏎CFTS084-4949762
SWE1-CertProvider-007	CFTS084-4949379⏎CFTS084-4949380⏎CFTS084-4949381⏎CFTS084-4949382⏎CFTS084-4949384⏎CFTS084-4949579⏎CFTS084-4949580⏎CFTS084-4949588⏎CFTS084-4949594⏎CFTS084-4949680⏎CFTS084-4949682⏎CFTS084-4949746⏎CFTS084-4949747⏎CFTS084-4949748⏎CFTS084-4949749⏎CFTS084-4949750⏎CFTS084-4949751⏎CFTS084-4949752⏎CFTS084-4949756⏎CFTS084-4949757⏎CFTS084-4949763⏎CFTS084-4949771⏎CFTS084-4949772⏎CFTS084-4949774⏎CFTS084-4949775⏎CFTS084-4949776⏎CFTS084-4949777⏎CFTS084-4949778⏎CFTS084-4949779⏎CFTS084-4949780⏎CFTS084-4949781⏎CFTS084-4949782⏎CFTS084-4949783
SWE1-CertProvider-008	CFTS084-4949587⏎CFTS084-4949588⏎CFTS084-4949594⏎CFTS084-4949680⏎CFTS084-4949681⏎CFTS084-4949682
SWE1-CertProvider-009	CFTS084-4949379⏎CFTS084-4949380⏎CFTS084-4949381⏎CFTS084-4949382⏎CFTS084-4949384⏎CFTS084-4949579⏎CFTS084-4949580⏎CFTS084-4949588⏎CFTS084-4949594⏎CFTS084-4949680⏎CFTS084-4949682⏎CFTS084-4949746⏎CFTS084-4949747⏎CFTS084-4949748⏎CFTS084-4949749⏎CFTS084-4949750⏎CFTS084-4949751⏎CFTS084-4949752⏎CFTS084-4949756⏎CFTS084-4949757⏎CFTS084-4949763⏎CFTS084-4949771⏎CFTS084-4949772⏎CFTS084-4949774⏎CFTS084-4949775⏎CFTS084-4949776⏎CFTS084-4949777⏎CFTS084-4949778⏎CFTS084-4949779⏎CFTS084-4949780⏎CFTS084-4949781⏎CFTS084-4949782⏎CFTS084-4949783
SWE1-CertProvider-010	CFTS084-4949587⏎CFTS084-4949588⏎CFTS084-4949594⏎CFTS084-4949595⏎CFTS084-4949596⏎CFTS084-4949680⏎CFTS084-4949681⏎CFTS084-4949682⏎CFTS084-4949759⏎CFTS084-4949760⏎CFTS084-4949761⏎CFTS084-4949762
SWE1-CertProvider-011	CFTS084-4949587⏎CFTS084-4949588⏎CFTS084-4949594⏎CFTS084-4949595⏎CFTS084-4949596⏎CFTS084-4949680⏎CFTS084-4949681⏎CFTS084-4949682⏎CFTS084-4949759⏎CFTS084-4949760⏎CFTS084-4949761⏎CFTS084-4949762
SWE1-KeyInsyall-001	CFTS084-4949528⏎CFTS084-4949736⏎CFTS084-4949737⏎CFTS084-4949738⏎CFTS084-4949739⏎CFTS084-4949740⏎CFTS084-4949741⏎CFTS084-4949742⏎CFTS084-4949743⏎CFTS084-4949744⏎CFTS084-4949776⏎CFTS084-4949821⏎CFTS084-4949931
SWE1-KeyInsyall-002	CFTS084-4949528⏎CFTS084-4949736⏎CFTS084-4949737⏎CFTS084-4949738⏎CFTS084-4949739⏎CFTS084-4949740⏎CFTS084-4949741⏎CFTS084-4949742⏎CFTS084-4949743⏎CFTS084-4949744⏎CFTS084-4949776⏎CFTS084-4949821⏎CFTS084-4949931
SWE1-KeyInsyall-003	CFTS084-4949528⏎CFTS084-4949736⏎CFTS084-4949737⏎CFTS084-4949738⏎CFTS084-4949739⏎CFTS084-4949740⏎CFTS084-4949741⏎CFTS084-4949742⏎CFTS084-4949743⏎CFTS084-4949744⏎CFTS084-4949776⏎CFTS084-4949821⏎CFTS084-4949931
SWE1-KeyInsyall-004	CFTS084-4949528⏎CFTS084-4949736⏎CFTS084-4949737⏎CFTS084-4949738⏎CFTS084-4949739⏎CFTS084-4949740⏎CFTS084-4949741⏎CFTS084-4949742⏎CFTS084-4949743⏎CFTS084-4949744⏎CFTS084-4949776⏎CFTS084-4949821⏎CFTS084-4949931
SWE1-KeyInsyall-005	CFTS084-4949528⏎CFTS084-4949736⏎CFTS084-4949737⏎CFTS084-4949738⏎CFTS084-4949739⏎CFTS084-4949740⏎CFTS084-4949741⏎CFTS084-4949742⏎CFTS084-4949743⏎CFTS084-4949744⏎CFTS084-4949776⏎CFTS084-4949821⏎CFTS084-4949931
SWE1-KeyInsyall-006	CFTS084-4949528⏎CFTS084-4949736⏎CFTS084-4949737⏎CFTS084-4949738⏎CFTS084-4949739⏎CFTS084-4949740⏎CFTS084-4949741⏎CFTS084-4949742⏎CFTS084-4949743⏎CFTS084-4949744⏎CFTS084-4949776⏎CFTS084-4949821⏎CFTS084-4949931
SWE1-KeyInsyall-007	CFTS084-4949457⏎CFTS084-4949458⏎CFTS084-4949459⏎CFTS084-4949461⏎CFTS084-4949528⏎CFTS084-4949736⏎CFTS084-4949737⏎CFTS084-4949738⏎CFTS084-4949739⏎CFTS084-4949740⏎CFTS084-4949741⏎CFTS084-4949742⏎CFTS084-4949743⏎CFTS084-4949744⏎CFTS084-4949776⏎CFTS084-4949821⏎CFTS084-4949931
SWE1-KeyInsyall-008	CFTS084-4949457⏎CFTS084-4949528⏎CFTS084-4949736⏎CFTS084-4949737⏎CFTS084-4949738⏎CFTS084-4949739⏎CFTS084-4949740⏎CFTS084-4949741⏎CFTS084-4949742⏎CFTS084-4949743⏎CFTS084-4949744⏎CFTS084-4949776⏎CFTS084-4949821⏎CFTS084-4949931
