asset	value(verbatim)	source	source_loc	used_by_swe1	channel	observe
cmd_adb	"adb shell ""od -t x1 /mnt/vendor/oemkeys/ecu/state/ecucertstatus"""	PDF	ECU Cert Test Steps p4		ADB	FILE
cmd_adb	"adb shell ""printf '\x01' > /mnt/vendor/oemkeys/ecu/state/ecucertstatus"""	PDF	ECU Cert Test Steps p4		ADB	FILE
cmd_adb	adb shell am instrument -w -e class com.mitsubishielectric.ahu.efw.lib.melcocertprovider.libcertproviderservice.test.CertProviderServiceManagerTest#ecuCertTestSelfSignedChain com.mitsubishielectric.ahu.efw.lib.melcocertprovider.libcertproviderservice.test/androidx.test.runner.AndroidJUnitRunner	CS98	Cert Val CS.98!R4		ADB	RC
cmd_adb	adb shell am instrument -w -e class com.mitsubishielectric.ahu.efw.lib.melcocertprovider.libcertproviderservice.test.CertProviderServiceManagerTest#samCertTestNormalFlow com.mitsubishielectric.ahu.efw.lib.melcocertprovider.libcertproviderservice.test/androidx.test.runner.AndroidJUnitRunner	APK、CS98	Cert Val CS.98!R10；Cert Val CS.98!R11；Cert Val CS.98!R13；Cert Val CS.98!R3…		ADB	RC
cmd_adb	adb shell am instrument -w com.mitsubishielectric.ahu.efw.lib.melcocertprovider.libcertproviderservice.test/androidx.test.runner.AndroidJUnitRunner	APK	Test_Items.txt		ADB	RC
cmd_adb	adb shell getsslog or inserting USB with special	VC	swe1_037_liblogencrypt!Analysis Report!R14	SWE1-LOGENC-006	ADB	LOG
cmd_adb	adb shell ls -la /vendor/odm/etc/cert_store/)Check configuration files and certificate sub-folders	CS98	Cert Val CS.98!R2		ADB	FILE
cmd_adb	adb shell ls -la /vendor/odm/etc/cert_store/cfgs/	CS98	Cert Val CS.98!R13；Cert Val CS.98!R2		ADB	FILE
cmd_adb	adb shell ls -la /vendor/odm/etc/cert_store/ecu_chain/	CS98	Cert Val CS.98!R2		ADB	FILE
cmd_adb	adb shell ls -la /vendor/odm/etc/cert_store/oem_cert_tree/	CS98	Cert Val CS.98!R13；Cert Val CS.98!R2		ADB	FILE
cmd_adb	adb shell pm list instrumentation | grep melcocertprovider	CS98	Cert Val CS.98!R13；Cert Val CS.98!R4；Cert Val CS.98!R9		ADB	-
cmd_adb	adb shell pm list instrumentation | grep melcocertprovider)  WHEN. QA injects DCL revoking the L0 Root CA and verifies verification rejection	CS98	Cert Val CS.98!R11		ADB	-
cmd_adb	adb shell pm list instrumentation | grep melcocertprovider)  WHEN. QA injects DCL revoking the L1 intermediate CA and verifies verification rejection	CS98	Cert Val CS.98!R10		ADB	-
cmd_adb	adb shell pm list instrumentation | grep melcocertprovider; if missing, run adb install -r -t CertProviderServiceManagerTest.apk	CS98	Cert Val CS.98!R3；Cert Val CS.98!R6		ADB	-
cmd_od	"od -t x1 /mnt/vendor/oemkeys/ecu/state/ecucertstatus"""	PDF	ECU Cert Test Steps p4		ADB	FILE
cmd_openssl	openssl req -in ecu.crt -noout -verify	CS165	ECU ID CS.165!R13		HOST	HOST
cmd_openssl	openssl verify -verbose -CAfile RootCert.pem -untrusted L1.pem -untrusted L2.pem -untrusted L3.pem -untrusted CRL.r0 SAMcert	VC	swe1_037_certprovider_v1_0!Analysis Report!R12	SWE1-CertProvider-004	HOST	HOST
cmd_openssl	openssl verify -verbose -CAfile RootCert.pem -untrusted L1.pem -untrusted L2.pem -untrusted L3.pem SAMcert.pem	VC	swe1_037_certprovider_v1_0!Analysis Report!R10；swe1_037_certprovider_v1_0!Analysis Report!R11；swe1_037_certprovider_v1_0!Analysis Report!R9	SWE1-CertProvider-001；SWE1-CertProvider-002；SWE1-CertProvider-003	HOST	HOST
cmd_openssl	openssl x509 -in leaf.crt -text. Compare with the name in the config: SecurityAssets/oem-certs/cert-provider/{TYPE}/cfgs/	VC	swe1_037_certprovider_v1_0!Analysis Report!R10；swe1_037_certprovider_v1_0!Analysis Report!R11	SWE1-CertProvider-002；SWE1-CertProvider-003	HOST	HOST
cmd_shell	getsslog or inserting USB with special	VC	swe1_037_liblogencrypt!Analysis Report!R14	SWE1-LOGENC-006	ADB	LOG
cmd_shell	logcat -c	CS98	Cert Val CS.98!R10；Cert Val CS.98!R11；Cert Val CS.98!R13；Cert Val CS.98!R3…		ADB	LOG
cmd_shell	"logcat -d | grep -i ""CertProvider"""	CS98	Cert Val CS.98!R10；Cert Val CS.98!R11；Cert Val CS.98!R13；Cert Val CS.98!R3…		ADB	LOG
cmd_shell	logdecrypt_Ver2.sh HUssss_YYYYMMDD_HHMMSS_XXXX.enc HUssss_YYYYMMDD_HHMMSS_XXXX_enckey.enc	VC	swe1_037_liblogencrypt!Analysis Report!R14	SWE1-LOGENC-006	ADB	HOST
filename	CertProviderServiceManagerTest.apk	CS98	Cert Val CS.98!R13；Cert Val CS.98!R3；Cert Val CS.98!R4；Cert Val CS.98!R6		-	-
filename	HUssss_YYYYMMDD_HHMMSS_XXXX.enc	VC	swe1_037_liblogencrypt!Analysis Report!R14	SWE1-LOGENC-006	-	-
filename	HUssss_YYYYMMDD_HHMMSS_XXXX_enckey.enc	VC	swe1_037_liblogencrypt!Analysis Report!R14	SWE1-LOGENC-006	-	-
filename	L1.pem	VC	swe1_037_certprovider_v1_0!Analysis Report!R10；swe1_037_certprovider_v1_0!Analysis Report!R11；swe1_037_certprovider_v1_0!Analysis Report!R12；swe1_037_certprovider_v1_0!Analysis Report!R9	SWE1-CertProvider-001；SWE1-CertProvider-002；SWE1-CertProvider-003；SWE1-CertProvider-004	-	-
filename	L2.pem	VC	swe1_037_certprovider_v1_0!Analysis Report!R10；swe1_037_certprovider_v1_0!Analysis Report!R11；swe1_037_certprovider_v1_0!Analysis Report!R12；swe1_037_certprovider_v1_0!Analysis Report!R9	SWE1-CertProvider-001；SWE1-CertProvider-002；SWE1-CertProvider-003；SWE1-CertProvider-004	-	-
filename	L3.pem	VC	swe1_037_certprovider_v1_0!Analysis Report!R10；swe1_037_certprovider_v1_0!Analysis Report!R11；swe1_037_certprovider_v1_0!Analysis Report!R12；swe1_037_certprovider_v1_0!Analysis Report!R9	SWE1-CertProvider-001；SWE1-CertProvider-002；SWE1-CertProvider-003；SWE1-CertProvider-004	-	-
filename	RootCert.pem	VC	swe1_037_certprovider_v1_0!Analysis Report!R10；swe1_037_certprovider_v1_0!Analysis Report!R11；swe1_037_certprovider_v1_0!Analysis Report!R12；swe1_037_certprovider_v1_0!Analysis Report!R9	SWE1-CertProvider-001；SWE1-CertProvider-002；SWE1-CertProvider-003；SWE1-CertProvider-004	-	-
