swe_id	kind	book	section	hmi_source_id	title
SWE1-RVC-001	leaf	RVC+PAM	6.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_6.2	PAM Feature Configuration Driven by Vehicle Proxy
SWE1-RVC-002	umbrella	RVC+PAM	6.2.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_6.2.1	Non-Exclusive PAM Features with Additive Visualization Logic
SWE1-RVC-002-01	leaf	RVC+PAM	6.2.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_6.2.1	PAM features are not mutually exclusive
SWE1-RVC-002-02	leaf	RVC+PAM	6.2.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_6.2.1	Adding a new PAM feature adds its visualization logic
SWE1-RVC-003	leaf	RVC+PAM	6.2.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_6.2.2	Supported PAM Feature Set (Rear ParkSense / Front+Rear ParkSense / SDW)
SWE1-RVC-004	leaf	RVC+PAM	6.3	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_6.3	PAM Flashing Lines Frequency Aligned to IPC
SWE1-RVC-005	leaf	RVC+PAM	6.4	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_6.4	ParkSense Indication Consistency between HU and Cluster
SWE1-RVC-006	leaf	RVC+PAM	6.5	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_6.5	PAM Audible Indications Provided via CAN per ParkSense Logic
SWE1-RVC-007	umbrella	RVC+PAM	7.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.1	Camera Display Priority and Thermal Wake-Up Behavior
SWE1-RVC-007-01	leaf	RVC+PAM	7.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.1	Camera display has higher priority than any other screen
SWE1-RVC-007-02	leaf	RVC+PAM	7.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.1	Wake head unit from thermal-protection sleep to show camera
SWE1-RVC-008	leaf	RVC+PAM	7.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.2	RVC+PAM Layout Activation Trigger Conditions
SWE1-RVC-008-01	leaf	RVC+PAM	7.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.2	Activate RVC+PAM layout when reverse is engaged
SWE1-RVC-008-02	leaf	RVC+PAM	7.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.2	Keep RVC+PAM layout active during reverse-to-drive delay condition
SWE1-RVC-008-03	leaf	RVC+PAM	7.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.2	Display camera feed immediately after shift into reverse
SWE1-RVC-008-04	leaf	RVC+PAM	7.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.2	Keep camera feed displayed until reverse is exited
SWE1-RVC-008-05	leaf	RVC+PAM	7.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.2	Allow RVC+PAM layout launch from Controls screen button
SWE1-RVC-008-06	leaf	RVC+PAM	7.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.2	Allow RVC+PAM layout launch from camera shortcut icon
