# CAM-28 §3　VF551_V2：`sys2_vf551_v2_sysra_v01`（既有本）↔ `sys2_vf551_v2_dependency_20260311`（dependency 本）之 Description 差異列
# 比對鍵 = SYS2 Sys-RA-Feature-ID；desc 欄以 \n／\r／\t 逸出。disposition：(a) NO-OP = 以空白與字面 `_x000D_` 正規化後相同
sys_ra_id	anchor	x000D_delta	newline_delta	len_delta	disposition	cited_tcs	desc_existing	desc_dependency
SYS-RA-VF551_V2-008	VF551_V2_PHDCC27_VF_1606	1	0	7	(a) NO-OP	—	ASM: Air Suspension Module\nASCM: Air Suspension Control Module	ASM: Air Suspension Module_x000D_\nASCM: Air Suspension Control Module
SYS-RA-VF551_V2-009	VF551_V2_PHDCC27_VF_185	1	0	7	(a) NO-OP	—	CHMSL: Center High Mount Stop Light\nETM: Enhanced Telematics module	CHMSL: Center High Mount Stop Light_x000D_\nETM: Enhanced Telematics module
SYS-RA-VF551_V2-031	VF551_V2_PHDCC27_VF_2001	2	1	16	(a) NO-OP	—	1.14.2.1.7 \nID 12.0 Description	1.14.2.1.7 _x000D_\nID 12.0 Description _x000D_\n
SYS-RA-VF551_V2-033	VF551_V2_PHDCC27_VF_2000	1	0	8	(a) NO-OP	—	1.14.2.1.6 \nID 11.0 Description	1.14.2.1.6 _x000D_\nID 11.0 Description 
SYS-RA-VF551_V2-035	VF551_V2_PHDCC27_VF_1230	1	0	7	(a) NO-OP	—	1.14.2.1.5 \nID 10.0 Description	1.14.2.1.5 _x000D_\nID 10.0 Description
SYS-RA-VF551_V2-037	VF551_V2_PHDCC27_VF_755	1	0	7	(a) NO-OP	—	1.14.2.1.4 \nID 9.0 Description	1.14.2.1.4 _x000D_\nID 9.0 Description
SYS-RA-VF551_V2-039	VF551_V2_PHDCC27_VF_754	1	0	8	(a) NO-OP	—	1.14.2.1.3 \nID 8.0 Description	1.14.2.1.3 _x000D_\nID 8.0 Description 
SYS-RA-VF551_V2-041	VF551_V2_PHDCC27_VF_752	1	0	7	(a) NO-OP	—	1.14.2.1.2 \nID 7.0 Description	1.14.2.1.2 _x000D_\nID 7.0 Description
SYS-RA-VF551_V2-043	VF551_V2_PHDCC27_VF_158	1	0	7	(a) NO-OP	—	1.14.2.1.1 \nID 6.0 Description	1.14.2.1.1 _x000D_\nID 6.0 Description
SYS-RA-VF551_V2-134	VF551_V2_PHDCC27_VF_673	2	0	14	(a) NO-OP	—	ETM\nLTM\nRVCM	ETM_x000D_\nLTM_x000D_\nRVCM
SYS-RA-VF551_V2-146	VF551_V2_PHDCC27_VF_661	1	0	7	(a) NO-OP	—	ETM\nLTM	ETM_x000D_\nLTM
SYS-RA-VF551_V2-158	VF551_V2_PHDCC27_VF_557	1	0	7	(a) NO-OP	—	ETM\nLTM	ETM_x000D_\nLTM
SYS-RA-VF551_V2-170	VF551_V2_PHDCC27_VF_498	1	0	7	(a) NO-OP	—	ETM\nLTM	ETM_x000D_\nLTM
SYS-RA-VF551_V2-182	VF551_V2_PHDCC27_VF_148	1	0	7	(a) NO-OP	—	ETM\nLTM	ETM_x000D_\nLTM
SYS-RA-VF551_V2-205	VF551_V2_PHDCC27_VF_1821	2	0	14	(a) NO-OP	NR1L-RVC-185	When Ignition is On AND the gear status is no longer "SNA" the Head Unit shall:\no heal the DTC.\no RVCM and Head Unit functionalities revert back to operating conditions as per Functional Requirements.	When Ignition is On AND the gear status is no longer "SNA" the Head Unit shall:_x000D_\no heal the DTC._x000D_\no RVCM and Head Unit functionalities revert back to operating conditions as per Functional Requirements.
