swe_id	kind	sys1_book	section	spec_reference	verbatim_source_pid	verbatim_section	tc_id	axis	vehicle_model_1	proxi_premise	hop_or_trigger	pending	design_method	priority	note
SWE1-RVC-015	leaf	RVC+PAM	7.3	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.3	NRL-142621	7.3	NR1L-RVCHMI-024	PROXI 配備	HDCC27;DT27;637;376	"Rear_View_Camera = 1 (Present);CVPAM_Presence = 1 (Present);Radio_Display_Type = 3 (10.1"" 1920x1200)"	RVC-only layout does not appear when PAM is offered and the 	—	負向測試 (Negative / Invalid)	P2	
SWE1-RVC-016	leaf	RVC+PAM	7.3.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.3.1	NRL-142622	7.3.1	NR1L-RVCHMI-025	PROXI 配備	HDCC27;DT27;637;376	Rear_View_Camera = 1 (Present);CVPAM_Presence = 0 (Absent)	fallback to RVC-only layout when the vehicle offers no PAM c	—	狀態轉換 (State Transition Testing)	P1	只存在於 cache 本（A-CA14／R-CAM6）
SWE1-RVC-017	leaf	RVC+PAM	7.3.2	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.3.2	NRL-142623	7.3.2	NR1L-RVCHMI-026	PROXI 配備	HDCC27;DT27;637;376	Rear_View_Camera = 1 (Present);CVPAM_Presence = 1 (Present)	fallback to RVC-only layout on 7 inch and 8.4 inch head unit	—	決策表 (Decision Table Testing)	P1	只存在於 cache 本（A-CA14／R-CAM6）
SWE1-RVC-018	leaf	RVC+PAM	7.3.3	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.3.3	NRL-142624	7.3.3	NR1L-RVCHMI-027	PROXI 配備	HDCC27;DT27;637;376	"Rear_View_Camera = 1 (Present);CVPAM_Presence = 0 (Absent);Radio_Display_Type = 4 (10.1"" 1200x1920)"	vehicle controls provided in the RVC-only layout on 10.1 por	—	功能測試 (Functional based ; no specific technique)	P2	只存在於 cache 本（A-CA14／R-CAM6）
SWE1-RVC-019-01	leaf	RVC+PAM	7.4	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.4	NRL-142625	7.4	NR1L-RVCHMI-028	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 1 (Present)	initial view on activation is the default view for the curre	—	功能測試 (Functional based ; no specific technique)	P1	
SWE1-RVC-019-02	leaf	RVC+PAM	7.4	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.4	NRL-142625	7.4	NR1L-RVCHMI-029	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 1 (Present)	image remains displayed while vehicle speed is below the thr	—	邊界值分析 (Boundary Value Analysis, BVA)	P1	
SWE1-RVC-019-03	leaf	RVC+PAM	7.4	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.4	NRL-142625	7.4	NR1L-RVCHMI-030	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 1 (Present)	soft button greyed out when vehicle speed is above the thres	—	邊界值分析 (Boundary Value Analysis, BVA)	P1	
SWE1-RVC-019-04	leaf	RVC+PAM	7.4	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.4	NRL-142625	7.4	NR1L-RVCHMI-031	PROXI 配備	HDCC27;DT27;637;376	Rear_View_Camera = 1 (Present);CVPAM_Presence = 1 (Present)	pushing the button displays both the RVC image and the senso	—	功能測試 (Functional based ; no specific technique)	P2	
SWE1-RVC-020	leaf	RVC+PAM	7.5	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.5	NRL-142626	7.5	NR1L-RVCHMI-032	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 1 (Present)	layout does not disappear while none of the dismissal condit	—	負向測試 (Negative / Invalid)	P2	互參 A 本 SWE-CAM-015／SWE-CAM-018
SWE1-RVC-021	leaf	RVC+PAM	7.5.1	SYS1_HMI_RVC+PAM_R1_Low_SR24_1A_(June_25_2021)_7.5.1	NRL-142627	7.5.1	NR1L-RVCHMI-033	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 1 (Present)	dismissal in D above the speed threshold and the 10 second g	—	決策表 (Decision Table Testing)	P1	互參 A 本 SWE-CAM-015／SWE-CAM-018
