swe_id	kind	sys1_book	section	spec_reference	verbatim_source_pid	verbatim_section	tc_id	axis	vehicle_model_1	proxi_premise	hop_or_trigger	pending	design_method	priority	note
SWE1-RVC-092	leaf	HeadUnitCameraSystems	28.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_28.1	NRL-188090	28.1	NR1L-RVCHMI-099	PROXI 配備	HDCC27;DT27;637;376	Surround_View_Camera = 1 (Present)	the More Cams button in the More AUX row opens the camera ap	DR-CAM-r	功能測試 (Functional based ; no specific technique)	P1	互參 A 本 SWE-CAM-024｜Test Set: Camera View Switching
SWE1-RVC-093	leaf	HeadUnitCameraSystems	28.2.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_28.2.1	NRL-188092	28.2.1	NR1L-RVCHMI-100	none	HDCC27;DT27;637;2261;376	—	the check entire surroundings message is shown for 5 seconds	—	功能測試 (Functional based ; no specific technique)	P1	互參 A 本 SWE-CAM-024｜Test Set: Camera View Switching
SWE1-RVC-094	leaf	HeadUnitCameraSystems	28.2.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_28.2.2	NRL-188093	28.2.2	NR1L-RVCHMI-101	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 1 (Present)	accessing the AUX camera does not reset the check entire sur	—	負向測試 (Negative / Invalid)	P2	互參 A 本 SWE-CAM-024｜Test Set: Camera View Switching
SWE1-RVC-095	leaf	HeadUnitCameraSystems	28.2.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_28.2.3	NRL-188094	28.2.3	NR1L-RVCHMI-102	none	HDCC27;DT27;637;2261;376	—	WiFi signal strength and battery level are shown after the 5	—	功能測試 (Functional based ; no specific technique)	P2	互參 A 本 SWE-CAM-024｜Test Set: Camera View Switching
SWE1-RVC-096	leaf	HeadUnitCameraSystems	28.2.4	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_28.2.4	NRL-188095	28.2.4	NR1L-RVCHMI-103	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera = 1 (Present)	pressing X returns to the display from which the AUX camera 	—	功能測試 (Functional based ; no specific technique)	P1	互參 A 本 SWE-CAM-024｜Test Set: Camera View Switching
SWE1-RVC-097	leaf	HeadUnitCameraSystems	28.3.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_28.3.1	NRL-188097	28.3.1	NR1L-RVCHMI-104	none	HDCC27;DT27;637;2261;376	—	a blue camera system unavailable screen is shown when no wir	—	負向測試 (Negative / Invalid)	P1	互參 A 本 SWE-CAM-024｜Test Set: Camera View Switching
SWE1-RVC-098-01	leaf	HeadUnitCameraSystems	28.3.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_28.3.2	NRL-188098	28.3.2	NR1L-RVCHMI-105	none	HDCC27;DT27;637;2261;376	—	More AUX is offered on the unavailable screen when AUX 1 is 	—	決策表 (Decision Table Testing)	P1	｜Test Set: Camera View Switching
SWE1-RVC-098-02	leaf	HeadUnitCameraSystems	28.3.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_28.3.2	NRL-188098	28.3.2	NR1L-RVCHMI-106	none	HDCC27;DT27;637;2261;376	—	the same unavailable behaviour applies with and without the 	DR-CAM-r	決策表 (Decision Table Testing)	P2	｜Test Set: Camera View Switching
SWE1-RVC-099	leaf	HeadUnitCameraSystems	28.4.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_28.4.1	NRL-188100	28.4.1	NR1L-RVCHMI-107	none	HDCC27;DT27;637;2261;376	—	wireless AUX soft controls are greyed out when the cameras a	—	負向測試 (Negative / Invalid)	P1	互參 A 本 SWE-CAM-024｜Test Set: Camera View Switching
SWE1-RVC-100	leaf	HeadUnitCameraSystems	28.4.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_28.4.2	NRL-188101	28.4.2	NR1L-RVCHMI-108	none	HDCC27;DT27;637;2261;376	—	a popup appears when a greyed out wireless AUX control is ac	—	功能測試 (Functional based ; no specific technique)	P1	互參 A 本 SWE-CAM-024｜Test Set: Camera View Switching
