swe_id	kind	sys1_book	section	spec_reference	verbatim_source_pid	verbatim_section	tc_id	axis	vehicle_model_1	proxi_premise	hop_or_trigger	pending	design_method	priority	note
SWE1-RVC-041	leaf	HeadUnitCameraSystems	6.1.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.1.2	NRL-187333	6.1.2	NR1L-RVCHMI-001	none	HDCC27;DT27;637;2261;376	Rear_View_Camera=1	Apps → Settings → Camera	—	負向測試 (Negative / Invalid)	P2	設定名逐字 `Rear View Camera Delay`（HMI Settings List `Settings` r467，`*` 不入 hop，R-CAM5(a)）；前提「X 不可顯示」為車輛配置事實 → bench_verify
SWE1-RVC-042	leaf	HeadUnitCameraSystems	6.1.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.1.3	NRL-187334	6.1.3	NR1L-RVCHMI-002	none	HDCC27;DT27;637;2261;376	Rear_View_Camera=1	Send CAN CmdIgnSts	—	負向測試 (Negative / Invalid)	P1	OFF／ACC 兩值同列一 TC（profile §11.1 之點火訊號；兩 EE 皆勾 → CAN source 行）
SWE1-RVC-043	leaf	HeadUnitCameraSystems	6.1.5	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.1.5	NRL-187336	6.1.5	NR1L-RVCHMI-003	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera=1	Send CAN ShiftLeverPosition	DR-CAM-r	狀態轉換 (State Transition Testing)	P2	「Enhanced Camera App」配備旗標於六本 PROXI 零命中 → PENDING: DR-CAM-r
SWE1-RVC-044	leaf	HeadUnitCameraSystems	6.1.6	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.1.6	NRL-187337	6.1.6	NR1L-RVCHMI-004	none	HDCC27;DT27;637;2261;376	Rear_View_Camera=1	Send CAN ShiftLeverPosition	—	狀態轉換 (State Transition Testing)	P1	「一般啟用／停用策略」＝ R 檔進入、離 R 退出；互參 A 本 `NR1L-RVC-018`
SWE1-RVC-048-01	leaf	HeadUnitCameraSystems	6.5.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.5.1	NRL-187347	6.5.1	NR1L-RVCHMI-005	none	HDCC27;DT27;637;2261;376	Rear_View_Camera=1	Controls page	DR-CAM-g	功能測試 (Functional based ; no specific technique)	P1	Controls 頁進入路徑無逐字來源 → DR-CAM-g（沿 batch01b 形制）
SWE1-RVC-048-02	leaf	HeadUnitCameraSystems	6.5.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.5.1	NRL-187347	6.5.1	NR1L-RVCHMI-006	none	HDCC27;DT27;637;2261;376	Rear_View_Camera=1	App Drawer	—	功能測試 (Functional based ; no specific technique)	P1	App Drawer hop 沿 A 本 `NR1L-RVC-113` 之逐字句式
SWE1-RVC-048-03	leaf	HeadUnitCameraSystems	6.5.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.5.1	NRL-187347	6.5.1	NR1L-RVCHMI-007	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera=1	Camera app home page	DR-CAM-r	功能測試 (Functional based ; no specific technique)	P1	「camera app」配備旗標零命中 → DR-CAM-r；hop label `Camera app home page` 逐字取 §27.2.6.3
SWE1-RVC-049	leaf	HeadUnitCameraSystems	6.5.2	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.5.2	NRL-187348	6.5.2	NR1L-RVCHMI-008	PROXI 配備	HDCC27;DT27;637;376	Surround_View_Camera=0;Forward_Facing_Camera=1	view 角落 soft control	—	決策表 (Decision Table Testing)	P2	Toro 缺 byte 177（DR-CAM-l）→ 2261=0；TRG／CHMSL 之 byte 於三本 Atl-Mi 皆缺，取 FFCTL 一支為代表
SWE1-RVC-050	leaf	HeadUnitCameraSystems	6.5.3	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.5.3	NRL-187349	6.5.3	NR1L-RVCHMI-009	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera=1	Controls page	DR-CAM-g;DR-CAM-r	負向測試 (Negative / Invalid)	P2	互參 A 本 `SWE-CAM-016`（crossref precondition-or-hop）
SWE1-RVC-051-01	leaf	HeadUnitCameraSystems	6.7.1	SYS1_HMI_HeadUnitCameraSystems_HMI_Logic_and_Flow_R1_SR24_Post_2A_v7_(February_10th,_2023)_6.7.1	NRL-187352	6.7.1	NR1L-RVCHMI-010	PROXI 配備	HDCC27;DT27;637;2261;376	Rear_View_Camera=1	Controls page	DR-CAM-g;DR-CAM-r	功能測試 (Functional based ; no specific technique)	P2	無 camera app 而有 enhanced camera app 之配備組合 → DR-CAM-r
