swe_id	source_id	anchor	vf_chapter	verification_point	axis	tc_count	note
SWE-CAM-001	SYS-RA-CAM-062	CFTS092-4781627	—	camera off by default until activated	—	0	covered_by: NR1L-RVC-001；R-CAM12 疊層同句，錨取 Rear 節之 -075
SWE-CAM-001	SYS-RA-CAM-075	CFTS092-4781640	—	camera off by default until activated	—	0	covered_by: NR1L-RVC-001（pilot02）
SWE-CAM-001	SYS-RA-CAM-082	CFTS092-4781647	—	press X -> internal RVC IMAGE OFF -> rear image closed	none	1	
SWE-CAM-001	SYS-RA-CAM-088	CFTS092-4781653	—	Surround View camera default setting is OFF	none	1	**Test Set `Auxiliary Cameras`**（R-CAM13(c)）—— `-001` 亦引 SVC 節，RDF-01 之同型
SWE-CAM-001	SYS-RA-VF551_V2-528	VF551_V2_PHDCC27_VF_505	1.13.2.2.3	"""Camera Not in Position"" overlay for 5 s when RHatchSts = Open"	車型 Atl-Hi	1	
SWE-CAM-001	SYS-RA-VF551_V3-252	VF551_V3_P363_VF_505	1.10.2.1	same overlay, Atl-Mi wording + ISO 15008 clause	車型 Atl-Mi	1	
SWE-CAM-001	SYS-RA-VF551_V33-226	VF551_V33_P226MCA_VF_514	1.11.1.2	same overlay for T_INITDISPLAY (2261)	車型 2261	1	
SWE-CAM-001	SYS-RA-VF551_V33-228	VF551_V33_P226MCA_VF_1624	1.11.1.2	same overlay gated by BedExtender Not_Active (2261)	車型 2261	1	PENDING: DR-CAM-f（BED_EXTENDER 不在四本 DBC）
SWE-CAM-001	SYS-RA-VF551_V2-531	VF551_V2_PHDCC27_VF_507	1.13.2.2.4	"""Check Entire Surroundings"" overlay on entering camera display"	車型 Atl-Hi	1	
SWE-CAM-001	SYS-RA-VF551_V4-116	VF551_V4_PHDCC27_VF_507	—	same sentence (V4)	—	0	covered_by: V2-531 之 TC —— 逐字同句、同平台（HDCC27）
