# CAM-26 §3　B 本 216 列之 PENDING ↔ DR 對照（母體：features/camera/generated 十目錄）
dr_id	tc_count	occurrences	status	tc_ids
DR-CAM-a	0	0	未結，B 本無 PENDING 列	—
DR-CAM-b	0	0	未結，B 本無 PENDING 列	—
DR-CAM-c	0	0	未結，B 本無 PENDING 列	—
DR-CAM-d	0	0	未結，B 本無 PENDING 列	—
DR-CAM-e	0	0	未結，B 本無 PENDING 列	—
DR-CAM-f	0	0	未結，B 本無 PENDING 列	—
DR-CAM-g	7	14	未結，阻 B 本交付	NR1L-RVCHMI-005;NR1L-RVCHMI-009;NR1L-RVCHMI-010;NR1L-RVCHMI-022;NR1L-RVCHMI-023;NR1L-RVCHMI-075;NR1L-RVCHMI-076
DR-CAM-h	4	4	未結，阻 B 本交付	NR1L-RVCHMI-070;NR1L-RVCHMI-074;NR1L-RVCHMI-184;NR1L-RVCHMI-214
DR-CAM-i	0	0	未結，B 本無 PENDING 列	—
DR-CAM-j	0	0	未結，B 本無 PENDING 列	—
DR-CAM-k	0	0	未結，B 本無 PENDING 列	—
DR-CAM-l	0	0	未結，B 本無 PENDING 列	—
DR-CAM-m	0	0	未結，B 本無 PENDING 列	—
DR-CAM-n	0	0	未結，B 本無 PENDING 列	—
DR-CAM-o	0	0	未結，B 本無 PENDING 列	—
DR-CAM-p	0	0	未結，B 本無 PENDING 列	—
DR-CAM-q	0	0	未結，B 本無 PENDING 列	—
DR-CAM-r	26	26	未結，阻 B 本交付	NR1L-RVCHMI-003;NR1L-RVCHMI-007;NR1L-RVCHMI-009;NR1L-RVCHMI-010;NR1L-RVCHMI-011;NR1L-RVCHMI-012;NR1L-RVCHMI-013;NR1L-RVCHMI-044;NR1L-RVCHMI-058;NR1L-RVCHMI-076;NR1L-RVCHMI-092;NR1L-RVCHMI-099;NR1L-RVCHMI-106;NR1L-RVCHMI-118;NR1L-RVCHMI-132;NR1L-RVCHMI-138;NR1L-RVCHMI-140;NR1L-RVCHMI-145;NR1L-RVCHMI-146;NR1L-RVCHMI-147;NR1L-RVCHMI-154;NR1L-RVCHMI-169;NR1L-RVCHMI-170;NR1L-RVCHMI-171;NR1L-RVCHMI-172;NR1L-RVCHMI-202
DR-CAM-s	1	1	未結，阻 B 本交付	NR1L-RVCHMI-016
DR-CAM-t	0	0	未結，B 本無 PENDING 列	—
TOTAL	35	45	216 列中 35 列含 PENDING	—
