swe_id	source_id	anchor	cfts092_section	verification_point	proxi_equipment	vehicle_model_1	tc_count	note
SWE-CAM-016	SYS-RA-CAM-063	CFTS092-4781628	§1.3.5 Cargo/CHMSL	Cargo/CHMSL softkey accessible from the Controls screen	Digital_CHMSL_Camera_Prsnt = 1	HDCC27, DT27	1	NR1L-RVC-034；PENDING: DR-CAM-g（Controls screen hop 無來源，A-CA32）
SWE-CAM-016	SYS-RA-CAM-067	CFTS092-4781632	§1.3.5 Cargo/CHMSL	softkey enables the Cargo/CHMSL image; button behaves like its siblings	Digital_CHMSL_Camera_Prsnt = 1	HDCC27, DT27	1	NR1L-RVC-035；ER2 只取顏色變化（press time／size 需治具，§6）
SWE-CAM-016	SYS-RA-CAM-068	CFTS092-4781633	§1.3.5 Cargo/CHMSL	keypress -> internal CHMC IMAGE ON -> truck cargo area image	Digital_CHMSL_Camera_Prsnt = 1	HDCC27, DT27	1	NR1L-RVC-036；內部訊號四本 DBC 零命中，依後果判定
SWE-CAM-016	SYS-RA-CAM-084	CFTS092-4781649	§1.3.7 Surround View	SVC_SK_PRSNT = 1 activates the virtual SVC button	Surround_View_Camera = 1	HDCC27, DT27, VF(ProMaster)637, Fastack (376)	1	NR1L-RVC-037；入口不寫 App Drawer（naming table 無 SVC 列）
SWE-CAM-016	SYS-RA-CAM-085	CFTS092-4781650	§1.3.7 Surround View	keypress -> on-change SVC_SoftBtn_Rq = Pressed within Tsend	Surround_View_Camera = 1	HDCC27, DT27, VF(ProMaster)637, Fastack (376)	1	NR1L-RVC-038；PENDING: DR-CAM-j（訊號與 Tsend 皆無來源）
SWE-CAM-016	SYS-RA-CAM-089	CFTS092-4781654	§1.3.7 Surround View	SVC softkey accessible from the Controls screen	Surround_View_Camera = 1	HDCC27, DT27, VF(ProMaster)637, Fastack (376)	1	NR1L-RVC-039；PENDING: DR-CAM-g
SWE-CAM-016	SYS-RA-CAM-090	CFTS092-4781655	§1.3.7 Surround View	keypress below 8 mph -> video image + SVC_DisplaySts to CVPM	Surround_View_Camera = 1	HDCC27, DT27, VF(ProMaster)637, Fastack (376)	1	NR1L-RVC-040；摘句 56→48；raw 205；PENDING: DR-CAM-j（SVC_DisplaySts）
SWE-CAM-016	SYS-RA-CAM-092	CFTS092-4781657	§1.3.7 Surround View	Speedometer >= 8 MPH greys out the SVC soft button	Surround_View_Camera = 1	HDCC27, DT27, VF(ProMaster)637, Fastack (376)	1	NR1L-RVC-041；raw 206；Tdisplay 無來源，ER 不判時限
SWE-CAM-016	SYS-RA-CAM-093	CFTS092-4781658	§1.3.7 Surround View	Speedometer = SNA retains the SVC soft button state	Surround_View_Camera = 1	HDCC27, DT27, VF(ProMaster)637, Fastack (376)	1	NR1L-RVC-042；raw 8191 = SNA（四本 DBC VAL_）
SWE-CAM-016	SYS-RA-CAM-091	CFTS092-4781656	§1.3.7 Surround View	keypress -> TGW_DISP_STAT per CFTS020	Surround_View_Camera = 1	HDCC27, DT27, VF(ProMaster)637, Fastack (376)	1	NR1L-RVC-043；R-CAM13(b) 故生成；PENDING: DR-CAM-j（CFTS020 值域無 SVC 項）
SWE-CAM-016	SYS-RA-CAM-095	CFTS092-4781660	§1.3.8 Forward Facing	OFFroad_Camera = Present activates the virtual FFC button	Forward_Facing_Camera = 1	HDCC27, DT27, VF(ProMaster)637, Fastack (376)	1	NR1L-RVC-044；CFTS044-2122 之例外屬 §8.4.2 所擋（R-CAM13(b)），不生成
SWE-CAM-016	SYS-RA-CAM-096	CFTS092-4781661	§1.3.8 Forward Facing	keypress -> on-change CameraDisplaySts = View 3 to the CVPM	Forward_Facing_Camera = 1	HDCC27, DT27, VF(ProMaster)637	1	NR1L-RVC-045；RADIO_B3.CameraDisplaySts VAL_ 3 View_3；376 勾 0（P363 DBC 無該訊號）
SWE-CAM-016	（Toro 2261 全列）	—	—	—	三個 PROXI 參數皆查無	（無）	0	`Toro_ATL_MI` PROXI 表止於 byte 172，Cargo/SVC/FFC 三參數皆不存在，12 列一律勾 0（升級條件第 4 項之回報）
SWE-CAM-016	SYS-RA-CAM-076	CFTS092-4781641	§1.3.6 Rear Camera	Rear Camera softkey accessible from the Controls screen	Rear_View_Camera = 1	—	0	**batch01 現況仍為不生成**（DR-CAM-g）；與 -063／-089 同句型，是否比照改為生成歸 Pei（A-CA32）
