# CAM-28 §4　RD 驗證標準（VC）／驗證方法（VM）↔ A 本 TC 對帳（只對帳不生成；R-CAM13(d)：VC／VM 欄非來源）
# 母體：既有本 CFTS092 37／V2 103／V3 41 列之 VC 非空列（dependency 本逐列同）。state：COVERED／PARTIAL／RD-ONLY（有 TC 者）；NO-TC（037 有引而無 TC 錨）；NOT-CITED（037 未引）
# missing_points 以 ` || ` 分隔，逐字摘自 RD VC；`[not in source]` ＝該點不見於來源 Description
book	sys_ra_id	anchor	tc_ids	state	missing_points	method_gap	plan_note
CFTS092	SYS-RA-CAM-061	CFTS092-4781626	—	NOT-CITED	—	—	—
CFTS092	SYS-RA-CAM-062	CFTS092-4781627	—	NO-TC	—	—	covered_by: NR1L-RVC-001；R-CAM12 疊層同句，錨取 Rear 節之 -075
CFTS092	SYS-RA-CAM-063	CFTS092-4781628	NR1L-RVC-034	COVERED	—	—	—
CFTS092	SYS-RA-CAM-064	CFTS092-4781629	—	NO-TC	—	—	無 plan 紀錄
CFTS092	SYS-RA-CAM-065	CFTS092-4781630	—	NO-TC	—	—	無 plan 紀錄
CFTS092	SYS-RA-CAM-066	CFTS092-4781631	—	NO-TC	—	—	無 plan 紀錄
CFTS092	SYS-RA-CAM-067	CFTS092-4781632	NR1L-RVC-035	PARTIAL	button size and visual style shall follow the definition of HMI document	—	—
CFTS092	SYS-RA-CAM-068	CFTS092-4781633	NR1L-RVC-036	PARTIAL	the internal signal CHMC_IMAGE_ON shall be generated or received by the HU || [not in source] remain stable without flickering or black screen	Observe the HU internal log or CAN trace for the signal CHMC_IMAGE_ON.	—
CFTS092	SYS-RA-CAM-069	CFTS092-4781634	NR1L-RVC-095	PARTIAL	the HU shall generate and receive the internal signal CHMC IMAGE OFF || [not in source] the cargo camera image shall immediately disappear from the HU display	check logs	—
CFTS092	SYS-RA-CAM-071	CFTS092-4781636	—	NOT-CITED	—	—	—
CFTS092	SYS-RA-CAM-072	CFTS092-4781637	NR1L-RVC-025	PARTIAL	[not in source] When the $RVC_SK_PRSNT$ signal status is [Not Present], the RVC button shall be disabled or hidden	—	—
CFTS092	SYS-RA-CAM-073	CFTS092-4781638	NR1L-RVC-023	PARTIAL	The soft button shall not be selectable when $PowerMode$ = [OFF], [ACC], or any other state	Use system diagnostic or simulation tools to change the $PowerMode$ signal among [OFF], [ACC], and [IGN_RUN].	—
CFTS092	SYS-RA-CAM-074	CFTS092-4781639	NR1L-RVC-024	PARTIAL	When $PowerMode changes from [IGN_RUN] to any other state (e.g., ACC, OFF) (only ACC is tested; OFF not verified)	—	—
CFTS092	SYS-RA-CAM-075	CFTS092-4781640	NR1L-RVC-001	COVERED	—	—	—
CFTS092	SYS-RA-CAM-076	CFTS092-4781641	NR1L-RVC-046	PARTIAL	[not in source] after select the softkey button, it shall launch RVC display correctly	—	—
CFTS092	SYS-RA-CAM-077	CFTS092-4781642	NR1L-RVC-028	PARTIAL	The Rear Camera image shall remain continuously displayed on the head unit screen once activated. || The image shall not disappear automatically unless the driver performs a softkey press to disable it.	—	—
CFTS092	SYS-RA-CAM-078	CFTS092-4781643	NR1L-RVC-007;NR1L-RVC-008;NR1L-RVC-009;NR1L-RVC-010	PARTIAL	The camera image shall not disappear until both of the following conditions are satisfied: Display timer exceeds 10 seconds, and Vehicle speed exceeds 8 mph (no TC holds speed > 8 mph and checks the image stays until the 10 s timer expires; RVC-009 expects closing within 10 s, RVC-007/008 expect closing after 10 s below 8 mph)	—	—
CFTS092	SYS-RA-CAM-079	CFTS092-4781644	—	NO-TC	—	—	無 plan 紀錄
CFTS092	SYS-RA-CAM-080	CFTS092-4781645	—	NO-TC	—	—	無 plan 紀錄
CFTS092	SYS-RA-CAM-081	CFTS092-4781646	—	NO-TC	—	—	無 plan 紀錄
CFTS092	SYS-RA-CAM-082	CFTS092-4781647	NR1L-RVC-047	PARTIAL	the system shall generate and receive the internal signal RVC IMAGE OFF || [not in source] the HU shall stop displaying the rear-view camera image immediately || [not in source] No residual or frozen image of the rear view shall remain visible on the display.	Internal logs or CAN traces show the signal RVC IMAGE OFF triggered	—
CFTS092	SYS-RA-CAM-084	CFTS092-4781649	NR1L-RVC-037	PARTIAL	[not in source] When $SVC_SK_PRSNT$ = [0] -> The SVC button shall not be visible or shall remain disabled || [not in source] No other camera-related buttons or functions shall be unintentionally affected	—	—
CFTS092	SYS-RA-CAM-085	CFTS092-4781650	NR1L-RVC-038	PARTIAL	No unintended or repeated signal transmission shall occur unless another keypress event is detected.	—	—
CFTS092	SYS-RA-CAM-086	CFTS092-4781651	NR1L-RVC-096	COVERED	—	—	—
CFTS092	SYS-RA-CAM-087	CFTS092-4781652	NR1L-RVC-097	PARTIAL	When a new keypress occurs, the signal state changes accordingly (e.g., to [Pressed] or another defined state). || [not in source] No interruption, delay, or missing transmission of $SVC_SoftBtn_Rq$ occurs during the “Not Pressed” state.	—	—
CFTS092	SYS-RA-CAM-088	CFTS092-4781653	NR1L-RVC-048	PARTIAL	When the system (HU) is powered ON or rebooted, the Surround View camera shall remain OFF by default. || [not in source] internal status signals ($Surround_View_Status = OFF) || [not in source] The default OFF state shall persist after system reset, power cycle, or software update.	Power on the HU and observe the initial state of the Surround View function	—
CFTS092	SYS-RA-CAM-089	CFTS092-4781654	NR1L-RVC-039	PARTIAL	[not in source] When the Softkey is selected, the system correctly launches or switches to the Surround View Camera display. || [not in source] The Softkey is positioned according to UI design specifications (layout, label, and icon match design documents). || [not in source] The button remains accessible under all expected system states where camera functions are enabled (e.g., vehicle in park, ignition ON).	Use system log or debug monitor to confirm correct triggering of the SVC application upon Softkey activation.	—
CFTS092	SYS-RA-CAM-090	CFTS092-4781655	NR1L-RVC-040	PARTIAL	The video display and signal transmission shall occur within the specified timing window (<Tsend>) || If the vehicle speed is ≥ 8 mph, pressing the SVC button shall not activate the display	—	—
CFTS092	SYS-RA-CAM-091	CFTS092-4781656	NR1L-RVC-043	COVERED	—	—	—
CFTS092	SYS-RA-CAM-092	CFTS092-4781657	NR1L-RVC-041	PARTIAL	The grey-out action shall be completed within <Tdisplay> (defined display update time). || [not in source] When the vehicle speed drops below 8 MPH, the button shall return to active (selectable) state || [not in source] The system shall not allow activation of the Surround View Camera when the button is greyed out.	—	—
CFTS092	SYS-RA-CAM-093	CFTS092-4781658	NR1L-RVC-042	PARTIAL	The Surround View Camera display status remains unchanged within the specified time <Tdisplay>. || [not in source] When the Speedometer signal returns to a valid value, the camera soft button behavior returns to normal	—	—
CFTS092	SYS-RA-CAM-095	CFTS092-4781660	NR1L-RVC-044	PARTIAL	[not in source] $OFFroad_Camera$ = [Absent] FFC button shall not be displayed or selectable	—	—
CFTS092	SYS-RA-CAM-096	CFTS092-4781661	NR1L-RVC-045	PARTIAL	[not in source] The CVPM shall correctly receive the $CameraDisplaySts$ message and update the display to the corresponding Forward Camera view (View 3)	—	—
CFTS092	SYS-RA-CAM-097	CFTS092-4781662	NR1L-RVC-093	COVERED	—	—	—
CFTS092	SYS-RA-CAM-098	CFTS092-4781663	NR1L-RVC-094	PARTIAL	Upon the next keypress, the HU shall update or stop sending $CameraDisplaySts$ according to the corresponding display transition logic. || [not in source] The signal transmission interval and timing shall comply with the system’s defined CAN message cycle time	—	—
CFTS092	SYS-RA-CAM-103	CFTS092-4781668	—	NOT-CITED	—	—	—
CFTS092	SYS-RA-CAM-104	CFTS092-4781669	—	NOT-CITED	—	—	—
V2	SYS-RA-VF551_V2-205	VF551_V2_PHDCC27_VF_1821	NR1L-RVC-185	COVERED	—	—	—
V2	SYS-RA-VF551_V2-208	VF551_V2_PHDCC27_VF_1593	—	NO-TC	—	—	covered_by: V2-205 之 TC —— 逐字同句（同本之另一節）
V2	SYS-RA-VF551_V2-211	VF551_V2_PHDCC27_VF_1592	NR1L-RVC-198	COVERED	—	—	—
V2	SYS-RA-VF551_V2-212	VF551_V2_PHDCC27_VF_931	NR1L-RVC-197	COVERED	—	—	—
V2	SYS-RA-VF551_V2-214	VF551_V2_PHDCC27_VF_1591	NR1L-RVC-184	PARTIAL	[not in source] remains False for at least T_healing milliseconds || [not in source] resetting the fault detection counter (FDC) || [not in source] potentially changing the status bytes (e.g., "confirmed" status bit set to False or DTC moved to "history"	—	—
V2	SYS-RA-VF551_V2-215	VF551_V2_PHDCC27_VF_927	NR1L-RVC-183	PARTIAL	[not in source] this state persists for at least T_debounce milliseconds || [not in source] with the correct status bytes (e.g., "confirmed" status bit set, occurrence counter incremented)	Simulate a communication timeout for a specific critical message or link (e.g., stop transmitting a required CAN message, or disconnect an LVDS link to a camera). Maintain this timeout condition for longer than T_debounce.	—
V2	SYS-RA-VF551_V2-217	VF551_V2_PHDCC27_VF_1590	NR1L-RVC-182	PARTIAL	[not in source] remains False for at least T_healing milliseconds || [not in source] resetting the fault detection counter (FDC) || [not in source] potentially changing the status bytes (e.g., "confirmed" status bit set to False or DTC moved to "history"	—	—
V2	SYS-RA-VF551_V2-218	VF551_V2_PHDCC27_VF_926	NR1L-RVC-181	PARTIAL	[not in source] this state persists for at least T_debounce milliseconds || [not in source] with the correct status bytes (e.g., "confirmed" status bit set, occurrence counter incremented)	—	—
V2	SYS-RA-VF551_V2-220	VF551_V2_PHDCC27_VF_1589	NR1L-RVC-180	PARTIAL	[not in source] remains False for at least T_healing milliseconds || [not in source] resetting the fault detection counter (FDC) || [not in source] potentially changing the status bytes (e.g., "confirmed" status bit set to False or DTC moved to "history"	—	—
V2	SYS-RA-VF551_V2-221	VF551_V2_PHDCC27_VF_123	NR1L-RVC-179	PARTIAL	[not in source] this state persists for at least T_debounce milliseconds || [not in source] with the correct status bytes (e.g., "confirmed" status bit set, occurrence counter incremented)	If it's an internal software signal, use a debugger or software injection framework.	—
V2	SYS-RA-VF551_V2-442	VF551_V2_PHDCC27_VF_1925	NR1L-RVC-163	PARTIAL	for all defined states and ranges	Timing Tests: Transmit PROXI PAM_Tuning_Set messages at varying rates (nominal, higher, lower) ... Fault Injection (Missing) ... Fault Injection (Invalid)	—
V2	SYS-RA-VF551_V2-443	VF551_V2_PHDCC27_VF_1924	NR1L-RVC-136	RD-ONLY	—	Nominal Cases: Transmit PROXI Dual_Rear_Wheels_Present for all valid states (e.g., "Present", "Not Present"). Timing Tests ... Fault Injection (Missing) ... Fault Injection (Invalid)	—
V2	SYS-RA-VF551_V2-444	VF551_V2_PHDCC27_VF_1232	NR1L-RVC-137	RD-ONLY	—	Nominal Cases: Transmit PROXI Wheelbase values across its entire valid range, including minimum, maximum, nominal, and boundary values. Timing Tests ... Fault Injection (Missing) ... Fault Injection (Invalid)	—
V2	SYS-RA-VF551_V2-445	VF551_V2_PHDCC27_VF_630	NR1L-RVC-138	PARTIAL	for all defined states and ranges	Nominal Cases: Program/transmit all valid values ... Timing Tests ... Fault Injection (Missing) ... Fault Injection (Invalid)	—
V2	SYS-RA-VF551_V2-446	VF551_V2_PHDCC27_VF_1922	NR1L-RVC-073	RD-ONLY	—	Negative Test Cases: Program various other valid combinations (e.g., HDCC with different Body_Types, different Vehicle_Line_Configuration with Type 4 - DJ ...) || Fault Injection (Missing) ... Fault Injection (Invalid)	—
V2	SYS-RA-VF551_V2-447	VF551_V2_PHDCC27_VF_1921	NR1L-RVC-074	RD-ONLY	—	Negative Test Cases: Program various other valid combinations (e.g., HDCC with different Body_Types, different Vehicle_Line_Configuration with Type 1 - D2 ...) || Fault Injection (Missing) ... Fault Injection (Invalid)	—
V2	SYS-RA-VF551_V2-448	VF551_V2_PHDCC27_VF_624	NR1L-RVC-164	PARTIAL	for all defined states and ranges	Transmit all valid values for Steering_Ratio_Rack_Pinion_Type across its entire defined range (e.g., minimum, maximum, nominal, and boundary values) ... Timing Tests ... Fault Injection (Missing) ... Fault Injection (Invalid)	—
V2	SYS-RA-VF551_V2-449	VF551_V2_PHDCC27_VF_1727	—	NO-TC	—	—	covered_by: V2-477 之 TC —— 逐字近同之 `b.` 子句
V2	SYS-RA-VF551_V2-450	VF551_V2_PHDCC27_VF_1728	NR1L-RVC-119	PARTIAL	[not in source] no valid message for this signal being received on the CAN bus for a period exceeding X milliseconds	Simulate IPC_VEHICLE_SETUP.DynamicGrid messages being transmitted normally and then abruptly stopping ... (with varying durations of loss, including just above/below X ms timeout) || IPC_VEHICLE_SETUP.DynamicGrid appearing after the Y second wake-up window || Simulate intermittent loss and recovery	—
V2	SYS-RA-VF551_V2-451	VF551_V2_PHDCC27_VF_1046	NR1L-RVC-118	RD-ONLY	—	Vary the DynamicGrid values to cover all defined states (e.g., Enabled, Disabled). Vary the transmission rate ... Simulate missing DynamicGrid messages ... Simulate invalid DynamicGrid values	—
V2	SYS-RA-VF551_V2-452	VF551_V2_PHDCC27_VF_1714	NR1L-RVC-161	PARTIAL	continue to transmit LVDS vehicleUpdate_2.ASCM_Stat = [SNA] as long as the ASCM_FD_2.ASCM_Stat signal remains missing	Vary the duration of the "missing" period, including durations just above and below the defined timeout (X ms). Simulate intermittent loss and recovery	—
V2	SYS-RA-VF551_V2-453	VF551_V2_PHDCC27_VF_613	NR1L-RVC-160	RD-ONLY	—	Vary the ASCM_Stat values to cover all defined states (e.g., active, passive, fault, unavailable). Vary the transmission rate	—
V2	SYS-RA-VF551_V2-454	VF551_V2_PHDCC27_VF_2038	—	NO-TC	—	—	**不生成** —— 同上（hybrid 分支之 SNA 側）
V2	SYS-RA-VF551_V2-455	VF551_V2_PHDCC27_VF_2037	—	NO-TC	—	—	**不生成** —— hybrid 分支之 PT_SYSTEM_FD_1 不可注入（A-CA15）
V2	SYS-RA-VF551_V2-456	VF551_V2_PHDCC27_VF_2036	NR1L-RVC-157	PARTIAL	correctly evaluate the condition: Hybrid_Type != "Range Electric Paradigm Breaker" AND Hybrid_Type != "Fuel Cell Electric Vehicle"	Transmit Hybrid_Type messages for all defined types, explicitly including "Range Electric Paradigm Breaker", "Fuel Cell Electric Vehicle", and at least one other type	—
V2	SYS-RA-VF551_V2-457	VF551_V2_PHDCC27_VF_2035	NR1L-RVC-156	PARTIAL	correctly evaluate the condition: Hybrid_Type != "Range Electric Paradigm Breaker" AND Hybrid_Type != "Fuel Cell Electric Vehicle"	inject FD-CAN8 TRANSM_FD_4.ShiftLeverPosition with a full range of values (Park, Reverse, Neutral, Drive, etc.) || Simultaneously inject Hybrid_Type values for all defined types	—
V2	SYS-RA-VF551_V2-458	VF551_V2_PHDCC27_VF_1884	NR1L-RVC-153	RD-ONLY	—	Vary the duration of the "missing" period and the characteristics of the "missing" event (e.g., intermittent loss, complete loss)	—
V2	SYS-RA-VF551_V2-459	VF551_V2_PHDCC27_VF_1883	NR1L-RVC-152	PARTIAL	precise adherence to any defined scaling factors, unit conversions, and sign conventions (e.g., degrees, radians, direction)	Full range of steering angles (lock-to-lock). Rapid steering inputs and slow, deliberate turns ... Defined invalid states (e.g., SNA if applicable on CAN, message timeouts, implausible values)	—
V2	SYS-RA-VF551_V2-460	VF551_V2_PHDCC27_VF_1711	NR1L-RVC-151	PARTIAL	[not in source] not received by the Head Unit for a duration exceeding T_missing_timeout milliseconds	—	—
V2	SYS-RA-VF551_V2-461	VF551_V2_PHDCC27_VF_616	NR1L-RVC-150	PARTIAL	at all valid input ranges, considering any specified scaling or conversion factors	inject ... messages with known, varying vehicle speed values and different update rates	—
V2	SYS-RA-VF551_V2-477	VF551_V2_PHDCC27_VF_1666	NR1L-RVC-120	PARTIAL	under any operating condition, including power-up, normal operation, error conditions, mode changes, and power-down sequences	Continuously monitor the gridZoomRequest.DynamicGridRQSts signal over extended test periods covering all possible operational states and transitions	—
V2	SYS-RA-VF551_V2-478	VF551_V2_PHDCC27_VF_1672	NR1L-RVC-121	COVERED	—	—	—
V2	SYS-RA-VF551_V2-479	VF551_V2_PHDCC27_VF_1673	NR1L-RVC-122	RD-ONLY	—	simulate a customer selecting the "Disable Dynamic Gridlines" option on the Head Unit's HMI	—
V2	SYS-RA-VF551_V2-480	VF551_V2_PHDCC27_VF_1674	NR1L-RVC-123	RD-ONLY	—	simulate a customer selecting the "Enable Dynamic Gridlines" option on the Head Unit's HMI	—
V2	SYS-RA-VF551_V2-483	VF551_V2_PHDCC27_VF_1158	NR1L-RVC-162	COVERED	—	—	—
V2	SYS-RA-VF551_V2-484	VF551_V2_PHDCC27_VF_599	NR1L-RVC-079	COVERED	—	—	—
V2	SYS-RA-VF551_V2-485	VF551_V2_PHDCC27_VF_595	NR1L-RVC-130	PARTIAL	c. each value of systemStatus.ZoomViewRes	—	—
V2	SYS-RA-VF551_V2-486	VF551_V2_PHDCC27_VF_750	NR1L-RVC-131;NR1L-RVC-132;NR1L-RVC-133;NR1L-RVC-134;NR1L-RVC-135	COVERED	—	—	—
V2	SYS-RA-VF551_V2-488	VF551_V2_PHDCC27_VF_484	NR1L-RVC-011	PARTIAL	wait for reverse debounce time (Reverse_Deb = 750 ms) || [not in source] defeat button should not display on screen	—	—
