sheet	row	col	tc_id	rule	old_text	new_text	mechanical
Test Case Specification 測試用例規範	189	10	newR1L-SU-180	P-v3→v4:bare	$FOTA_MASTER.FOTA_Status$		N
Test Case Specification 測試用例規範	189	12	newR1L-SU-180	P-v3→v4:bare	$FOTA_MASTER.FOTA_Status$		N
Test Case Specification 測試用例規範	189	13	newR1L-SU-180	P-v3→v4:bare	$FOTA_MASTER.FOTA_Status$		N
Test Case Specification 測試用例規範	14		newR1L-SU-005	X-nav	3. Record the head unit screen content as continuous video capture until the hea	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	17		newR1L-SU-008	X-nav	1. Select the Wi-Fi software download entry in the Settings menu	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	17		newR1L-SU-008	X-nav	2. Check that the head unit displays the software download via Wi-Fi screen	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	19		newR1L-SU-010	X-nav	1. Record the head unit screen content as continuous video capture from the mome	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	19		newR1L-SU-010	X-nav	3. Check that no Wi-Fi network configuration pop-up appears in the recorded scre	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	22		newR1L-SU-013	X-nav	2. Record the head unit screen content as continuous video capture until the che	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	23		newR1L-SU-014	X-nav	1. Record the head unit screen content as continuous video capture until the che	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	25		newR1L-SU-016	X-nav	1. Record the head unit screen content as continuous video capture until the dep	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	27		newR1L-SU-018	X-nav	1. Record the head unit screen content as continuous video capture from the avai	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	27		newR1L-SU-018	X-nav	4. Check that no download confirmation screen appears in the recorded screen con	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	28		newR1L-SU-019	X-nav	2. Check that the head unit displays the deployment confirmation screen for this	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	30		newR1L-SU-021	X-nav	2. Record the head unit screen content as continuous video capture from the avai	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	30		newR1L-SU-021	X-nav	4. Check that the recorded screen content shows the critical update being instal	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	31		newR1L-SU-022	X-nav	1. Record the head unit screen content as continuous video capture from the avai	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	31		newR1L-SU-022	X-nav	3. Check that the recorded screen content shows the SW Update opt-in screen for 	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	32		newR1L-SU-023	X-nav	1. Record the head unit screen content as continuous video capture from the upda	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	32		newR1L-SU-023	X-nav	3. Check that the recorded screen content contains no update notification, no pr	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	33		newR1L-SU-024	X-nav	1. Check that the SW Update opt-in screen offers no reject control for this crit	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	33		newR1L-SU-024	X-nav	2. Check that the SW Update opt-in screen offers a postpone control	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	34		newR1L-SU-025	X-nav	1. Open the software download via Wi-Fi page on the head unit	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	34		newR1L-SU-025	X-nav	2. Check that the page shows an option to enable software download via Wi-Fi	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	35		newR1L-SU-026	X-nav	2. Record the head unit screen content as continuous video capture until the che	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	36		newR1L-SU-027	X-nav	2. Record the head unit screen content as continuous video capture until the che	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	37		newR1L-SU-028	X-nav	2. Record the head unit screen content as continuous video capture until the che	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	37		newR1L-SU-028	X-nav	4. Check that the head unit shows the software download via Wi-Fi page	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	38		newR1L-SU-029	X-nav	1. Record the head unit screen content as continuous video capture until the ava	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	39		newR1L-SU-030	X-nav	2. Record the head unit screen content as continuous video capture until the che	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	40		newR1L-SU-031	X-nav	2. Record the head unit screen content as continuous video capture until the che	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	41		newR1L-SU-032	X-nav	2. Exit the software download via Wi-Fi page and open it again	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	41		newR1L-SU-032	X-nav	3. Record the head unit screen content as continuous video capture until the che	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	42		newR1L-SU-033	X-nav	2. Record the head unit screen content as continuous video capture until the che	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	43		newR1L-SU-034	X-nav	2. Record the head unit screen content as continuous video capture until the che	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	43		newR1L-SU-034	X-nav	3. Check that the head unit offers an option to navigate back to the software do	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	43		newR1L-SU-034	X-nav	4. Select the option to navigate back and check that the head unit shows the sof	（須查 HMI 來源，R-G71(d)：不造 hop）	N
Test Case Specification 測試用例規範	44		newR1L-SU-035	X-nav	2. Record the head unit screen content as continuous video capture until the che	（須查 HMI 來源，R-G71(d)：不造 hop）	N
