規格原名	BO_(訊息)	SG_(訊號)	GenSigSendType
IPC_VEHICLE_SETUP.AmbientLightingLevel	IPC_VEHICLE_SETUP	AmbientLightingLevel	3
IPC_VEHICLE_SETUP.AutoHighBeamEnable	IPC_VEHICLE_SETUP	AutoHighBeamEnable	3
IPC_VEHICLE_SETUP.AutoParkBrake	IPC_VEHICLE_SETUP	AutoParkBrake	3
IPC_VEHICLE_SETUP.ConsumptionUnit	IPC_VEHICLE_SETUP	ConsumptionUnit	3
IPC_VEHICLE_SETUP.CorneringEnable	IPC_VEHICLE_SETUP	CorneringEnable	3
IPC_VEHICLE_SETUP.DRLEnable	IPC_VEHICLE_SETUP	DRLEnable	3
IPC_VEHICLE_SETUP.DistanceUnit	IPC_VEHICLE_SETUP	DistanceUnit	3
IPC_VEHICLE_SETUP.DynamicGrid	IPC_VEHICLE_SETUP	DynamicGrid	3
IPC_VEHICLE_SETUP.ExternalLightSensorLevel	IPC_VEHICLE_SETUP	ExternalLightSensorLevel	3
IPC_VEHICLE_SETUP.GreetingLightsEnable	IPC_VEHICLE_SETUP	GreetingLightsEnable	3
IPC_VEHICLE_SETUP.HourMode	IPC_VEHICLE_SETUP	HourMode	3
IPC_VEHICLE_SETUP.LanguageSelection	IPC_VEHICLE_SETUP	LanguageSelection	3
IPC_VEHICLE_SETUP.NavRepetition	IPC_VEHICLE_SETUP	NavRepetition	3
IPC_VEHICLE_SETUP.PamAlertMode	IPC_VEHICLE_SETUP	PamAlertMode	3
IPC_VEHICLE_SETUP.PamChimeVolumeFront	IPC_VEHICLE_SETUP	PamChimeVolumeFront	3
IPC_VEHICLE_SETUP.PamChimeVolumeRear	IPC_VEHICLE_SETUP	PamChimeVolumeRear	3
IPC_VEHICLE_SETUP.PassiveEntry	IPC_VEHICLE_SETUP	PassiveEntry	3
IPC_VEHICLE_SETUP.PhoneRepetition	IPC_VEHICLE_SETUP	PhoneRepetition	3
IPC_VEHICLE_SETUP.RemoteDoorUnlock	IPC_VEHICLE_SETUP	RemoteDoorUnlock	3
IPC_VEHICLE_SETUP.Sdw	IPC_VEHICLE_SETUP	Sdw	3
IPC_VEHICLE_SETUP.SdwChimeVolume	IPC_VEHICLE_SETUP	SdwChimeVolume	3
IPC_VEHICLE_SETUP.SpeedLockDoorEnable	IPC_VEHICLE_SETUP	SpeedLockDoorEnable	3
IPC_VEHICLE_SETUP.TelematicSetupACK	IPC_VEHICLE_SETUP	TelematicSetupACK	3
IPC_VEHICLE_SETUP.TemperatureUnit	IPC_VEHICLE_SETUP	TemperatureUnit	3
IPC_VEHICLE_SETUP2.AutoUnlockDoorExit	IPC_VEHICLE_SETUP2	AutoUnlockDoorExit	3
IPC_VEHICLE_SETUP2.Backup_Cam_Delay	IPC_VEHICLE_SETUP2	Backup_Cam_Delay	3
IPC_VEHICLE_SETUP2.EPB_MaintenanceMode	IPC_VEHICLE_SETUP2	EPB_MaintenanceMode	3
IPC_VEHICLE_SETUP2.EPB_Maintenance_Fdbk	IPC_VEHICLE_SETUP2	EPB_Maintenance_Fdbk	3
IPC_VEHICLE_SETUP2.FSFCWPlusActivationMode	IPC_VEHICLE_SETUP2	FSFCWPlusActivationMode	3
IPC_VEHICLE_SETUP2.FSFCWPlusSetting	IPC_VEHICLE_SETUP2	FSFCWPlusSetting	3
IPC_VEHICLE_SETUP2.FlashLightWLock	IPC_VEHICLE_SETUP2	FlashLightWLock	3
IPC_VEHICLE_SETUP2.HeadlightsOffDelay	IPC_VEHICLE_SETUP2	HeadlightsOffDelay	3
IPC_VEHICLE_SETUP2.LDW_Intensity	IPC_VEHICLE_SETUP2	LDW_Intensity	3
IPC_VEHICLE_SETUP2.LDW_Sensibility	IPC_VEHICLE_SETUP2	LDW_Sensibility	3
IPC_VEHICLE_SETUP2.RainSensorSensibility	IPC_VEHICLE_SETUP2	RainSensorSensibility	3
IPC_VEHICLE_SETUP2.TyrePressureUnit	IPC_VEHICLE_SETUP2	TyrePressureUnit	3
IPC_VEHICLE_SETUP3.SoundHornLockUnlock	IPC_VEHICLE_SETUP3	SoundHornLockUnlock	3
SERVICE_SETUP.ClearPersonalData	SERVICE_SETUP	ClearPersonalData	3
SERVICE_SETUP.PrivacyMode	SERVICE_SETUP	PrivacyMode	3
SERVICE_SETUP.RestoreApp	SERVICE_SETUP	RestoreApp	3
SERVICE_SETUP.RestoreDefaultSetting	SERVICE_SETUP	RestoreDefaultSetting	3
SERVICE_SETUP.TelematicSetupAck	SERVICE_SETUP	TelematicSetupAck	3
STATUS_CCAN3.VehicleSpeedVSOSig	STATUS_CCAN3	VehicleSpeedVSOSig	7
STATUS_CCAN3.VehicleSpeedVSOSigFailSts	STATUS_CCAN3	VehicleSpeedVSOSigFailSts	7
TELEMATIC_SERVICE_SETUP.ClearPersonalDataReq	TELEMATIC_SERVICE_SETUP	ClearPersonalDataReq	1
TELEMATIC_SERVICE_SETUP.PrivacyModeReq	TELEMATIC_SERVICE_SETUP	PrivacyModeReq	1
TELEMATIC_SERVICE_SETUP.RestoreAppReq	TELEMATIC_SERVICE_SETUP	RestoreAppReq	1
TELEMATIC_SERVICE_SETUP.RestoreDefaultSettingReq	TELEMATIC_SERVICE_SETUP	RestoreDefaultSettingReq	1
TELEMATIC_VEHICLE_SETUP.AmbientLightingLevel_Req	TELEMATIC_VEHICLE_SETUP	AmbientLightingLevel_Req	1
TELEMATIC_VEHICLE_SETUP.AutoHighBeamEnable_Req	TELEMATIC_VEHICLE_SETUP	AutoHighBeamEnable_Req	1
TELEMATIC_VEHICLE_SETUP.AutoParkBrake_Req	TELEMATIC_VEHICLE_SETUP	AutoParkBrake_Req	1
TELEMATIC_VEHICLE_SETUP.ConsumptionUnit_Req	TELEMATIC_VEHICLE_SETUP	ConsumptionUnit_Req	1
TELEMATIC_VEHICLE_SETUP.CorneringEnable_Req	TELEMATIC_VEHICLE_SETUP	CorneringEnable_Req	1
TELEMATIC_VEHICLE_SETUP.DRLEnable_Req	TELEMATIC_VEHICLE_SETUP	DRLEnable_Req	1
