sheet_row	polarion_id	melco_id	chapter_for_vf	document_id	function_level1	verification_method_trunc	denominator	mark
404	NRL-375863		01.11.01.01	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
405	NRL-375864		01.11.01.01	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
408	NRL-375867		01.11.01.01.01	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
409	NRL-375868		01.11.01.01.01	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
410	NRL-375869		01.11.01.01.01	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
411	NRL-375870		01.11.01.01.01	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
412	NRL-375871		01.11.01.01.01	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
415	NRL-375874		01.11.01.01.02	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
416	NRL-375875		01.11.01.01.02	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
417	NRL-375876		01.11.01.01.02	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
418	NRL-375877		01.11.01.01.02	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
419	NRL-375878		01.11.01.01.02	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
421	NRL-375880		01.11.01.01.03	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
422	NRL-375881		01.11.01.01.03	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
423	NRL-375882		01.11.01.01.03	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
424	NRL-375883		01.11.01.01.03	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
425	NRL-375884		01.11.01.01.03	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
426	NRL-375885		01.11.01.01.03	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
427	NRL-375886		01.11.01.01.03	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
428	NRL-375887		01.11.01.01.03	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
429	NRL-375888		01.11.01.01.03	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
431	NRL-375890		01.11.01.01.04	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
432	NRL-375891		01.11.01.01.04	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
433	NRL-375892		01.11.01.01.04	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
434	NRL-375893		01.11.01.01.04	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
435	NRL-375894		01.11.01.01.04	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
436	NRL-375895		01.11.01.01.04	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
437	NRL-375896		01.11.01.01.04	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
438	NRL-375897		01.11.01.01.04	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
439	NRL-375898		01.11.01.01.04	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
441	NRL-375900		01.11.01.01.05	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
442	NRL-375901		01.11.01.01.05	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
444	NRL-375903		01.11.01.01.05	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
445	NRL-375904		01.11.01.01.05	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
446	NRL-375905		01.11.01.01.05	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
447	NRL-375906		01.11.01.01.05	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
449	NRL-375908		01.11.01.01.05	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
450	NRL-375909		01.11.01.01.05	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
451	NRL-375910		01.11.01.01.05	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
452	NRL-375911		01.11.01.01.05	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
454	NRL-375913		01.11.01.01.06	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
456	NRL-375915		01.11.01.01.06	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
457	NRL-375916		01.11.01.01.06	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
458	NRL-375917		01.11.01.01.06	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
459	NRL-375918		01.11.01.01.06	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
460	NRL-375919		01.11.01.01.06	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
461	NRL-375920		01.11.01.01.06	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
462	NRL-375921		01.11.01.01.06	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
463	NRL-375922		01.11.01.01.06	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
464	NRL-375923		01.11.01.01.06	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
465	NRL-375924		01.11.01.01.06	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
467	NRL-375926		01.11.01.01.06	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
468	NRL-375927		01.11.01.01.06	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
469	NRL-375928		01.11.01.01.06	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
470	NRL-375929		01.11.01.01.06	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
472	NRL-375931		01.11.01.01.07	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
473	NRL-375932		01.11.01.01.07	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
474	NRL-375933		01.11.01.01.07	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
475	NRL-375934		01.11.01.01.07	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Software Validation 2. System Validation 3. Integration test.	IN	
476	NRL-375935		01.11.01.01.07	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
479	NRL-375938		01.11.01.01.08.01	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
480	NRL-375939		01.11.01.01.08.01	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
482	NRL-375941		01.11.01.01.08.01	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
484	NRL-375943		01.11.01.01.08.01	VF665_V43_R3	A. 核心顯示管理(Core Display Management)	1. Peer review 2. Unit test 3. Integration test 4. SW validation 5. System Validation	IN	
