old_tc_id	new_tc_id	changed_cols	reason
NR1L-PowerManagement-001		nav	X-nav
NR1L-PowerManagement-002		nav	X-nav
NR1L-PowerManagement-003		nav	X-nav
NR1L-PowerManagement-004		nav	X-nav
NR1L-PowerManagement-005		12,13	P-v3→v4:bare
NR1L-PowerManagement-010		12	P-v3→v4:bare
NR1L-PowerManagement-011		12,nav	P-v3→v4:send；X-nav
NR1L-PowerManagement-012		12,nav	P-v3→v4:send；X-nav
NR1L-PowerManagement-014		12	P-v3→v4:bare
NR1L-PowerManagement-022		nav	X-nav
NR1L-PowerManagement-023		nav	X-nav
NR1L-PowerManagement-024		nav	X-nav
NR1L-PowerManagement-025		nav	X-nav
NR1L-PowerManagement-026		nav	X-nav
NR1L-PowerManagement-027		12,13,nav	P-v3→v4:bare；P-v3→v4:recv；X-nav
NR1L-PowerManagement-030		12	P-v3→v4:bare
NR1L-PowerManagement-031		10,12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-033		12	P-v3→v4:bare
NR1L-PowerManagement-035		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-037		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-040		12,13	P-v3→v4:bare；P-v3→v4:recv
NR1L-PowerManagement-043		12	P-v3→v4:bare
NR1L-PowerManagement-044		12	P-v3→v4:bare
NR1L-PowerManagement-045		12	P-v3→v4:bare
NR1L-PowerManagement-046		12	P-v3→v4:bare
NR1L-PowerManagement-047		12	P-v3→v4:bare
NR1L-PowerManagement-048		12	P-v3→v4:bare
NR1L-PowerManagement-049		12,13	P-v3→v4:bare；P-v3→v4:send
NR1L-PowerManagement-051		12	P-v3→v4:bare
NR1L-PowerManagement-052		12	P-v3→v4:bare
NR1L-PowerManagement-053		12	P-v3→v4:bare
NR1L-PowerManagement-054		12	P-v3→v4:bare
NR1L-PowerManagement-055		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-057		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-059		12,13	P-v3→v4:bare
NR1L-PowerManagement-060		12,13	P-v3→v4:bare
NR1L-PowerManagement-061		12	P-v3→v4:bare；P-v3→v4:send
NR1L-PowerManagement-062		12,13	P-v3→v4:bare
NR1L-PowerManagement-063		12,13	P-v3→v4:bare
NR1L-PowerManagement-064		12,13	P-v3→v4:bare
NR1L-PowerManagement-065		12,13	P-v3→v4:bare；P-v3→v4:recv；P-v3→v4:send
NR1L-PowerManagement-066		12	P-v3→v4:bare
NR1L-PowerManagement-067		12	P-v3→v4:bare
NR1L-PowerManagement-068		12	P-v3→v4:bare
NR1L-PowerManagement-069		12	P-v3→v4:bare
NR1L-PowerManagement-072		12	P-v3→v4:bare
NR1L-PowerManagement-073		12	P-v3→v4:bare
NR1L-PowerManagement-074		12	P-v3→v4:bare
NR1L-PowerManagement-075		12	P-v3→v4:bare
NR1L-PowerManagement-076		12	P-v3→v4:bare
