sheet	row	col	tc_id	rule	old_text	new_text	mechanical
Test Case Specification&Result	10	12	NR1L-PowerManagement-261	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	10	12	NR1L-PowerManagement-261	P-v3→v4:bare	$TELEMATIC_FD_5.CM_TCH_STAT$		N
Test Case Specification&Result	11	12	NR1L-PowerManagement-262	P-v3→v4:bare	$STATUS_BH_BCM1.OperationalModeSts$		N
Test Case Specification&Result	11	12	NR1L-PowerManagement-262	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	11	13	NR1L-PowerManagement-262	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 4 (Full_Operation) is received	STATUS_TELEMATIC.PowerSts_Telematic = 4 (Full_Operation) is sent	Y
Test Case Specification&Result	14	12	NR1L-PowerManagement-264	P-v3→v4:bare	$TELEMATIC_FD_5.CM_TCH_STAT$		N
Test Case Specification&Result	17	12	NR1L-PowerManagement-267	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	17	12	NR1L-PowerManagement-267	P-v3→v4:bare	$TELEMATIC_FD_5.CM_TCH_STAT$		N
Test Case Specification&Result	18	12	NR1L-PowerManagement-268	P-v3→v4:send	Send the signal $PARK_INFO.ChimeActivation_LHF$ = 1 (Active)	Send CAN: PARK_INFO.ChimeActivation_LHF = 1 (Active)	Y
Test Case Specification&Result	20	12	NR1L-PowerManagement-270	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	20	12	NR1L-PowerManagement-270	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	21	12	NR1L-PowerManagement-271	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	21	12	NR1L-PowerManagement-271	P-v3→v4:bare	$BCM_FD_27.Comfort_Enable_Time$		N
Test Case Specification&Result	21	12	NR1L-PowerManagement-271	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	21	13	NR1L-PowerManagement-271	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 2 (Timed) is received	STATUS_TELEMATIC.PowerSts_Telematic = 2 (Timed) is sent	Y
Test Case Specification&Result	21	13	NR1L-PowerManagement-271	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 2 (Timed) is received	STATUS_TELEMATIC.PowerSts_Telematic = 2 (Timed) is sent	Y
Test Case Specification&Result	21	13	NR1L-PowerManagement-271	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 1 (Standby) is received	STATUS_TELEMATIC.PowerSts_Telematic = 1 (Standby) is sent	Y
Test Case Specification&Result	21	13	NR1L-PowerManagement-271	P-v3→v4:bare	$BCM_FD_27.Comfort_Enable_Time$		N
Test Case Specification&Result	24	12	NR1L-PowerManagement-273	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	24	12	NR1L-PowerManagement-273	P-v3→v4:bare	$TELEMATIC_FD_5.CM_TCH_STAT$		N
Test Case Specification&Result	26	12	NR1L-PowerManagement-275	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	26	12	NR1L-PowerManagement-275	P-v3→v4:bare	$TELEMATIC_FD_5.CM_TCH_STAT$		N
Test Case Specification&Result	28	12	NR1L-PowerManagement-277	P-v3→v4:bare	$TELEMATIC_FD_5.CM_TCH_STAT$		N
Test Case Specification&Result	29	12	NR1L-PowerManagement-281	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	29	13	NR1L-PowerManagement-281	P-v3→v4:recv	The signal value $STATUS_TELEMATIC.PowerSts_Telematic$ = 6 (Bench) is received	STATUS_TELEMATIC.PowerSts_Telematic = 6 (Bench) is sent	Y
Test Case Specification&Result	30	12	NR1L-PowerManagement-278	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	32	12	NR1L-PowerManagement-280	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
Test Case Specification&Result	33	12	NR1L-PowerManagement-043	P-v3→v4:bare	$STATUS_TELEMATIC.PowerSts_Telematic$		N
