path	line	old_id	basis	cand_FO	cand_LEDGER	context
docs/fw036/RULINGS_LEDGER.md	352	R-G19	SELF_LEDGER_19	R-G58	R-G19（L358 保號）／R-G69（L402）	 ⏎ ## R-G19 — 寫回作業規定全專案化（Pei, 2026-08-25） ⏎ 
docs/fw036/RULINGS_LEDGER.md	358	R-G19	SELF_LEDGER_19	R-G58	R-G19（L358 保號）／R-G69（L402）	```text ⏎ R-G19（Pei, 2026-08-25）—— 寫回作業規定全專案化 ⏎ 
docs/fw036/RULINGS_LEDGER.md	389	R-G19	SELF_LEDGER_19	R-G58	R-G19（L358 保號）／R-G69（L402）	|---|---|---|---| ⏎ | R-G19 | 882 | `fef0cad264e9ddd2` | 是 | ⏎ 
docs/fw036/RULINGS_LEDGER.md	396	R-G19	SELF_LEDGER_19	R-G58	R-G19（L358 保號）／R-G69（L402）	 ⏎ ## 理由與數字、報告與量測（R-G69／R-G20，2026-08-25，全域） ⏎ 
docs/fw036/RULINGS_LEDGER.md	402	R-G19	SELF_LEDGER_19	R-G58	R-G19（L358 保號）／R-G69（L402）	> `rulings_hash.py` 重生後，其指紋所對應者以本註為準。對照表：`docs/fw036/SHA_MIGRATION_rg43.tsv`。 ⏎  ⏎ 來源：`features/display/docs/handoff/09_recon_crosscheck.md` §四。
features/audio_mgmt/RULINGS.md	365	R-G23	NO_KW	R-G62	R-G23（台帳保號）	> 真實衝突（兩路不一致、新型態 anomaly、統計變更）仍須上呈， ⏎ > 綠色通道不免除 R-G23、R-AM15、§8.4 之任何義務。 ⏎ 
features/bed_lowering/ANOMALIES.md	12	R-G12	NO_KW	R-G51	R-G12（台帳保號）	"| A-BLM7 | **`spec_mode` 無可機械決定之值** | 下放包 02 §二 填 `hmi_logic_and_flow`；FO §3 之值域為單一字母 A–E，無此值。且本 feature 之歸類有兩讀：來源形態為 **A**（SYS1 Polarion export 齊備，70 物件），但 spec_reference 行為為 **D**（""looked up, never constructed""），且 A 所需之 outline map 建不起來（037 `HMI Source ID` ∩ SYS1 `SYSRE_HMI_Source ID` = 空，A-BLM4）。"
features/bed_lowering/ANOMALIES.md	12	R-G20	BOTH_KW	R-G59	R-G20（台帳保號）	"| A-BLM7 | **`spec_mode` 無可機械決定之值** | 下放包 02 §二 填 `hmi_logic_and_flow`；FO §3 之值域為單一字母 A–E，無此值。且本 feature 之歸類有兩讀：來源形態為 **A**（SYS1 Polarion export 齊備，70 物件），但 spec_reference 行為為 **D**（""looked up, never constructed""），且 A 所需之 outline map 建不起來（037 `HMI Source ID` ∩ SYS1 `SYSRE_HMI_Source ID` = 空，A-BLM4）。"
features/bed_lowering/ANOMALIES.md	12	R-G15	BOTH_KW	R-G54	R-G15（台帳保號）	"| A-BLM7 | **`spec_mode` 無可機械決定之值** | 下放包 02 §二 填 `hmi_logic_and_flow`；FO §3 之值域為單一字母 A–E，無此值。且本 feature 之歸類有兩讀：來源形態為 **A**（SYS1 Polarion export 齊備，70 物件），但 spec_reference 行為為 **D**（""looked up, never constructed""），且 A 所需之 outline map 建不起來（037 `HMI Source ID` ∩ SYS1 `SYSRE_HMI_Source ID` = 空，A-BLM4）。"
features/bed_lowering/ANOMALIES.md	12	R-G16	BOTH_KW	R-G55	R-G16（台帳保號）	"| A-BLM7 | **`spec_mode` 無可機械決定之值** | 下放包 02 §二 填 `hmi_logic_and_flow`；FO §3 之值域為單一字母 A–E，無此值。且本 feature 之歸類有兩讀：來源形態為 **A**（SYS1 Polarion export 齊備，70 物件），但 spec_reference 行為為 **D**（""looked up, never constructed""），且 A 所需之 outline map 建不起來（037 `HMI Source ID` ∩ SYS1 `SYSRE_HMI_Source ID` = 空，A-BLM4）。"
features/bed_lowering/ANOMALIES.md	12	R-G19	BOTH_KW	R-G58	R-G19（L358 保號）／R-G69（L402）	"| A-BLM7 | **`spec_mode` 無可機械決定之值** | 下放包 02 §二 填 `hmi_logic_and_flow`；FO §3 之值域為單一字母 A–E，無此值。且本 feature 之歸類有兩讀：來源形態為 **A**（SYS1 Polarion export 齊備，70 物件），但 spec_reference 行為為 **D**（""looked up, never constructed""），且 A 所需之 outline map 建不起來（037 `HMI Source ID` ∩ SYS1 `SYSRE_HMI_Source ID` = 空，A-BLM4）。"
