section	key	value	note
meta	feature	time_management	
meta	family	HMI Settings List	
meta	inputs_path	features/time_management/inputs/HMI Settings List R1 SR24 Post 2A (June 15 2023).xlsx	a2533bf3
meta	forms_path	forms/HMI Settings List R1 SR25 Post R1L-R (Feb 13 2026).xlsx	8d04e51a
sheet_rows	Brand-Specific Names	inputs=1000 forms=1001	
sheet_rows	SR24 Change Log	inputs=1003 forms=—	單邊有
sheet_rows	Settings	inputs=1015 forms=1015	
sheet_rows	Title	inputs=1000 forms=1000	
key_count	inputs 相異 key	591	
key_count	forms 相異 key	601	
key_count	只在 inputs	95	
key_count	只在 forms	105	
key_count	兩邊皆有而列值相異	32	
key_only_in_inputs	1.15|3D Surround Sound Intensity	[608]	
key_only_in_inputs	10|Personal Settings Linked to Key Fob	[526]	
key_only_in_inputs	10|Traffic Sign Assist*	[269]	
key_only_in_inputs	11|Car Door Open Alert	[527]	
key_only_in_inputs	11|Traffic Sign Assist Warning*	[270]	
key_only_in_inputs	12|Hands Free Power Liftgate	[528]	
key_only_in_inputs	12|Traffic Sign Assist Sensitivity	[271]	
key_only_in_inputs	13|Power Liftgate Alert	[529]	
key_only_in_inputs	13|Traffic Sign Assist Offset	[272, 273]	
key_only_in_inputs	14.1|Traffic Sign Blinking*	[275]	
key_only_in_inputs	14.2|Traffic Sign Sensitivity*	[276]	
key_only_in_inputs	14.3|Traffic Sign Information Offset	[277]	
key_only_in_inputs	14|Power Tailgate	[530]	
key_only_in_inputs	14|Traffic Sign*	[274]	
key_only_in_inputs	15.1|Intelligent Speed Control	[280]	
key_only_in_inputs	15.2|Intelligent Speed Control Offset	[281]	
key_only_in_inputs	15|Hands Free Power Sliding Door	[531]	
key_only_in_inputs	15|Intelligent Speed Control	[279]	
key_only_in_inputs	15|Intelligent Speed Options*	[278]	
key_only_in_inputs	16|Flash Lights with Sliding Door	[532]	
key_only_in_inputs	16|Speed Limiter	[282]	
key_only_in_inputs	17|Speed Limiter - Set Speed	[283]	
key_only_in_inputs	17|Trunk Unlock	[533]	
key_only_in_inputs	18|New Speed Zone Indication	[284]	
key_only_in_inputs	18|Power Trunk Roof Level	[534]	
key_only_in_inputs	18|Rear Guidance Lights w/ Cargo Lights	[507]	
key_only_in_inputs	19|Digital Keys	[535]	
