section	key	value	note
meta	feature	vehicle_setting	
meta	family	DBC	
meta	inputs_path	features/vehicle_setting/inputs/PDT27_E2A_R5_FDCAN8.dbc	51c8fd60
meta	forms_path	forms/PDT27_E2A_R1_FDCAN8.dbc	2a86c4bf
dbc_count	BO_ inputs	323	
dbc_count	BO_ forms	318	
BO__only_in_inputs	1790:BATTERY_HV2		
BO__only_in_inputs	1849:HVBATTERY_RM_CELLS5		
BO__only_in_inputs	1850:HVBATTERY_RM_CELLS6		
BO__only_in_inputs	1851:HVBATTERY_RM_CELLS7		
BO__only_in_inputs	1893:HVBATTERY_RM_MODS2		
dbc_count	SG_ inputs	2037	
dbc_count	SG_ forms	1916	
SG__only_in_inputs	BATTERY_HV2.BMS_HV_SOC_Max		
SG__only_in_inputs	BATTERY_HV2.BMS_HV_SOC_Min		
SG__only_in_inputs	BATTERY_HV_STATUS1.BPCM_HV_Char_Main_Contac_Sts		
SG__only_in_inputs	BATTERY_HV_STATUS1.BPCM_HV_Current		
SG__only_in_inputs	BATTERY_HV_STATUS1.BPCM_HV_Current_String2		
SG__only_in_inputs	BATTERY_HV_STATUS1.BPCM_HV_InternalVoltage		
SG__only_in_inputs	BATTERY_HV_STATUS1.BPCM_HV_InternalVoltageString1		
SG__only_in_inputs	BATTERY_HV_STATUS1.BPCM_HV_InternalVoltageString2		
SG__only_in_inputs	BATTERY_HV_STATUS1.BPCM_HV_SOC		
SG__only_in_inputs	BATTERY_HV_STATUS1.BPCM_HV_Trac_Main_Contac_Config		
SG__only_in_inputs	BATTERY_HV_STATUS1.BPCM_HV_Trac_Main_Contac_Sts		
SG__only_in_inputs	BCM_FD_9.HibernationModeSts		
SG__only_in_inputs	HVBATTERY_RM_CELLS4.HVBatCellVoltage_Cell097		
SG__only_in_inputs	HVBATTERY_RM_CELLS4.HVBatCellVoltage_Cell098		
SG__only_in_inputs	HVBATTERY_RM_CELLS4.HVBatCellVoltage_Cell099		
SG__only_in_inputs	HVBATTERY_RM_CELLS4.HVBatCellVoltage_Cell100		
SG__only_in_inputs	HVBATTERY_RM_CELLS4.HVBatCellVoltage_Cell101		
