layer	unit	status	rows	test_item	test_set	pre	input	proc	er	spec	total	note
json	features/amfm/generated/SWE-RA-RAD-001.json	已掃	1	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-002.json	已掃	1	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-003.json	已掃	3	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-004.json	已掃	2	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-005.json	已掃	3	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-006.json	已掃	2	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-007.json	已掃	1	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-008.json	已掃	1	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-009.json	已掃	3	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-010.json	已掃	3	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-011.json	已掃	2	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-012.json	已掃	1	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-013.json	已掃	1	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-014.json	已掃	2	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-015.json	已掃	1	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-016.json	已掃	1	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-017.json	已掃	1	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-018.json	已掃	1	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-019.json	已掃	2	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-020.json	已掃	2	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-021.json	已掃	2	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-022.json	已掃	1	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-023.json	已掃	1	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-024.json	已掃	3	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-025.json	已掃	2	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-026.json	已掃	2	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-027.json	已掃	2	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-028.json	已掃	2	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-029.json	已掃	1	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-030.json	已掃	2	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-031.json	已掃	2	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-032.json	已掃	1	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-033.json	已掃	1	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-034.json	已掃	1	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-035.json	已掃	1	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-036.json	已掃	2	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-037.json	已掃	1	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-038.json	已掃	2	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-039.json	已掃	2	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-040.json	已掃	1	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-041.json	已掃	2	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-042.json	已掃	2	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-043.json	已掃	1	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-044.json	已掃	2	0	0	0	0	0	0	0	0	
json	features/amfm/generated/SWE-RA-RAD-045.json	已掃	2	0	0	0	0	0	0	0	0	
