anchor_id	cfts	chapter_num	chapter_title	chapter_touched	risk_tier
4941009	009	1.1	Revision Notes	False	3
4941018	009	1.2	Introduction	False	3
4941019	009	1.2	Introduction	False	3
4941022	009	1.3.1	A&T System Power Definitions	False	3
4941024	009	1.3.1.1	BODY OFF and BODY ON MODE GROUPS	False	3
4941025	009	1.3.1.1	BODY OFF and BODY ON MODE GROUPS	False	3
4941026	009	1.3.1.1	BODY OFF and BODY ON MODE GROUPS	False	3
4941027	009	1.3.1.1	BODY OFF and BODY ON MODE GROUPS	False	3
4941028	009	1.3.1.1	BODY OFF and BODY ON MODE GROUPS	False	3
4941029	009	1.3.1.1	BODY OFF and BODY ON MODE GROUPS	False	3
4941030	009	1.3.1.1	BODY OFF and BODY ON MODE GROUPS	False	3
4941032	009	1.3.1.2	SLEEP MODE	False	3
4941033	009	1.3.1.2	SLEEP MODE	False	3
4941034	009	1.3.1.2	SLEEP MODE	False	3
4941035	009	1.3.1.2	SLEEP MODE	False	3
4941037	009	1.3.1.3	STANDBY MODE	False	3
4941039	009	1.3.1.4	IDLE MODE	False	3
4941040	009	1.3.1.4	IDLE MODE	False	3
4941042	009	1.3.1.5	FULL OPERATION MODE	False	3
4941044	009	1.3.1.6	PARTIAL OPERATION MODE	False	3
4941045	009	1.3.1.6	PARTIAL OPERATION MODE	False	3
4941046	009	1.3.1.6	PARTIAL OPERATION MODE	False	3
4941047	009	1.3.1.6	PARTIAL OPERATION MODE	False	3
4941048	009	1.3.1.6	PARTIAL OPERATION MODE	False	3
4941049	009	1.3.1.6	PARTIAL OPERATION MODE	False	3
4941051	009	1.3.1.7	STOLEN VEHICLE MODE	False	3
4941052	009	1.3.1.7	STOLEN VEHICLE MODE	False	3
4941054	009	1.3.1.8	TIMED MODE	False	3
4941055	009	1.3.1.8	TIMED MODE	False	3
4941056	009	1.3.1.8	TIMED MODE	False	3
4941057	009	1.3.1.8	TIMED MODE	False	3
4941058	009	1.3.1.8	TIMED MODE	False	3
4941059	009	1.3.1.8	TIMED MODE	False	3
4941061	009	1.3.1.9	BENCH MODE	False	3
4941063	009	1.3.1.10	LOGISTICS MODE	False	3
4941064	009	1.3.1.10	LOGISTICS MODE	False	3
4941065	009	1.3.1.10	LOGISTICS MODE	False	3
4941068	009	1.3.1.11.1	HU State Chart	False	3
4941070	009	1.3.1.11.2	RESET MODE	False	3
4941072	009	1.3.1.11.3	NORMAL OPERATION MODE GROUP	False	3
4941075	009	1.3.1.11.3.1.1	SLEEP MODE	False	3
4941077	009	1.3.1.11.3.1.2	STANDBY MODE	False	3
4941079	009	1.3.1.11.3.1.3	TIMED MODE	False	3
4941082	009	1.3.1.11.3.2.1	FULL OPERATION MODE	False	3
4941084	009	1.3.1.11.3.2.2	IDLE MODE	False	3
4941086	009	1.3.1.12	Asynchronous CAN network operation	False	3
4941089	009	1.3.1.13.1	SW watchdog	False	3
4941090	009	1.3.1.13.1	SW watchdog	False	3
4941092	009	1.3.1.13.2	HW watchdog	False	3
4941093	009	1.3.1.13.2	HW watchdog	False	3
4941095	009	1.3.2	ECU CAN Architecture Configuration (If Equipped)	False	3
4941097	009	1.3.3	System Wake Up and Power Up Conditions	False	3
4941098	009	1.3.3	System Wake Up and Power Up Conditions	False	3
4941100	009	1.3.3.1	STANDBY MODE	False	3
4941101	009	1.3.3.1	STANDBY MODE	False	3
4941102	009	1.3.3.1	STANDBY MODE	False	3
4941103	009	1.3.3.1	STANDBY MODE	False	3
4941104	009	1.3.3.1	STANDBY MODE	False	3
4941105	009	1.3.3.1	STANDBY MODE	False	3
4941106	009	1.3.3.1	STANDBY MODE	False	3
4941107	009	1.3.3.1	STANDBY MODE	False	3
4941108	009	1.3.3.1	STANDBY MODE	False	3
4941110	009	1.3.3.1.1	Radios	False	3
4941111	009	1.3.3.1.1	Radios	False	3
4941112	009	1.3.3.1.1	Radios	False	3
4941113	009	1.3.3.1.1	Radios	False	3
4941114	009	1.3.3.1.1	Radios	False	3
4941115	009	1.3.3.1.1	Radios	False	3
4941116	009	1.3.3.1.1	Radios	False	3
4941117	009	1.3.3.1.1	Radios	False	3
4941119	009	1.3.3.1.2	Amp	False	3
4941120	009	1.3.3.1.2	Amp	False	3
4941121	009	1.3.3.1.2	Amp	False	3
4941122	009	1.3.3.1.2	Amp	False	3
4941123	009	1.3.3.1.2	Amp	False	3
4941125	009	1.3.3.1.3	Integrated Center Stack (ICS)	False	3
4941127	009	1.3.3.1.4	VES3	False	3
4941128	009	1.3.3.1.4	VES3	False	3
4941129	009	1.3.3.1.4	VES3	False	3
4941130	009	1.3.3.1.4	VES3	False	3
4941131	009	1.3.3.1.4	VES3	False	3
4941133	009	1.3.3.1.5	VES2	False	3
4941134	009	1.3.3.1.5	VES2	False	3
4941135	009	1.3.3.1.5	VES2	False	3
4941136	009	1.3.3.1.5	VES2	False	3
