kind	target	file	line	text	prune_class
anomaly	A-VC1	RULINGS.md	157	R-VC6（037 分析九欄為有效上游輸入；A-VC1 撤銷）	a 純編號引用
anomaly	A-VC1	ANOMALIES.md	14	| A-VC5 | 下放包 01 §3.3 與 repo 037 複本不一致（A-VC1 之成因）| **RESOLVED（包 02 §一）** | — |	b 清單成員
anomaly	A-VC1	ANOMALIES.md	30	## A-VC1 —— 037 第 10–18 欄之 `\xa0` —— **撤銷（R-VC6，Pei 2026-08-25）**	a 純編號引用
anomaly	A-VC1	ANOMALIES.md	35	> 全稱斷言**，作廢；據其所立之 A-VC1 一併撤銷。	a 純編號引用
anomaly	A-VC1	ANOMALIES.md	81	(a) 採：A-VC1 撤銷，不得沿用或引述。	a 純編號引用
anomaly	A-VC1	docs/REVISIONS.md	18	- **連帶**：A-VC1 撤銷。九欄改為**有效上游輸入**，並生 R-VC6(a)–(d) 四項拘束。	a 純編號引用
anomaly	A-VC10	RULINGS.md	881	而為本 TC 驗證標的之條件，A-VC10 第一面）；	a 純編號引用
anomaly	A-VC10	RULINGS.md	893	本條不改 A-VC10 之「二欄皆為正式欄位」 —— Title 仍為合法來源，	a 純編號引用
anomaly	A-VC10	DATA_REQUESTS.md	26	DR-VC2、DR-VC7、**DR-VC8**、A-VC2 之封面一問、A-VC10 之	a 純編號引用
anomaly	A-VC10	DATA_REQUESTS.md	166	- **批次**：同批 A —— 與 DR-VC2、A-VC2 之封面一問、A-VC10 之一問同發。	a 純編號引用
anomaly	A-VC10	DATA_REQUESTS.md	168	- **附帶一問（A-VC10，下放包 04 §四）**：037 於部分 leaf 上，	a 純編號引用
anomaly	A-VC10	DECISIONS.md	119	＋ A-VC2 ＋ A-VC10。	a 純編號引用
anomaly	A-VC11	ANOMALIES.md	20	| A-VC11 | `recon.py` 之 DECISIONS 顯示層將 null 印為字面 `None` | PENDING | 全域排程（包 05 §一）|	b 清單成員
anomaly	A-VC11	ANOMALIES.md	583	## A-VC11 —— `recon.py` 之 DECISIONS 顯示層將 null 印為字面 `None`（新立，下放包 05 §一）	a 純編號引用
anomaly	A-VC11	ANOMALIES.md	588	A-VC11（recon.py 之 DECISIONS 顯示層將 null 印為字面 None）	a 純編號引用
anomaly	A-VC11	ANOMALIES.md	685	與 A-VC4／A-VC8／A-VC11 同批）。	a 純編號引用
anomaly	A-VC11	ANOMALIES.md	704	A-VC11 同批）。	a 純編號引用
anomaly	A-VC11	ANOMALIES.md	805	(c) 二者**與 R-VC8 之授權非同一件，不得併案**（同 A-VC8／A-VC11 之邊界）。	a 純編號引用
anomaly	A-VC11	ANOMALIES.md	812	狀態：PENDING（全域排程）。與 A-VC4／A-VC8／A-VC11／A-VC13 通則同批。	a 純編號引用
anomaly	A-VC11	ANOMALIES.md	1137	—— 屬全域排程，與 A-VC4／A-VC8／A-VC11／A-VC13 同批。	a 純編號引用
anomaly	A-VC11	ANOMALIES.md	1156	狀態：**PENDING（全域排程）**。與 A-VC4／A-VC8／A-VC11／A-VC13 同批。	a 純編號引用
anomaly	A-VC11	DECISIONS.md	70	> 非裁定值（A-VC11）。依下放包 05 §一裁定：**簽署時手動覆蓋，不修腳本**。	a 純編號引用
anomaly	A-VC12	ANOMALIES.md	21	| A-VC12 | §11.9 群與 §12.3 群之行為重疊 | PENDING | 條件性，待 DR-VC3 |	b 清單成員
anomaly	A-VC12	ANOMALIES.md	621	## A-VC12 —— §11.9 群與 §12.3 群之行為重疊（條件性，新立，下放包 06 §二）	a 純編號引用
anomaly	A-VC12	ANOMALIES.md	626	A-VC12（11.9 群與 12.3 群之行為重疊，條件性）	a 純編號引用
anomaly	A-VC12	framework.md	181	連帶之行為重疊（11.9.1 ↔ 12.3、11.9.3 ↔ 12.3.1）已登記 **A-VC12**，	a 純編號引用
anomaly	A-VC13	ANOMALIES.md	812	狀態：PENDING（全域排程）。與 A-VC4／A-VC8／A-VC11／A-VC13 通則同批。	a 純編號引用
anomaly	A-VC13	ANOMALIES.md	1137	—— 屬全域排程，與 A-VC4／A-VC8／A-VC11／A-VC13 同批。	a 純編號引用
anomaly	A-VC13	ANOMALIES.md	1156	狀態：**PENDING（全域排程）**。與 A-VC4／A-VC8／A-VC11／A-VC13 同批。	a 純編號引用
anomaly	A-VC14	ANOMALIES.md	477	| 二 · **數值矛盾** | 二欄之可測門檻相互矛盾 | `033-01`（`After three` vs `more than three`）| **A-VC14** |	b 清單成員
anomaly	A-VC14	ANOMALIES.md	541	| 二 · **數值矛盾** | 二欄之可測門檻相互矛盾 | `033-01`（`After three` vs `more than three`）| **A-VC14** |	b 清單成員
anomaly	A-VC14	docs/REVISIONS.md	227	成立）；惟 `VC-033-01` 因 **A-VC14／DR-VC8** 而帶**一筆 PENDING**。	a 純編號引用
anomaly	A-VC15	docs/REVISIONS.md	259	條文不會自己執行 —— 同 A-VC15（`lint036 --profile` 不讀 profile）、	a 純編號引用
anomaly	A-VC15	docs/runtime/profiles/FW036_R1L_VehicleCategory_Profile.md	80	→ 登記為 **A-VC15**（`features/vehicle_category/ANOMALIES.md`）。	a 純編號引用
anomaly	A-VC16	ANOMALIES.md	25	| A-VC16 | pilot 之 §9 判讀漏檢二形態（檢查覆蓋不足，非規則缺失）| **RESOLVED（包 12）** | — |	b 清單成員
anomaly	A-VC16	ANOMALIES.md	816	## A-VC16 —— pilot 之 §9 判讀漏檢二形態 —— **RESOLVED（下放包 12）**	a 純編號引用
anomaly	A-VC18	DATA_REQUESTS.md	279	**由來**：A-VC18。同一彈窗，規格側作 `Feature not available while vehicle	a 純編號引用
anomaly	A-VC19	DATA_REQUESTS.md	308	**由來**：A-VC19。章 13 為三個「他路徑仍可用」之需求給出路徑，**獨缺其一**：	a 純編號引用
anomaly	A-VC2	DATA_REQUESTS.md	8	下放包 02 §四之裁定已併入：A-VC2 附於 DR-VC2，不單獨發。	a 純編號引用
anomaly	A-VC2	DATA_REQUESTS.md	26	DR-VC2、DR-VC7、**DR-VC8**、A-VC2 之封面一問、A-VC10 之	a 純編號引用
anomaly	A-VC2	DATA_REQUESTS.md	166	- **批次**：同批 A —— 與 DR-VC2、A-VC2 之封面一問、A-VC10 之一問同發。	a 純編號引用
anomaly	A-VC2	DATA_REQUESTS.md	178	**不單獨發 DR**（同 A-VC2 之處理）。	a 純編號引用
anomaly	A-VC2	DECISIONS.md	119	＋ A-VC2 ＋ A-VC10。	a 純編號引用
anomaly	A-VC20	RULINGS.md	421	> simultaneously` 為實質需求敘述（上繳包 27 §2，A-VC20）。	a 純編號引用
anomaly	A-VC20	DATA_REQUESTS.md	137	記於此，因為它改變了 A-VC20 之教訓：光是「重測」不夠，	a 純編號引用
anomaly	A-VC20	DATA_REQUESTS.md	140	- **本欄正式列為 A-VC20 之成因補充（下放包 29 §四，T156）**：	a 純編號引用
anomaly	A-VC20	data/tableB_draft.md	76	6. **A-VC20 已解**（R-VC27，下放包 28 §一）。其成因值得留在這裡：	a 純編號引用
anomaly	A-VC3	DATA_REQUESTS.md	68	- **關聯**：A-VC3 併入本 DR，不單獨發。	a 純編號引用
anomaly	A-VC4	ANOMALIES.md	13	| A-VC4 | `new_feature.py` 之 abbr 推導得 `VE`，非 R-VC1 之 `VC` | PENDING | 全域排程（包 02 §四）|	b 清單成員
anomaly	A-VC4	ANOMALIES.md	145	裁：A-VC4 與 A-TM04 **兩者維持 PENDING**。理由：A-VC4 已由 T0b 之事後	a 純編號引用
anomaly	A-VC4	ANOMALIES.md	150	**R-VC8 之修法不得順手併入 A-VC4 / A-TM04** —— 三者標的不同	a 純編號引用
anomaly	A-VC4	ANOMALIES.md	355	處置同 A-VC4。理由：117 之守護目前由 T4／T12 之**集合相等**判定承擔	a 純編號引用
anomaly	A-VC4	ANOMALIES.md	360	**授權邊界再申明**：R-VC8 之修法不得順手併入 A-VC4（`new_feature.py`	a 純編號引用
anomaly	A-VC4	ANOMALIES.md	603	不得併案**（同 A-VC8 之邊界）。與 A-VC4／A-VC8 併入全域排程。	a 純編號引用
anomaly	A-VC4	ANOMALIES.md	615	（同 A-VC8 之邊界）。與 A-VC4／A-VC8 併入全域排程。	a 純編號引用
anomaly	A-VC4	ANOMALIES.md	685	與 A-VC4／A-VC8／A-VC11 同批）。	a 純編號引用
anomaly	A-VC4	ANOMALIES.md	703	狀態：本 feature 已處置；通則 PENDING（全域排程，與 A-VC4／A-VC8／	a 純編號引用
anomaly	A-VC4	ANOMALIES.md	812	狀態：PENDING（全域排程）。與 A-VC4／A-VC8／A-VC11／A-VC13 通則同批。	a 純編號引用
anomaly	A-VC4	ANOMALIES.md	1137	—— 屬全域排程，與 A-VC4／A-VC8／A-VC11／A-VC13 同批。	a 純編號引用
anomaly	A-VC4	ANOMALIES.md	1156	狀態：**PENDING（全域排程）**。與 A-VC4／A-VC8／A-VC11／A-VC13 同批。	a 純編號引用
anomaly	A-VC5	ANOMALIES.md	14	| A-VC5 | 下放包 01 §3.3 與 repo 037 複本不一致（A-VC1 之成因）| **RESOLVED（包 02 §一）** | — |	b 清單成員
anomaly	A-VC5	ANOMALIES.md	77	(c) 成因見 A-VC5。在 A-VC5 裁定前，本項不得標為 RESOLVED。	a 純編號引用
anomaly	A-VC5	ANOMALIES.md	84	(c) 已解：A-VC5 之成因由下放包 02 §一裁明，標為 RESOLVED。	a 純編號引用
anomaly	A-VC6	RULINGS.md	216	採上繳包 A-VC6 之提案 (b)：**`spec_reference_template` 為 null 時，	a 純編號引用
anomaly	A-VC6	ANOMALIES.md	15	| A-VC6 | `recon.py` 於 `spec_reference_template: null` 崩潰 | **RESOLVED（R-VC8）** | — |	b 清單成員
anomaly	A-VC6	ANOMALIES.md	225	## A-VC6 —— `recon.py` 於 `spec_reference_template: null` 崩潰 —— **RESOLVED（R-VC8）**	a 純編號引用
anomaly	A-VC7	ANOMALIES.md	16	| A-VC7 | 規格 PDF 之位元組數與下放包 01 §3.1 不符 | **RESOLVED（R-VC7）** | — |	b 清單成員
anomaly	A-VC7	ANOMALIES.md	280	## A-VC7 —— 規格 PDF 之位元組數與下放包 01 §3.1 不符 —— **RESOLVED（R-VC7）**	a 純編號引用
anomaly	A-VC7	docs/REVISIONS.md	29	- **連帶**：A-VC7 RESOLVED；衍生物不得作為任何判準之來源。	a 純編號引用
anomaly	A-VC8	ANOMALIES.md	17	| A-VC8 | `recon.py` 缺 `leaf_count` assertion | PENDING | 全域排程（包 03 §五）|	b 清單成員
anomaly	A-VC8	ANOMALIES.md	322	## A-VC8 —— `recon.py` 缺 `leaf_count` assertion（新立，下放包 02 §三）	a 純編號引用
anomaly	A-VC8	ANOMALIES.md	327	A-VC8（recon.py 缺 leaf_count assertion）	a 純編號引用
anomaly	A-VC8	ANOMALIES.md	361	之 abbr 推導）、A-TM04（slugify）、A-VC8（本項）。四者標的各異，	a 純編號引用
anomaly	A-VC8	ANOMALIES.md	603	不得併案**（同 A-VC8 之邊界）。與 A-VC4／A-VC8 併入全域排程。	a 純編號引用
anomaly	A-VC8	ANOMALIES.md	615	（同 A-VC8 之邊界）。與 A-VC4／A-VC8 併入全域排程。	a 純編號引用
anomaly	A-VC8	ANOMALIES.md	685	與 A-VC4／A-VC8／A-VC11 同批）。	a 純編號引用
anomaly	A-VC8	ANOMALIES.md	703	狀態：本 feature 已處置；通則 PENDING（全域排程，與 A-VC4／A-VC8／	a 純編號引用
