req_id	section	chapter	037_priority	local_p	final_p	note	basis	requirement_title
SWE1-HMI-VC-001-01	2.2	2	Medium	P1	P1		主要導覽結構：頁籤集不成立則整個 feature 不可達	Vehicle Category screen exposes the Controls and Settings tabs as its primary tab set
SWE1-HMI-VC-001-02	2.2	2	Medium	P2	P2		首次進入之預設頁籤，錯了仍可手動切換	On the user's first entry into the Vehicle Category, default the active tab to Controls
SWE1-HMI-VC-001-03	2.2	2	Medium	P2	P2		回復上次頁籤，屬便利性	On subsequent entries into the Vehicle Category, restore the last viewed tab rather than defaulting to Controls
SWE1-HMI-VC-002	2.3	2	Medium	P2	P2		Specialty 頁籤之位置，錯位不阻斷取用	When the vehicle is equipped with Specialty features, render them as tabs positioned to the left of Controls and Settings
SWE1-HMI-VC-003	2.3.1	2	Medium	P2	P2		頁籤排序	Order the Vehicle Category tabs by the fixed priority: 1) My Car, 2) Cameras, 3) other equipped Specialty features, 4) Controls, 5) Settings
SWE1-HMI-VC-004	2.3.2	2	Medium	P3	P3		字面標籤	The user-visible label for the Controls tab is the literal string 'Controls'
SWE1-HMI-VC-005	2.3.3	2	Medium	P3	P3		字面標籤	The user-visible label for the Vehicle Settings tab is the literal string 'Settings'
SWE1-HMI-VC-006	2.3.4	2	Medium	P3	P3		可列入之 Specialty 列舉，開放式	Specialty features eligible to appear as tabs include Off Road, PHEV, and SRT, with the list being open-ended (not limited to these examples)
SWE1-HMI-VC-007-01	2.4	2	Medium	P2	P2		採用對照表為權威來源	Adopt the Vehicle Tab Label and Order mapping table as the authoritative source for Specialty tab naming and position
SWE1-HMI-VC-007-02	2.4	2	Medium	P3	P3		對照表單列：命名與位置	Map PHEV/MEV/HEV to the 'E. Hybrid' tab at position Fourth, and Performance Pages / Race Options / Drive Modes DXR / Off Road Pages / GPS Trail Logs / Adventure Guides / Trailer Tow Pages / Power Panel to the Dashboard tab at position Seventh
SWE1-HMI-VC-007-03	2.4	2	Medium	P3	P3		對照表單列	Map Trip to the 'Trip' tab at position Fourth, Camera App to 'Cameras' at position Second, and Vehicle Info to 'My Car' at position First
