outline	scope_verdict	basis	variant_condition	pending_on
20.1	undetermined	[R-C12: downgraded from in_scope 2026-08-14; evidence below retained in full, not retracted] CFTS043 §1.3.5.1.22 Alternate Rear Blower Control Softkeys; SR24 §20 title itself directs 'See CFTS043 for applicable vehicles'. Items 4803261/4803262 all carry Scope=Yes in the tree view's own R1L-R allow-list (sheet 工作表1, 599 ids) and Radio includes R1L-R (R1H, R1L, R1L-R). Market=All. EE=Atlantis Mid, which does NOT gate scope here: the Scope=Yes set spans Atlantis High and Mid alike. LAYER (handoff 07 §3): the tree view is a SYS.1 traceability INDEX export, not an original source; per §8.6 it cannot outrank the CFTS043 main .doc it indexes. Scope=Yes is index-layer corroboration only. The unresolved contradiction is therefore internal to the main doc: item 4803259's prose NOTE ('only applicable to R1H starting on SR22') against the same item's Radio attribute (includes R1L-R). If forced to choose today, canon weight sits with the prose, i.e. toward out_of_scope — the opposite of the earlier provisional value.	$Indipendent_Rear_Fan$ = [Present] (CFTS043 4803260)	DR #8 — CFTS043 4803259 NOTE vs its own Radio attribute (A-CF12)
20.1.1	undetermined	[R-C12: downgraded from in_scope 2026-08-14; evidence below retained in full, not retracted] CFTS043 §1.3.5.1.22 Alternate Rear Blower Control Softkeys; SR24 §20 title itself directs 'See CFTS043 for applicable vehicles'. Items 4803263 all carry Scope=Yes in the tree view's own R1L-R allow-list (sheet 工作表1, 599 ids) and Radio includes R1L-R (R1L-R, R1H, R1L). Market=All. EE=Atlantis Mid, which does NOT gate scope here: the Scope=Yes set spans Atlantis High and Mid alike. LAYER (handoff 07 §3): the tree view is a SYS.1 traceability INDEX export, not an original source; per §8.6 it cannot outrank the CFTS043 main .doc it indexes. Scope=Yes is index-layer corroboration only. The unresolved contradiction is therefore internal to the main doc: item 4803259's prose NOTE ('only applicable to R1H starting on SR22') against the same item's Radio attribute (includes R1L-R). If forced to choose today, canon weight sits with the prose, i.e. toward out_of_scope — the opposite of the earlier provisional value.	$Indipendent_Rear_Fan$ = [Present] (CFTS043 4803260)	DR #8 — CFTS043 4803259 NOTE vs its own Radio attribute (A-CF12)
20.1.2	undetermined	[R-C12: downgraded from in_scope 2026-08-14; evidence below retained in full, not retracted] CFTS043 §1.3.5.1.22 Alternate Rear Blower Control Softkeys; SR24 §20 title itself directs 'See CFTS043 for applicable vehicles'. Items 4803263/4803265 all carry Scope=Yes in the tree view's own R1L-R allow-list (sheet 工作表1, 599 ids) and Radio includes R1L-R (R1L-R, R1H, R1L). Market=All. EE=Atlantis Mid, which does NOT gate scope here: the Scope=Yes set spans Atlantis High and Mid alike. LAYER (handoff 07 §3): the tree view is a SYS.1 traceability INDEX export, not an original source; per §8.6 it cannot outrank the CFTS043 main .doc it indexes. Scope=Yes is index-layer corroboration only. The unresolved contradiction is therefore internal to the main doc: item 4803259's prose NOTE ('only applicable to R1H starting on SR22') against the same item's Radio attribute (includes R1L-R). If forced to choose today, canon weight sits with the prose, i.e. toward out_of_scope — the opposite of the earlier provisional value.	$Indipendent_Rear_Fan$ = [Present] (CFTS043 4803260)	DR #8 — CFTS043 4803259 NOTE vs its own Radio attribute (A-CF12)
20.1.3	undetermined	[R-C12: downgraded from in_scope 2026-08-14; evidence below retained in full, not retracted] CFTS043 §1.3.5.1.22 Alternate Rear Blower Control Softkeys; SR24 §20 title itself directs 'See CFTS043 for applicable vehicles'. Items 4803263/4803265 all carry Scope=Yes in the tree view's own R1L-R allow-list (sheet 工作表1, 599 ids) and Radio includes R1L-R (R1L-R, R1H, R1L). Market=All. EE=Atlantis Mid, which does NOT gate scope here: the Scope=Yes set spans Atlantis High and Mid alike. LAYER (handoff 07 §3): the tree view is a SYS.1 traceability INDEX export, not an original source; per §8.6 it cannot outrank the CFTS043 main .doc it indexes. Scope=Yes is index-layer corroboration only. The unresolved contradiction is therefore internal to the main doc: item 4803259's prose NOTE ('only applicable to R1H starting on SR22') against the same item's Radio attribute (includes R1L-R). If forced to choose today, canon weight sits with the prose, i.e. toward out_of_scope — the opposite of the earlier provisional value.	$Indipendent_Rear_Fan$ = [Present] (CFTS043 4803260)	DR #8 — CFTS043 4803259 NOTE vs its own Radio attribute (A-CF12)
20.2	undetermined	[R-C12: downgraded from in_scope 2026-08-14; evidence below retained in full, not retracted] CFTS043 §1.3.5.1.22 Alternate Rear Blower Control Softkeys; SR24 §20 title itself directs 'See CFTS043 for applicable vehicles'. Items 4803279/4803281/4803284/4803285/4803286 all carry Scope=Yes in the tree view's own R1L-R allow-list (sheet 工作表1, 599 ids) and Radio includes R1L-R (R1H, R1L, R1L-R). Market=All. EE=Atlantis Mid, which does NOT gate scope here: the Scope=Yes set spans Atlantis High and Mid alike. LAYER (handoff 07 §3): the tree view is a SYS.1 traceability INDEX export, not an original source; per §8.6 it cannot outrank the CFTS043 main .doc it indexes. Scope=Yes is index-layer corroboration only. The unresolved contradiction is therefore internal to the main doc: item 4803259's prose NOTE ('only applicable to R1H starting on SR22') against the same item's Radio attribute (includes R1L-R). If forced to choose today, canon weight sits with the prose, i.e. toward out_of_scope — the opposite of the earlier provisional value.	$Indipendent_Rear_Fan$ = [Present] (CFTS043 4803260)	DR #8 — CFTS043 4803259 NOTE vs its own Radio attribute (A-CF12)
20.3	undetermined	[R-C12: downgraded from in_scope 2026-08-14; evidence below retained in full, not retracted] CFTS043 §1.3.5.1.22 Alternate Rear Blower Control Softkeys; SR24 §20 title itself directs 'See CFTS043 for applicable vehicles'. Items 4803264/4803275/4803276/4803278 all carry Scope=Yes in the tree view's own R1L-R allow-list (sheet 工作表1, 599 ids) and Radio includes R1L-R (R1L, R1H, R1L-R). Market=All. EE=Atlantis Mid, which does NOT gate scope here: the Scope=Yes set spans Atlantis High and Mid alike. LAYER (handoff 07 §3): the tree view is a SYS.1 traceability INDEX export, not an original source; per §8.6 it cannot outrank the CFTS043 main .doc it indexes. Scope=Yes is index-layer corroboration only. The unresolved contradiction is therefore internal to the main doc: item 4803259's prose NOTE ('only applicable to R1H starting on SR22') against the same item's Radio attribute (includes R1L-R). If forced to choose today, canon weight sits with the prose, i.e. toward out_of_scope — the opposite of the earlier provisional value.	$Indipendent_Rear_Fan$ = [Present] (CFTS043 4803260)	DR #8 — CFTS043 4803259 NOTE vs its own Radio attribute (A-CF12)
20.4	undetermined	[R-C12: downgraded from in_scope 2026-08-14; evidence below retained in full, not retracted] CFTS043 §1.3.5.1.22 Alternate Rear Blower Control Softkeys; SR24 §20 title itself directs 'See CFTS043 for applicable vehicles'. Items 4803266/4803267/4803271/4803272 all carry Scope=Yes in the tree view's own R1L-R allow-list (sheet 工作表1, 599 ids) and Radio includes R1L-R (R1H, R1L, R1L-R). Market=All. EE=Atlantis Mid, which does NOT gate scope here: the Scope=Yes set spans Atlantis High and Mid alike. LAYER (handoff 07 §3): the tree view is a SYS.1 traceability INDEX export, not an original source; per §8.6 it cannot outrank the CFTS043 main .doc it indexes. Scope=Yes is index-layer corroboration only. The unresolved contradiction is therefore internal to the main doc: item 4803259's prose NOTE ('only applicable to R1H starting on SR22') against the same item's Radio attribute (includes R1L-R). If forced to choose today, canon weight sits with the prose, i.e. toward out_of_scope — the opposite of the earlier provisional value.	$Indipendent_Rear_Fan$ = [Present] (CFTS043 4803260)	DR #8 — CFTS043 4803259 NOTE vs its own Radio attribute (A-CF12)
20.4.1	undetermined	[R-C12: downgraded from in_scope 2026-08-14; evidence below retained in full, not retracted] CFTS043 §1.3.5.1.22 Alternate Rear Blower Control Softkeys; SR24 §20 title itself directs 'See CFTS043 for applicable vehicles'. Items 4803268/4803272 all carry Scope=Yes in the tree view's own R1L-R allow-list (sheet 工作表1, 599 ids) and Radio includes R1L-R (R1H, R1L-R, R1L). Market=All. EE=Atlantis Mid, which does NOT gate scope here: the Scope=Yes set spans Atlantis High and Mid alike. LAYER (handoff 07 §3): the tree view is a SYS.1 traceability INDEX export, not an original source; per §8.6 it cannot outrank the CFTS043 main .doc it indexes. Scope=Yes is index-layer corroboration only. The unresolved contradiction is therefore internal to the main doc: item 4803259's prose NOTE ('only applicable to R1H starting on SR22') against the same item's Radio attribute (includes R1L-R). If forced to choose today, canon weight sits with the prose, i.e. toward out_of_scope — the opposite of the earlier provisional value.	$Indipendent_Rear_Fan$ = [Present] (CFTS043 4803260)	DR #8 — CFTS043 4803259 NOTE vs its own Radio attribute (A-CF12)
20.4.2	undetermined	[R-C12: downgraded from in_scope 2026-08-14; evidence below retained in full, not retracted] CFTS043 §1.3.5.1.22 Alternate Rear Blower Control Softkeys; SR24 §20 title itself directs 'See CFTS043 for applicable vehicles'. Items 4803261/4803263 all carry Scope=Yes in the tree view's own R1L-R allow-list (sheet 工作表1, 599 ids) and Radio includes R1L-R (R1L, R1L-R, R1H). Market=All. EE=Atlantis Mid, which does NOT gate scope here: the Scope=Yes set spans Atlantis High and Mid alike. LAYER (handoff 07 §3): the tree view is a SYS.1 traceability INDEX export, not an original source; per §8.6 it cannot outrank the CFTS043 main .doc it indexes. Scope=Yes is index-layer corroboration only. The unresolved contradiction is therefore internal to the main doc: item 4803259's prose NOTE ('only applicable to R1H starting on SR22') against the same item's Radio attribute (includes R1L-R). If forced to choose today, canon weight sits with the prose, i.e. toward out_of_scope — the opposite of the earlier provisional value.	$Indipendent_Rear_Fan$ = [Present] (CFTS043 4803260)	DR #8 — CFTS043 4803259 NOTE vs its own Radio attribute (A-CF12)
20.4.3	undetermined	[R-C12: downgraded from in_scope 2026-08-14; evidence below retained in full, not retracted] CFTS043 §1.3.5.1.22 Alternate Rear Blower Control Softkeys; SR24 §20 title itself directs 'See CFTS043 for applicable vehicles'. Items 4803262/4803271 all carry Scope=Yes in the tree view's own R1L-R allow-list (sheet 工作表1, 599 ids) and Radio includes R1L-R (R1H, R1L, R1L-R). Market=All. EE=Atlantis Mid, which does NOT gate scope here: the Scope=Yes set spans Atlantis High and Mid alike. LAYER (handoff 07 §3): the tree view is a SYS.1 traceability INDEX export, not an original source; per §8.6 it cannot outrank the CFTS043 main .doc it indexes. Scope=Yes is index-layer corroboration only. The unresolved contradiction is therefore internal to the main doc: item 4803259's prose NOTE ('only applicable to R1H starting on SR22') against the same item's Radio attribute (includes R1L-R). If forced to choose today, canon weight sits with the prose, i.e. toward out_of_scope — the opposite of the earlier provisional value.	$Indipendent_Rear_Fan$ = [Present] (CFTS043 4803260)	DR #8 — CFTS043 4803259 NOTE vs its own Radio attribute (A-CF12)
