ch16_outline	ch2_or_ch3_outline	對應強度	依據	涵蓋與未涵蓋之行為分界
16.2	2.2	mirrored	ICE1 與 C1 首句逐字相同（Whenever changes to the climate system are made via hard controls or touchscreen）；ICE1 另加 with the exception of the recirculation led in climate off	
16.3	2.3	mirrored	ICE2 與 C2 皆以 AUTO has on/ off state 起首，fan speed indicator shows Auto 一句相同	
16.4	2.4	partial	ICE3 一句綑綁 MAX A/C, A/C, RECIRC, MAX DEF, REAR DEFROST 五者之 on/off；C3 只述 AC	涵蓋：A/C 之 on/off 狀態。未涵蓋：C3 之「Auto can automatically turn on AC」等連動邏輯
16.4	2.5	partial	同上，ICE3 之 RECIRC on/off 對應 C4 首句	涵蓋：RECIRC 之 on/off 狀態。未涵蓋：C4 之可用性灰化（gray out when recirc availability status from CCM denotes that）與 recirc 可自動開啟 AC
16.4	2.8	partial	同上，ICE3 之 MAX DEF 對應 C7 之 Defrost on/off	涵蓋：MAX DEF 之 on/off 狀態。未涵蓋：C7 之 Defrost 自動開啟等連動
16.4	2.9	partial	同上，ICE3 之 REAR DEFROST 對應 C8 首句	涵蓋：REAR DEFROST 之 on/off 狀態。未涵蓋：C8 之灰化條件（另由 16.9 ICE8 涵蓋）
16.4	2.13	partial	同上，ICE3 之 MAX A/C 對應 C14 之 on/off state	涵蓋：MAX A/C 之 on/off 狀態。未涵蓋：C14 之 CCM 轉達與 VF HVAC 文件之委派（另由 16.13 ICE12 涵蓋）
16.5	2.5	partial	ICE4 之 recirc icon will display the vehicle model specific icon 一句逐字見於 C4 之後段	涵蓋：recirc icon 依車型顯示、偵測不到車型時顯示通用符號。未涵蓋：C4 之 on/off 狀態與灰化
16.6	2.6	mirrored	ICE5 與 C5 之溫度區間與 HI/LO 規則逐字相同	
16.6.1	2.6.1	mirrored	ICE5.1 與 C5.1 之 SYNC 與滑桿規則逐字相同	
16.7	2.7	mirrored	ICE6 與 C6 皆為 Fan ranges: Off, 1-7；ICE6 之 AUTO 標示措辭略異	
16.8	3.2	mirrored	ICE7 與 C20 之 MAX DEF 連動七項逐字相同	
16.9	2.9	mirrored	ICE8 與 C8 皆為 Rear Defrost has on/ off state 並述 gray out	
16.10	2.10	mirrored	ICE9 與 C11 之 climate off 規則逐字相同；ICE9 另加 recirculation LED 兩句	
16.10	3.3	partial	ICE9 之 grey out remaining buttons except for Front/Max defrost and rear defrost 涵蓋 C21 之可用性，但未逐字重述 C21	涵蓋：climate off 期間 MAX DEF／REAR DEF 仍可用（ICE9 之 grey out remaining buttons **except for Front/Max defrost and rear defrost**）。未涵蓋：C21 未再述其他，故本節之全部行為皆落在涵蓋側
16.11	2.11	mirrored	ICE10 與 C12 之 SYNC 規則逐字相同	
16.12	2.12.1	mirrored	ICE11 之 Airflow Modes has 5 states 與 C13.0 逐字相同	
16.12	2.12	partial	ICE11 後段之 ON state ... highlighting the button and increasing button size 對應 C13，但 C13 為 4 模式	涵蓋：ON state 之高亮與放大、main category control 顯示所選模式、一次只能選一個。未涵蓋：C13 之**四模式**清單與其順序（ICE11 為五狀態）
16.12.1	2.12.2	mirrored	ICE11.1 與 C13.1 皆述 Mode hard control 之循環	
16.13	2.13	mirrored	ICE12 與 C14 皆述 MAX A/C 之 on/off 與 CCM 轉達	
16.14	2.14	mirrored	ICE13 與 C15 首二句逐字相同	
16.15	2.15	mirrored	ICE14 與 C16 皆為 EXTERIOR REAR-VIEW MIRROR DEFROST has on/ off state	
16.16	no-counterpart	no-counterpart	ICE15 之 Always show 'Driver' or 'Passenger' 與座椅 off icon、controls screen 之規則，ch2／ch3 無對應節	
16.17	2.16	mirrored	兩者之 blower reduction 全句逐字相同；惟 16.17 之條文 id 標為 C16.（與 2.15 之 C16 相撞），2.16 標為 C18.	
no-counterpart	2.1	no-counterpart	R1C1 之 comfort category tabs 與其順序，ch16 十八節內無對應節	
no-counterpart	2.3.1	no-counterpart	C2.1 之 dual AUTO（雙區雙氣流）配置，ch16 無對應節	
no-counterpart	2.5.1	no-counterpart	C4.1 之 3 state toggle recirc button，ch16 無對應節	
no-counterpart	2.7.1	no-counterpart	C6.1 之 front hvac 風速 Off, 1-8；16.7 只列 Off, 1-7	
no-counterpart	3.1	no-counterpart	C19 之 Tri-Mode 三鍵七組合，ch16 無對應節（16.12 為 5 states 之單選，非 tri-mode 之組合）	
no-counterpart	3.4	no-counterpart	C22 之 soft top 車身 rear defrost 按鈕不出現，ch16 無對應節	
