leaf_id	layer3	delegate	status	comfort_leaf_ids	screen_text	source	comfort_hit_count
SWE1-VC-HeatedSteeringWheel-003	HeatedSteeringWheel	yes	found	SWE1-HVAC-104-08	SWE1-HVAC-104-08：The system shall heated Steering Wheel Pop-up: only on status bar	"FM-WI-FSM-037-A03-N1L-SWE1-Comfort-HMI-V0.1 STLA 報告.xlsx／Analysis Report:360;HMI Settings List R1 SR25 Post R1L-R (Feb 13 2026).xlsx／Settings:100｜29.2 Heated Steering Wheel;HMI Settings List R1 SR25 Post R1L-R (Feb 13 2026).xlsx／Settings:106｜30.2 Heated Steering Wheel Heated_Steering_Wheel;Pop Up List HMI R1 SR24 Post 2A (Dec 15, 2023).xlsx／Main:576｜PU0573 Status Bar 5 3 Timeout Displayed when user interacts with comfort controls within the status bar (heate;Pop Up List HMI R1 SR24 Post 2A (Dec 15, 2023).xlsx／Main:577｜PU0574 Front Comfort 5 3 Timeout
user presses another control Displayed when user interacts with comfort contr"	1
SWE1-VC-HeatedSteeringWheel-004	HeatedSteeringWheel	yes	found	SWE1-HVAC-104-08	SWE1-HVAC-104-08：The system shall heated Steering Wheel Pop-up: only on status bar	"FM-WI-FSM-037-A03-N1L-SWE1-Comfort-HMI-V0.1 STLA 報告.xlsx／Analysis Report:360;HMI Settings List R1 SR25 Post R1L-R (Feb 13 2026).xlsx／Settings:100｜29.2 Heated Steering Wheel;HMI Settings List R1 SR25 Post R1L-R (Feb 13 2026).xlsx／Settings:106｜30.2 Heated Steering Wheel Heated_Steering_Wheel;Pop Up List HMI R1 SR24 Post 2A (Dec 15, 2023).xlsx／Main:576｜PU0573 Status Bar 5 3 Timeout Displayed when user interacts with comfort controls within the status bar (heate;Pop Up List HMI R1 SR24 Post 2A (Dec 15, 2023).xlsx／Main:577｜PU0574 Front Comfort 5 3 Timeout
user presses another control Displayed when user interacts with comfort contr"	1
SWE1-VC-HeatedSteeringWheel-005	HeatedSteeringWheel	yes	found	SWE1-HVAC-104-08	SWE1-HVAC-104-08：The system shall heated Steering Wheel Pop-up: only on status bar	"FM-WI-FSM-037-A03-N1L-SWE1-Comfort-HMI-V0.1 STLA 報告.xlsx／Analysis Report:360;HMI Settings List R1 SR25 Post R1L-R (Feb 13 2026).xlsx／Settings:100｜29.2 Heated Steering Wheel;HMI Settings List R1 SR25 Post R1L-R (Feb 13 2026).xlsx／Settings:106｜30.2 Heated Steering Wheel Heated_Steering_Wheel;Pop Up List HMI R1 SR24 Post 2A (Dec 15, 2023).xlsx／Main:576｜PU0573 Status Bar 5 3 Timeout Displayed when user interacts with comfort controls within the status bar (heate;Pop Up List HMI R1 SR24 Post 2A (Dec 15, 2023).xlsx／Main:577｜PU0574 Front Comfort 5 3 Timeout
user presses another control Displayed when user interacts with comfort contr"	1
SWE1-VC-HeatedSteeringWheel-006	HeatedSteeringWheel	yes	found	SWE1-HVAC-104-08	SWE1-HVAC-104-08：The system shall heated Steering Wheel Pop-up: only on status bar	"FM-WI-FSM-037-A03-N1L-SWE1-Comfort-HMI-V0.1 STLA 報告.xlsx／Analysis Report:360;HMI Settings List R1 SR25 Post R1L-R (Feb 13 2026).xlsx／Settings:100｜29.2 Heated Steering Wheel;HMI Settings List R1 SR25 Post R1L-R (Feb 13 2026).xlsx／Settings:106｜30.2 Heated Steering Wheel Heated_Steering_Wheel;Pop Up List HMI R1 SR24 Post 2A (Dec 15, 2023).xlsx／Main:576｜PU0573 Status Bar 5 3 Timeout Displayed when user interacts with comfort controls within the status bar (heate;Pop Up List HMI R1 SR24 Post 2A (Dec 15, 2023).xlsx／Main:577｜PU0574 Front Comfort 5 3 Timeout
user presses another control Displayed when user interacts with comfort contr"	1
SWE1-VC-HeatedSteeringWheel-007	HeatedSteeringWheel	yes	found	SWE1-HVAC-104-08	SWE1-HVAC-104-08：The system shall heated Steering Wheel Pop-up: only on status bar	"FM-WI-FSM-037-A03-N1L-SWE1-Comfort-HMI-V0.1 STLA 報告.xlsx／Analysis Report:360;HMI Settings List R1 SR25 Post R1L-R (Feb 13 2026).xlsx／Settings:100｜29.2 Heated Steering Wheel;HMI Settings List R1 SR25 Post R1L-R (Feb 13 2026).xlsx／Settings:106｜30.2 Heated Steering Wheel Heated_Steering_Wheel;Pop Up List HMI R1 SR24 Post 2A (Dec 15, 2023).xlsx／Main:576｜PU0573 Status Bar 5 3 Timeout Displayed when user interacts with comfort controls within the status bar (heate;Pop Up List HMI R1 SR24 Post 2A (Dec 15, 2023).xlsx／Main:577｜PU0574 Front Comfort 5 3 Timeout
user presses another control Displayed when user interacts with comfort contr"	1
SWE1-VC-HeatedSteeringWheel-008	HeatedSteeringWheel	yes	found	SWE1-HVAC-104-08	SWE1-HVAC-104-08：The system shall heated Steering Wheel Pop-up: only on status bar	"FM-WI-FSM-037-A03-N1L-SWE1-Comfort-HMI-V0.1 STLA 報告.xlsx／Analysis Report:360;HMI Settings List R1 SR25 Post R1L-R (Feb 13 2026).xlsx／Settings:100｜29.2 Heated Steering Wheel;HMI Settings List R1 SR25 Post R1L-R (Feb 13 2026).xlsx／Settings:106｜30.2 Heated Steering Wheel Heated_Steering_Wheel;Pop Up List HMI R1 SR24 Post 2A (Dec 15, 2023).xlsx／Main:576｜PU0573 Status Bar 5 3 Timeout Displayed when user interacts with comfort controls within the status bar (heate;Pop Up List HMI R1 SR24 Post 2A (Dec 15, 2023).xlsx／Main:577｜PU0574 Front Comfort 5 3 Timeout
user presses another control Displayed when user interacts with comfort contr"	1
SWE1-VC-HeatedSteeringWheel-009	HeatedSteeringWheel	yes	found	SWE1-HVAC-104-08	SWE1-HVAC-104-08：The system shall heated Steering Wheel Pop-up: only on status bar	"FM-WI-FSM-037-A03-N1L-SWE1-Comfort-HMI-V0.1 STLA 報告.xlsx／Analysis Report:360;HMI Settings List R1 SR25 Post R1L-R (Feb 13 2026).xlsx／Settings:100｜29.2 Heated Steering Wheel;HMI Settings List R1 SR25 Post R1L-R (Feb 13 2026).xlsx／Settings:106｜30.2 Heated Steering Wheel Heated_Steering_Wheel;Pop Up List HMI R1 SR24 Post 2A (Dec 15, 2023).xlsx／Main:576｜PU0573 Status Bar 5 3 Timeout Displayed when user interacts with comfort controls within the status bar (heate;Pop Up List HMI R1 SR24 Post 2A (Dec 15, 2023).xlsx／Main:577｜PU0574 Front Comfort 5 3 Timeout
user presses another control Displayed when user interacts with comfort contr"	1
SWE1-VC-HeatedSteeringWheel-010	HeatedSteeringWheel	yes	found	SWE1-HVAC-104-08	SWE1-HVAC-104-08：The system shall heated Steering Wheel Pop-up: only on status bar	"FM-WI-FSM-037-A03-N1L-SWE1-Comfort-HMI-V0.1 STLA 報告.xlsx／Analysis Report:360;HMI Settings List R1 SR25 Post R1L-R (Feb 13 2026).xlsx／Settings:100｜29.2 Heated Steering Wheel;HMI Settings List R1 SR25 Post R1L-R (Feb 13 2026).xlsx／Settings:106｜30.2 Heated Steering Wheel Heated_Steering_Wheel;Pop Up List HMI R1 SR24 Post 2A (Dec 15, 2023).xlsx／Main:576｜PU0573 Status Bar 5 3 Timeout Displayed when user interacts with comfort controls within the status bar (heate;Pop Up List HMI R1 SR24 Post 2A (Dec 15, 2023).xlsx／Main:577｜PU0574 Front Comfort 5 3 Timeout
user presses another control Displayed when user interacts with comfort contr"	1
SWE1-VC-HeatedSteeringWheel-011	HeatedSteeringWheel	yes	found	SWE1-HVAC-104-08	SWE1-HVAC-104-08：The system shall heated Steering Wheel Pop-up: only on status bar	"FM-WI-FSM-037-A03-N1L-SWE1-Comfort-HMI-V0.1 STLA 報告.xlsx／Analysis Report:360;HMI Settings List R1 SR25 Post R1L-R (Feb 13 2026).xlsx／Settings:100｜29.2 Heated Steering Wheel;HMI Settings List R1 SR25 Post R1L-R (Feb 13 2026).xlsx／Settings:106｜30.2 Heated Steering Wheel Heated_Steering_Wheel;Pop Up List HMI R1 SR24 Post 2A (Dec 15, 2023).xlsx／Main:576｜PU0573 Status Bar 5 3 Timeout Displayed when user interacts with comfort controls within the status bar (heate;Pop Up List HMI R1 SR24 Post 2A (Dec 15, 2023).xlsx／Main:577｜PU0574 Front Comfort 5 3 Timeout
user presses another control Displayed when user interacts with comfort contr"	1
SWE1-VC-HeatedSteeringWheel-012	HeatedSteeringWheel	yes	found	SWE1-HVAC-104-08	SWE1-HVAC-104-08：The system shall heated Steering Wheel Pop-up: only on status bar	"FM-WI-FSM-037-A03-N1L-SWE1-Comfort-HMI-V0.1 STLA 報告.xlsx／Analysis Report:360;HMI Settings List R1 SR25 Post R1L-R (Feb 13 2026).xlsx／Settings:100｜29.2 Heated Steering Wheel;HMI Settings List R1 SR25 Post R1L-R (Feb 13 2026).xlsx／Settings:106｜30.2 Heated Steering Wheel Heated_Steering_Wheel;Pop Up List HMI R1 SR24 Post 2A (Dec 15, 2023).xlsx／Main:576｜PU0573 Status Bar 5 3 Timeout Displayed when user interacts with comfort controls within the status bar (heate;Pop Up List HMI R1 SR24 Post 2A (Dec 15, 2023).xlsx／Main:577｜PU0574 Front Comfort 5 3 Timeout
user presses another control Displayed when user interacts with comfort contr"	1
