leaf_id	layer3	delegate	comfort_leaf_ids	basis	blocked_ref	screen_source
SWE1-VC-FeaturesEnableCriteria-021	FeaturesEnableCriteria	no		Comfort 037 全集無同一實體功能之對應		
SWE1-VC-FeaturesEnableCriteria-022	FeaturesEnableCriteria	no		Comfort 037 全集無同一實體功能之對應		
SWE1-VC-FeaturesEnableCriteria-023	FeaturesEnableCriteria	no		Comfort 037 全集無同一實體功能之對應		
SWE1-VC-HeatedSteeringWheel-003	HeatedSteeringWheel	yes	SWE1-HVAC-062;SWE1-HVAC-063;SWE1-HVAC-065;SWE1-HVAC-104;SWE1-HVAC-104-08;SWE1-HVAC-126	同一實體功能：加熱方向盤（Layer 3 `HeatedSteeringWheel`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-HeatedSteeringWheel-004	HeatedSteeringWheel	yes	SWE1-HVAC-062;SWE1-HVAC-063;SWE1-HVAC-065;SWE1-HVAC-104;SWE1-HVAC-104-08;SWE1-HVAC-126	同一實體功能：加熱方向盤（Layer 3 `HeatedSteeringWheel`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-HeatedSteeringWheel-005	HeatedSteeringWheel	yes	SWE1-HVAC-062;SWE1-HVAC-063;SWE1-HVAC-065;SWE1-HVAC-104;SWE1-HVAC-104-08;SWE1-HVAC-126	同一實體功能：加熱方向盤（Layer 3 `HeatedSteeringWheel`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-HeatedSteeringWheel-006	HeatedSteeringWheel	yes	SWE1-HVAC-062;SWE1-HVAC-063;SWE1-HVAC-065;SWE1-HVAC-104;SWE1-HVAC-104-08;SWE1-HVAC-126	同一實體功能：加熱方向盤（Layer 3 `HeatedSteeringWheel`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-HeatedSteeringWheel-007	HeatedSteeringWheel	yes	SWE1-HVAC-062;SWE1-HVAC-063;SWE1-HVAC-065;SWE1-HVAC-104;SWE1-HVAC-104-08;SWE1-HVAC-126	同一實體功能：加熱方向盤（Layer 3 `HeatedSteeringWheel`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-HeatedSteeringWheel-008	HeatedSteeringWheel	yes	SWE1-HVAC-062;SWE1-HVAC-063;SWE1-HVAC-065;SWE1-HVAC-104;SWE1-HVAC-104-08;SWE1-HVAC-126	同一實體功能：加熱方向盤（Layer 3 `HeatedSteeringWheel`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-HeatedSteeringWheel-009	HeatedSteeringWheel	yes	SWE1-HVAC-062;SWE1-HVAC-063;SWE1-HVAC-065;SWE1-HVAC-104;SWE1-HVAC-104-08;SWE1-HVAC-126	同一實體功能：加熱方向盤（Layer 3 `HeatedSteeringWheel`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
