old_tc_id	new_tc_id	req_id	batch
NR1L-AMM-200	NR1L-AMM-001	SWE1_AMM_001	B4
NR1L-AMM-235	NR1L-AMM-002	SWE1_AMM_002	B4
NR1L-AMM-201	NR1L-AMM-003	SWE1_AMM_003	B4
NR1L-AMM-090	NR1L-AMM-004	SWE1_AMM_004	B2
NR1L-AMM-091	NR1L-AMM-005	SWE1_AMM_004	B2
NR1L-AMM-202	NR1L-AMM-006	SWE1_AMM_005	B4
NR1L-AMM-203	NR1L-AMM-007	SWE1_AMM_006	B4
NR1L-AMM-204	NR1L-AMM-008	SWE1_AMM_007	B4
NR1L-AMM-092	NR1L-AMM-009	SWE1_AMM_008	B2
NR1L-AMM-205	NR1L-AMM-010	SWE1_AMM_009	B4
NR1L-AMM-206	NR1L-AMM-011	SWE1_AMM_010	B4
NR1L-AMM-251	NR1L-AMM-012	SWE1_AMM_011	B5
NR1L-AMM-252	NR1L-AMM-013	SWE1_AMM_012	B5
NR1L-AMM-207	NR1L-AMM-014	SWE1_AMM_013	B4
NR1L-AMM-093	NR1L-AMM-015	SWE1_AMM_014	B2
NR1L-AMM-094	NR1L-AMM-016	SWE1_AMM_014	B2
NR1L-AMM-095	NR1L-AMM-017	SWE1_AMM_015	B2
NR1L-AMM-253	NR1L-AMM-018	SWE1_AMM_016	B5
NR1L-AMM-254	NR1L-AMM-019	SWE1_AMM_016	B5
NR1L-AMM-255	NR1L-AMM-020	SWE1_AMM_017	B5
NR1L-AMM-256	NR1L-AMM-021	SWE1_AMM_018	B5
NR1L-AMM-257	NR1L-AMM-022	SWE1_AMM_019	B5
NR1L-AMM-208	NR1L-AMM-023	SWE1_AMM_020	B4
NR1L-AMM-258	NR1L-AMM-024	SWE1_AMM_021	B5
NR1L-AMM-260	NR1L-AMM-025	SWE1_AMM_022	B5
NR1L-AMM-259	NR1L-AMM-026	SWE1_AMM_023	B5
NR1L-AMM-209	NR1L-AMM-027	SWE1_AMM_024	B4
NR1L-AMM-262	NR1L-AMM-028	SWE1_AMM_025	B5
NR1L-AMM-157	NR1L-AMM-029	SWE1_AMM_026	B3
NR1L-AMM-112	NR1L-AMM-030	SWE1_AMM_027	B2
NR1L-AMM-113	NR1L-AMM-031	SWE1_AMM_028	B2
NR1L-AMM-263	NR1L-AMM-032	SWE1_AMM_029	B5
NR1L-AMM-096	NR1L-AMM-033	SWE1_AMM_030	B2
NR1L-AMM-097	NR1L-AMM-034	SWE1_AMM_031	B2
NR1L-AMM-098	NR1L-AMM-035	SWE1_AMM_032	B2
NR1L-AMM-264	NR1L-AMM-036	SWE1_AMM_033	B5
NR1L-AMM-265	NR1L-AMM-037	SWE1_AMM_034	B5
NR1L-AMM-266	NR1L-AMM-038	SWE1_AMM_035	B5
NR1L-AMM-267	NR1L-AMM-039	SWE1_AMM_036	B5
NR1L-AMM-268	NR1L-AMM-040	SWE1_AMM_037	B5
NR1L-AMM-269	NR1L-AMM-041	SWE1_AMM_038	B5
NR1L-AMM-270	NR1L-AMM-042	SWE1_AMM_039	B5
NR1L-AMM-271	NR1L-AMM-043	SWE1_AMM_040	B5
NR1L-AMM-272	NR1L-AMM-044	SWE1_AMM_041	B5
NR1L-AMM-273	NR1L-AMM-045	SWE1_AMM_042	B5
NR1L-AMM-274	NR1L-AMM-046	SWE1_AMM_043	B5
NR1L-AMM-159	NR1L-AMM-047	SWE1_AMM_044	B3
NR1L-AMM-276	NR1L-AMM-048	SWE1_AMM_045	B5
NR1L-AMM-277	NR1L-AMM-049	SWE1_AMM_046	B5
NR1L-AMM-278	NR1L-AMM-050	SWE1_AMM_047	B5
NR1L-AMM-275	NR1L-AMM-051	SWE1_AMM_048	B5
NR1L-AMM-279	NR1L-AMM-052	SWE1_AMM_049	B5
NR1L-AMM-160	NR1L-AMM-053	SWE1_AMM_050	B3
NR1L-AMM-161	NR1L-AMM-054	SWE1_AMM_051	B3
NR1L-AMM-162	NR1L-AMM-055	SWE1_AMM_051	B3
NR1L-AMM-302	NR1L-AMM-056	SWE1_AMM_052	B6
NR1L-AMM-163	NR1L-AMM-057	SWE1_AMM_053	B3
NR1L-AMM-164	NR1L-AMM-058	SWE1_AMM_053	B3
NR1L-AMM-165	NR1L-AMM-059	SWE1_AMM_054	B3
NR1L-AMM-167	NR1L-AMM-060	SWE1_AMM_055	B3
NR1L-AMM-168	NR1L-AMM-061	SWE1_AMM_056	B3
NR1L-AMM-303	NR1L-AMM-062	SWE1_AMM_057	B6
NR1L-AMM-114	NR1L-AMM-063	SWE1_AMM_058	B2
NR1L-AMM-116	NR1L-AMM-064	SWE1_AMM_059	B2
NR1L-AMM-117	NR1L-AMM-065	SWE1_AMM_060	B2
NR1L-AMM-118	NR1L-AMM-066	SWE1_AMM_060	B2
NR1L-AMM-119	NR1L-AMM-067	SWE1_AMM_061	B2
NR1L-AMM-304	NR1L-AMM-068	SWE1_AMM_062	B6
NR1L-AMM-169	NR1L-AMM-069	SWE1_AMM_063	B3
NR1L-AMM-170	NR1L-AMM-070	SWE1_AMM_063	B3
NR1L-AMM-171	NR1L-AMM-071	SWE1_AMM_064	B3
NR1L-AMM-172	NR1L-AMM-072	SWE1_AMM_064	B3
NR1L-AMM-166	NR1L-AMM-073	SWE1_AMM_065	B3
NR1L-AMM-115	NR1L-AMM-074	SWE1_AMM_066	B2
NR1L-AMM-173	NR1L-AMM-075	SWE1_AMM_067	B3
NR1L-AMM-174	NR1L-AMM-076	SWE1_AMM_067	B3
NR1L-AMM-120	NR1L-AMM-077	SWE1_AMM_068	B2
NR1L-AMM-121	NR1L-AMM-078	SWE1_AMM_068	B2
NR1L-AMM-122	NR1L-AMM-079	SWE1_AMM_069	B2
NR1L-AMM-123	NR1L-AMM-080	SWE1_AMM_069	B2
NR1L-AMM-124	NR1L-AMM-081	SWE1_AMM_070	B2
NR1L-AMM-125	NR1L-AMM-082	SWE1_AMM_070	B2
NR1L-AMM-126	NR1L-AMM-083	SWE1_AMM_071	B2
NR1L-AMM-127	NR1L-AMM-084	SWE1_AMM_071	B2
NR1L-AMM-175	NR1L-AMM-085	SWE1_AMM_072	B3
NR1L-AMM-177	NR1L-AMM-086	SWE1_AMM_073	B3
NR1L-AMM-178	NR1L-AMM-087	SWE1_AMM_074	B3
NR1L-AMM-176	NR1L-AMM-088	SWE1_AMM_075	B3
NR1L-AMM-128	NR1L-AMM-089	SWE1_AMM_076	B2
NR1L-AMM-158	NR1L-AMM-090	SWE1_AMM_076	B3
NR1L-AMM-179	NR1L-AMM-091	SWE1_AMM_077	B3
NR1L-AMM-180	NR1L-AMM-092	SWE1_AMM_077	B3
NR1L-AMM-129	NR1L-AMM-093	SWE1_AMM_078	B2
NR1L-AMM-130	NR1L-AMM-094	SWE1_AMM_079	B2
NR1L-AMM-280	NR1L-AMM-095	SWE1_AMM_080	B5
NR1L-AMM-181	NR1L-AMM-096	SWE1_AMM_081	B3
NR1L-AMM-182	NR1L-AMM-097	SWE1_AMM_082	B3
NR1L-AMM-183	NR1L-AMM-098	SWE1_AMM_083	B3
NR1L-AMM-184	NR1L-AMM-099	SWE1_AMM_083	B3
NR1L-AMM-185	NR1L-AMM-100	SWE1_AMM_084	B3
NR1L-AMM-187	NR1L-AMM-101	SWE1_AMM_085	B3
NR1L-AMM-099	NR1L-AMM-102	SWE1_AMM_086	B2
NR1L-AMM-188	NR1L-AMM-103	SWE1_AMM_087	B3
NR1L-AMM-189	NR1L-AMM-104	SWE1_AMM_088	B3
NR1L-AMM-190	NR1L-AMM-105	SWE1_AMM_089	B3
NR1L-AMM-191	NR1L-AMM-106	SWE1_AMM_090	B3
NR1L-AMM-186	NR1L-AMM-107	SWE1_AMM_091	B3
NR1L-AMM-312	NR1L-AMM-108	SWE1_AMM_092	B6
NR1L-AMM-313	NR1L-AMM-109	SWE1_AMM_093	B6
NR1L-AMM-315	NR1L-AMM-110	SWE1_AMM_094	B6
NR1L-AMM-314	NR1L-AMM-111	SWE1_AMM_095	B6
NR1L-AMM-316	NR1L-AMM-112	SWE1_AMM_096	B6
NR1L-AMM-317	NR1L-AMM-113	SWE1_AMM_097	B6
NR1L-AMM-319	NR1L-AMM-114	SWE1_AMM_098	B6
NR1L-AMM-318	NR1L-AMM-115	SWE1_AMM_099	B6
NR1L-AMM-320	NR1L-AMM-116	SWE1_AMM_100	B6
NR1L-AMM-321	NR1L-AMM-117	SWE1_AMM_101	B6
NR1L-AMM-322	NR1L-AMM-118	SWE1_AMM_102	B6
NR1L-AMM-323	NR1L-AMM-119	SWE1_AMM_103	B6
NR1L-AMM-325	NR1L-AMM-120	SWE1_AMM_104	B6
NR1L-AMM-324	NR1L-AMM-121	SWE1_AMM_105	B6
NR1L-AMM-281	NR1L-AMM-122	SWE1_AMM_106	B5
NR1L-AMM-282	NR1L-AMM-123	SWE1_AMM_107	B5
NR1L-AMM-210	NR1L-AMM-124	SWE1_AMM_108	B4
NR1L-AMM-283	NR1L-AMM-125	SWE1_AMM_109	B5
NR1L-AMM-327	NR1L-AMM-126	SWE1_AMM_110	B6
NR1L-AMM-328	NR1L-AMM-127	SWE1_AMM_111	B6
NR1L-AMM-329	NR1L-AMM-128	SWE1_AMM_112	B6
NR1L-AMM-330	NR1L-AMM-129	SWE1_AMM_113	B6
NR1L-AMM-192	NR1L-AMM-130	SWE1_AMM_114	B3
NR1L-AMM-331	NR1L-AMM-131	SWE1_AMM_115	B6
NR1L-AMM-333	NR1L-AMM-132	SWE1_AMM_116	B6
NR1L-AMM-332	NR1L-AMM-133	SWE1_AMM_117	B6
NR1L-AMM-334	NR1L-AMM-134	SWE1_AMM_118	B6
NR1L-AMM-193	NR1L-AMM-135	SWE1_AMM_119	B3
NR1L-AMM-335	NR1L-AMM-136	SWE1_AMM_120	B6
NR1L-AMM-336	NR1L-AMM-137	SWE1_AMM_121	B6
NR1L-AMM-236	NR1L-AMM-138	SWE1_AMM_122	B4
NR1L-AMM-040	NR1L-AMM-139	SWE1_AMM_123	B1
NR1L-AMM-041	NR1L-AMM-140	SWE1_AMM_124	B1
NR1L-AMM-042	NR1L-AMM-141	SWE1_AMM_124	B1
NR1L-AMM-284	NR1L-AMM-142	SWE1_AMM_125	B5
NR1L-AMM-286	NR1L-AMM-143	SWE1_AMM_126	B5
NR1L-AMM-285	NR1L-AMM-144	SWE1_AMM_127	B5
NR1L-AMM-287	NR1L-AMM-145	SWE1_AMM_128	B5
NR1L-AMM-043	NR1L-AMM-146	SWE1_AMM_129	B1
NR1L-AMM-044	NR1L-AMM-147	SWE1_AMM_129	B1
NR1L-AMM-045	NR1L-AMM-148	SWE1_AMM_130	B1
NR1L-AMM-046	NR1L-AMM-149	SWE1_AMM_130	B1
NR1L-AMM-305	NR1L-AMM-150	SWE1_AMM_131	B6
NR1L-AMM-001	NR1L-AMM-151	SWE1_AMM_132	B1
NR1L-AMM-002	NR1L-AMM-152	SWE1_AMM_132	B1
NR1L-AMM-003	NR1L-AMM-153	SWE1_AMM_132	B1
NR1L-AMM-004	NR1L-AMM-154	SWE1_AMM_133	B1
NR1L-AMM-005	NR1L-AMM-155	SWE1_AMM_134	B1
NR1L-AMM-006	NR1L-AMM-156	SWE1_AMM_135	B1
NR1L-AMM-007	NR1L-AMM-157	SWE1_AMM_136	B1
NR1L-AMM-008	NR1L-AMM-158	SWE1_AMM_137	B1
NR1L-AMM-064	NR1L-AMM-159	SWE1_AMM_138	B1
NR1L-AMM-047	NR1L-AMM-160	SWE1_AMM_139	B1
NR1L-AMM-306	NR1L-AMM-161	SWE1_AMM_140	B6
NR1L-AMM-194	NR1L-AMM-162	SWE1_AMM_141	B3
NR1L-AMM-009	NR1L-AMM-163	SWE1_AMM_142	B1
NR1L-AMM-010	NR1L-AMM-164	SWE1_AMM_143	B1
NR1L-AMM-011	NR1L-AMM-165	SWE1_AMM_143	B1
NR1L-AMM-012	NR1L-AMM-166	SWE1_AMM_144	B1
NR1L-AMM-211	NR1L-AMM-167	SWE1_AMM_145	B4
NR1L-AMM-212	NR1L-AMM-168	SWE1_AMM_146	B4
NR1L-AMM-195	NR1L-AMM-169	SWE1_AMM_147	B3
NR1L-AMM-196	NR1L-AMM-170	SWE1_AMM_147	B3
NR1L-AMM-213	NR1L-AMM-171	SWE1_AMM_148	B4
NR1L-AMM-214	NR1L-AMM-172	SWE1_AMM_149	B4
NR1L-AMM-197	NR1L-AMM-173	SWE1_AMM_150	B3
NR1L-AMM-215	NR1L-AMM-174	SWE1_AMM_151	B4
NR1L-AMM-216	NR1L-AMM-175	SWE1_AMM_152	B4
NR1L-AMM-198	NR1L-AMM-176	SWE1_AMM_153	B3
