path	suffix	reason
features/audio_mgmt/batches/B1_context.json	.json	.json 之合法落點為 ['data', 'generated', 'inputs', 'sandbox']，實為 batches/
features/audio_mgmt/batches/B2_anchor_proposal.json	.json	.json 之合法落點為 ['data', 'generated', 'inputs', 'sandbox']，實為 batches/
features/audio_mgmt/batches/B2_context.json	.json	.json 之合法落點為 ['data', 'generated', 'inputs', 'sandbox']，實為 batches/
features/audio_mgmt/batches/B3_context.json	.json	.json 之合法落點為 ['data', 'generated', 'inputs', 'sandbox']，實為 batches/
features/audio_mgmt/batches/B4_context.json	.json	.json 之合法落點為 ['data', 'generated', 'inputs', 'sandbox']，實為 batches/
features/audio_mgmt/batches/B5_context.json	.json	.json 之合法落點為 ['data', 'generated', 'inputs', 'sandbox']，實為 batches/
features/audio_mgmt/batches/B6_context.json	.json	.json 之合法落點為 ['data', 'generated', 'inputs', 'sandbox']，實為 batches/
features/audio_mgmt/batches/B7_context.json	.json	.json 之合法落點為 ['data', 'generated', 'inputs', 'sandbox']，實為 batches/
features/audio_mgmt/generated/SWQT_AudioMgmt_B1-B7.xlsx	.xlsx	.xlsx 之合法落點為 ['delivered', 'inputs', 'sandbox']，實為 generated/
features/bed_lowering/batches/B1/b1_tcs.json	.json	.json 之合法落點為 ['data', 'generated', 'inputs', 'sandbox']，實為 batches/
features/bed_lowering/batches/B1/context.json	.json	.json 之合法落點為 ['data', 'generated', 'inputs', 'sandbox']，實為 batches/
features/bed_lowering/batches/B1/lint_report.json	.json	.json 之合法落點為 ['data', 'generated', 'inputs', 'sandbox']，實為 batches/
features/bed_lowering/batches/B1/manifest.json	.json	.json 之合法落點為 ['data', 'generated', 'inputs', 'sandbox']，實為 batches/
features/bed_lowering/batches/B2/b2_tcs.json	.json	.json 之合法落點為 ['data', 'generated', 'inputs', 'sandbox']，實為 batches/
features/bed_lowering/batches/B2/context.json	.json	.json 之合法落點為 ['data', 'generated', 'inputs', 'sandbox']，實為 batches/
features/bed_lowering/batches/B2/lint_report.json	.json	.json 之合法落點為 ['data', 'generated', 'inputs', 'sandbox']，實為 batches/
features/bed_lowering/batches/B2/manifest.json	.json	.json 之合法落點為 ['data', 'generated', 'inputs', 'sandbox']，實為 batches/
features/bed_lowering/batches/B3/b3_tcs.json	.json	.json 之合法落點為 ['data', 'generated', 'inputs', 'sandbox']，實為 batches/
