l2_no	test_set	row037	swe1_id	tc_ids	tc_count	status
13	Audio Tone Settings	63	SWE1-Diagnostics-056	NR1L-DIAG-134	1	COVERED
13	Audio Tone Settings	71	SWE1-Diagnostics-064	NR1L-DIAG-135;NR1L-DIAG-136;NR1L-DIAG-137;NR1L-DIAG-138	4	COVERED
13	Audio Tone Settings	72	SWE1-Diagnostics-065	NR1L-DIAG-139	1	COVERED
13	Audio Tone Settings	73	SWE1-Diagnostics-066	NR1L-DIAG-140;NR1L-DIAG-141;NR1L-DIAG-142;NR1L-DIAG-143	4	COVERED
13	Audio Tone Settings	74	SWE1-Diagnostics-067	NR1L-DIAG-144	1	COVERED
13	Audio Tone Settings	75	SWE1-Diagnostics-068	NR1L-DIAG-145;NR1L-DIAG-146	2	COVERED
13	Audio Tone Settings	76	SWE1-Diagnostics-069	NR1L-DIAG-147	1	COVERED
13	Audio Tone Settings	77	SWE1-Diagnostics-070	NR1L-DIAG-148	1	COVERED
13	Audio Tone Settings	78	SWE1-Diagnostics-071	NR1L-DIAG-149;NR1L-DIAG-150	2	COVERED
13	Audio Tone Settings	79	SWE1-Diagnostics-072	NR1L-DIAG-151	1	COVERED
13	Audio Tone Settings	80	SWE1-Diagnostics-073	NR1L-DIAG-152;NR1L-DIAG-153	2	COVERED
13	Audio Tone Settings	81	SWE1-Diagnostics-074	NR1L-DIAG-154;NR1L-DIAG-155	2	COVERED
13	Audio Tone Settings	82	SWE1-Diagnostics-075	NR1L-DIAG-156	1	COVERED
13	Audio Tone Settings	83	SWE1-Diagnostics-076	NR1L-DIAG-157	1	COVERED
13	Audio Tone Settings	84	SWE1-Diagnostics-077	NR1L-DIAG-158;NR1L-DIAG-159	2	COVERED
13	Audio Tone Settings	85	SWE1-Diagnostics-078	NR1L-DIAG-160	1	COVERED
13	Audio Tone Settings	86	SWE1-Diagnostics-079	NR1L-DIAG-161	1	COVERED
13	Audio Tone Settings	87	SWE1-Diagnostics-080	NR1L-DIAG-162;NR1L-DIAG-163	2	COVERED
13	Audio Tone Settings	88	SWE1-Diagnostics-081	NR1L-DIAG-164	1	COVERED
13	Audio Tone Settings	89	SWE1-Diagnostics-082	NR1L-DIAG-165;NR1L-DIAG-166	2	COVERED
13	Audio Tone Settings	90	SWE1-Diagnostics-083	NR1L-DIAG-167;NR1L-DIAG-168	2	COVERED
13	Audio Tone Settings	91	SWE1-Diagnostics-084	NR1L-DIAG-169	1	COVERED
13	Audio Tone Settings	92	SWE1-Diagnostics-085	NR1L-DIAG-170	1	COVERED
13	Audio Tone Settings	93	SWE1-Diagnostics-086	NR1L-DIAG-171;NR1L-DIAG-172	2	COVERED
13	Audio Tone Settings	94	SWE1-Diagnostics-087	NR1L-DIAG-173	1	COVERED
13	Audio Tone Settings	95	SWE1-Diagnostics-088	NR1L-DIAG-174	1	COVERED
13	Audio Tone Settings	96	SWE1-Diagnostics-089	NR1L-DIAG-175;NR1L-DIAG-176	2	COVERED
13	Audio Tone Settings	97	SWE1-Diagnostics-090	NR1L-DIAG-177	1	COVERED
14	Tuner Control	20	SWE1-Diagnostics-013	NR1L-DIAG-178	1	COVERED
14	Tuner Control	21	SWE1-Diagnostics-014	NR1L-DIAG-179;NR1L-DIAG-180	2	COVERED
14	Tuner Control	22	SWE1-Diagnostics-015	NR1L-DIAG-181	1	COVERED
14	Tuner Control	23	SWE1-Diagnostics-016	NR1L-DIAG-182	1	COVERED
14	Tuner Control	24	SWE1-Diagnostics-017	NR1L-DIAG-183;NR1L-DIAG-184	2	COVERED
14	Tuner Control	25	SWE1-Diagnostics-018	NR1L-DIAG-185	1	COVERED
14	Tuner Control	26	SWE1-Diagnostics-019	NR1L-DIAG-186	1	COVERED
14	Tuner Control	27	SWE1-Diagnostics-020	NR1L-DIAG-187;NR1L-DIAG-188	2	COVERED
14	Tuner Control	28	SWE1-Diagnostics-021	NR1L-DIAG-189	1	COVERED
