tc_id	swe1_id	field	placeholder	dr_token	source_anchor	class
NR1L-DIAG-001	SWE1-Diagnostics-001	expected_result	<brightness byte>	DR-DIAG-5	CFTS004-4939794	TOOL_RESOLVED
NR1L-DIAG-001	SWE1-Diagnostics-001	expected_result	<brightness byte>	DR-DIAG-5	CFTS004-4939794	TOOL_RESOLVED
NR1L-DIAG-001	SWE1-Diagnostics-001	test_procedure	<brightness byte>	DR-DIAG-5	CFTS004-4939794	TOOL_RESOLVED
NR1L-DIAG-003	SWE1-Diagnostics-002	test_procedure	<out-of-range brightness byte>	DR-DIAG-5	CFTS004-4939794	TOOL_RESOLVED
NR1L-DIAG-004	SWE1-Diagnostics-003	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4939794	TOOL_RESOLVED
NR1L-DIAG-004	SWE1-Diagnostics-003	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4939794	TOOL_RESOLVED
NR1L-DIAG-005	SWE1-Diagnostics-004	expected_result	<brightness byte>	DR-DIAG-5	CFTS004-4939793	TOOL_RESOLVED
NR1L-DIAG-007	SWE1-Diagnostics-005	test_procedure	<unsupported DID>	DR-DIAG-6	CFTS004-4939793	TOOL_RESOLVED
NR1L-DIAG-008	SWE1-Diagnostics-006	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4939793	TOOL_RESOLVED
NR1L-DIAG-008	SWE1-Diagnostics-006	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4939793	TOOL_RESOLVED
NR1L-DIAG-009	SWE1-Diagnostics-007	expected_result	<in-motion menu status byte>	DR-DIAG-5	CFTS004-4940346	TOOL_RESOLVED
NR1L-DIAG-009	SWE1-Diagnostics-007	test_procedure	<controlState for "enable in-motion menu">	DR-DIAG-4	CFTS004-4940346	TOOL_RESOLVED
NR1L-DIAG-010	SWE1-Diagnostics-007	expected_result	<navigation in-motion menu item status byte>	DR-DIAG-5	CFTS004-4940346	TOOL_RESOLVED
NR1L-DIAG-012	SWE1-Diagnostics-008	test_procedure	<out-of-range controlState>	DR-DIAG-4	CFTS004-4940346	TOOL_RESOLVED
NR1L-DIAG-013	SWE1-Diagnostics-009	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940346	TOOL_RESOLVED
NR1L-DIAG-013	SWE1-Diagnostics-009	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940346	TOOL_RESOLVED
NR1L-DIAG-014	SWE1-Diagnostics-010	expected_result	<in-motion menu status byte>	DR-DIAG-5	CFTS004-4940346	TOOL_RESOLVED
NR1L-DIAG-014	SWE1-Diagnostics-010	test_procedure	<controlState for "disable in-motion menu">	DR-DIAG-4	CFTS004-4940346	TOOL_RESOLVED
NR1L-DIAG-014	SWE1-Diagnostics-010	test_procedure	<controlState for "enable in-motion menu">	DR-DIAG-4	CFTS004-4940346	TOOL_RESOLVED
NR1L-DIAG-015	SWE1-Diagnostics-010	expected_result	<navigation in-motion menu item status byte>	DR-DIAG-5	CFTS004-4940346	TOOL_RESOLVED
NR1L-DIAG-017	SWE1-Diagnostics-011	test_procedure	<out-of-range controlState>	DR-DIAG-4	CFTS004-4940347	TOOL_RESOLVED
NR1L-DIAG-018	SWE1-Diagnostics-012	test_procedure	<controlState for "enable in-motion menu">	DR-DIAG-4	CFTS004-4940346	TOOL_RESOLVED
NR1L-DIAG-019	SWE1-Diagnostics-012	expected_result	<navigation in-motion menu item status byte>	DR-DIAG-5	CFTS004-4940346	TOOL_RESOLVED
NR1L-DIAG-020	SWE1-Diagnostics-013	expected_result	<currently tuned SDAR channel number byte>	DR-DIAG-5	CFTS004-4939959	TOOL_RESOLVED
NR1L-DIAG-022	SWE1-Diagnostics-014	test_procedure	<unsupported DID>	DR-DIAG-6	CFTS004-4939959	TOOL_RESOLVED
NR1L-DIAG-023	SWE1-Diagnostics-015	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4939959	TOOL_RESOLVED
