# source_sha256	d9a16eed89203e4c110fd4882f84124c4e6c86654ef3bc2cc6d99732456e2e11	 sheet	Basic Report
ID	Space / Document	Outline Number	Description	SYSRE_HMI_Source ID	Type	_polarion
NRL-168247	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	1	Assumptions	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_1	SYSRE_HMI	NR1L/NRL-168247
NRL-168248	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	1.1	See the READ ME file for all disclaimers, general assumptions, general acronyms, general anatomy, general reference documents	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_1.1	SYSRE_HMI	NR1L/NRL-168248
NRL-168249	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	1.2	This specification covers the requirements for the_x000D_\n○    R1 Low: 7", 8.4", 10.1" Landscape, 10.1" Portrait, 10.25", 12.3”_x000D_\n○    R1 High: 10.1" Landscape, 10.25", 12", 12" Portrait, 12.3", 14.46" Portrait_x000D_\n○    Passenger Display_x000D_\n○    RSE_x000D_\n	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_1.2	SYSRE_HMI	NR1L/NRL-168249
NRL-168250	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	1.3	The Change Log for this document is a separate file	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_1.3	SYSRE_HMI	NR1L/NRL-168250
NRL-168251	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	1.4	Differences between the radios will be specified.	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_1.4	SYSRE_HMI	NR1L/NRL-168251
NRL-168252	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	1.5	Differences between Regions will be specified. If not specified, refer to the Market Config Table.	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_1.5	SYSRE_HMI	NR1L/NRL-168252
NRL-168253	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	1.6	Unless otherwise specified, the 12" user interface will be a scaled up version of the 10.1".	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_1.6	SYSRE_HMI	NR1L/NRL-168253
NRL-168254	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	1.7	Unless otherwise specified, the 12.3" user interface will be a scaled up version of the 10.25".	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_1.7	SYSRE_HMI	NR1L/NRL-168254
NRL-168255	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	1.8	Unless otherwise specified, the 14.46" user interface will follow the 12" Portrait logic.n of the 12" Portrait	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_1.8	SYSRE_HMI	NR1L/NRL-168255
NRL-168256	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	1.9	Core behaviors are applicable to all sections of the radio unless otherwise specified.	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_1.9	SYSRE_HMI	NR1L/NRL-168256
NRL-168257	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	2	Reference Documentation	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_2	SYSRE_HMI	NR1L/NRL-168257
NRL-168258	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	2.1	Please refer to the table_x000D_\nHMI Documents | HMI Documents | Other Documents_x000D_\nCore HMI Logic and Flow |  | _x000D_\nHMI Settings List |  | _x000D_\nLast Mode Table |  | _x000D_\nHMI Pop up List |  | _x000D_\nMenu Bar and App Drawer HMI Logic and Flow |  | _x000D_\nDrh.er Lockout HMI Logic and Flow |  | _x000D_\nHome Screen HMI Logic and Flow |  | _x000D_\nPassenger Screen HMI Logic and Flow |  | _x000D_\nRSE HMI Logic and Flow |  | _x000D_\nHard Controls HMI Logic and Flow |  | _x000D_\nKeyboard HMI Logic and Flow |  | _x000D_\nPhone HMI Logic and Flow |  | _x000D_\nProjection HMI Logic and Flow |  | _x000D_\nSteering Wheel Controls HMI Logic and Flow |  | _x000D_\nArabic Mirroring HMI Logic and Flow |  | _x000D_\n |  | _x000D_\n |  | _x000D_\n |  | _x000D_\n |  | _x000D_\n_x000D_\n	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_2.1	SYSRE_HMI	NR1L/NRL-168258
NRL-168259	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	3	Core Notes	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_3	SYSRE_HMI	NR1L/NRL-168259
NRL-168260	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	3.1	Core System	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_3.1	SYSRE_HMI	NR1L/NRL-168260
NRL-168261	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	3.1.1	CN1.) For all text field entry and keypad, when pressing the backspace button will remove a single character with each press. Press and hold of the backspace button for >500ms will perform fast backspace. Long press will remove a single character at an increment of 200ms util the button is released. If the button remains pressed after all characters are removed, rejection tone will be played and the backspace button will be greyed out. 	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_3.1.1	SYSRE_HMI	NR1L/NRL-168261
NRL-168262	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	3.1.1.1	CN1.1) When editing a text field (for example: profile username), dis ay the current text string with the cursor at the end of the text. The saved text is available for the user to edit by placing the cursor anywhere within the text. If the text is ghosted, to be defined in the feature logic, the cursor will default to the beginning of the text and the text will be cleared once the user enters new characters. Exiting without saving will not result in an update to the text field.	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_3.1.1.1	SYSRE_HMI	NR1L/NRL-168262
NRL-168263	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	3.1.2	CN2.) VR will overtake status bar.	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_3.1.2	SYSRE_HMI	NR1L/NRL-168263
NRL-168264	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	3.1.3	CN3.) Head unit features including but not limited to apps, settings, main menu bar categories, and main menu category tabs a-e dependent on vehicle configuration.	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_3.1.3	SYSRE_HMI	NR1L/NRL-168264
NRL-168265	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	3.1.4	CN4.) Brand Names: FCA Brand Names will not be translated.	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_3.1.4	SYSRE_HMI	NR1L/NRL-168265
NRL-168266	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	3.1.5	CN5.) Truncation: If a text string is too long to fit in the text field, truncate the string (displaying as many full words as possible) and put"..." at the end so that it fits within the given text field.	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_3.1.5	SYSRE_HMI	NR1L/NRL-168266
NRL-168267	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	3.1.6	CN6.) Content tiles (ex. apps and controls) within a tab or drawer remain the same size regardless of the amount of content within the screen. Content tiles are left justified.	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_3.1.6	SYSRE_HMI	NR1L/NRL-168267
NRL-168268	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	3.1.7	CN7.) Category Tabs: The Head Unit can have a maximum of 6 tabs in a Category or App used for navigation of the section.	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_3.1.7	SYSRE_HMI	NR1L/NRL-168268
NRL-168269	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	3.1.8	CN8.) Reconfiguring Disabled Icons: Icons that are disabled in areas that allow for reconfiguration should maintain long press behavior so they can be reconfigured. Short press behavior should be ignored or provide feedback as specified by the applicable requirements h the logic and flow.	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_3.1.8	SYSRE_HMI	NR1L/NRL-168269
NRL-168270	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	3.1.9	CN9.) Variable Icons: Some icons may be variable base on brand, vehicle line, region, or configuration. See PDQ graphics and Feature Logic and Flow for details.	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_3.1.9	SYSRE_HMI	NR1L/NRL-168270
NRL-168271	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	3.1.10	CN10.) List Types: Lists include both line item lists and tile-based lists.	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_3.1.10	SYSRE_HMI	NR1L/NRL-168271
NRL-168272	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	3.1.11	CN11.) (R1 LOW ONLY) If an app is not available due to a delay in loading, grey out the icon in all applicable locations. If the user presses the greyed out icon, show PU1285.	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_3.1.11	SYSRE_HMI	NR1L/NRL-168272
NRL-168273	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	3.1.12	CN12.) Apps that are deleted by the user (third party downloaded apps for example) should delete from all areas of the system for the profile they were deleted from.	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_3.1.12	SYSRE_HMI	NR1L/NRL-168273
NRL-168274	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	3.2	Audio	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_3.2	SYSRE_HMI	NR1L/NRL-168274
NRL-168275	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	3.2.1	CNA1.) Tones: Play appropriate audible confirmation where indicated. Refer to CFTS019 for sound definitions.	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_3.2.1	SYSRE_HMI	NR1L/NRL-168275
