para_idx	text
0	Vehicle Setup Management by VP - LTM (R1 Low) [VF665_V42_R6]
1	Vehicle Function Data
2	Vehicle Function Area
3	Infotainment and Telematics
4	Vehicle Function Group
5	General
6	Vehicle Function Owner
7	Fabiola Castaldi
8	Revision Notes
9	Date
10	Author
11	Description
12	2019/23/08
13	Francesca Farolfi
14	First release
15	Carry-Over document from: N.A.
16	Derived document from: VF665_V42_R1_P250MCA
17	2020/02/18
18	Francesca Farolfi
19	CR14128
20	SRXX-2743 (JIRA)
21	1) Paragraph: Functional Requirement
22	Changes: updated "Units" paragraph 
23	2020/05/15
24	Francesca Farolfi
25	CR14506
26	1) Paragraph: Functional Diagram
27	Changes: added IPC_VEHICLE_SETUP2.PassiveEntrySelection and TELEMATIC_VEHICLE_SETUP2.PassiveEntrySelection_Req B-CAN signals and PassiveEntrySelection.Req internal signal. Added Passive_Entry_Types PROXI parameter
28	Removed IPC_VEHICLE_SETUP.AutomaticResetTripB and TELEMATIC_VEHICLE_SETUP.AutomaticResetTripB_Req 
29	2) Paragraph: Functional Requirements
30	Changes: updated "Passive Entry" paragraph and removed "Automatic Reset Trip B" paragraph
31	2020/10/14
32	Pasquale De Marco
33	CR15139
34	1) Paragraph: Functional Diagram                                         
35	Changes: added       IPC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable and TELEMATIC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable _Req B-CAN signals;
36	added HeadlampOnWithWiperEnable.Req internal signal;
37	added Headlamp_On_With_Wiper PROXI parameter
38	2) Paragraph: Functional Requirements
39	Changes: added "Headlamps On with Wipers on" paragraph
40	
41	Pasquale De Marco
42	CR15585: 
43	Impacted Component: LTM
44	1) Paragraph: Functional Requirement
45	Changes: updated according to RAR-2176
46	2022/06/10
47	Fabiola Castaldi
48	CR16309
49	
50	Involved Component: LTM
51	1) Paragraph: Functional Requirement 
52	Change: updated "Trailer Lenght for Blind Spot Alert", adding CAN node 51 (LBSS) and CAN node 52 (RBSS) Proxi parameter
53	RECONSIDER
54	Typo correction in "Trailer Lenght for Blind Spot Alert" (VF_6734)
55	
56	This document is based on template “VF Template 9.2”.
57	Introduction
58	This function describes the management of vehicle setup menu on the LTM
59	Functional Diagram
60	
61	External Interfaces
62	External Inputs
63	VF230
64	VF456
65	VF608
66	VF352
67	VF400
68	VF747
69	VF528
70	VF503
71	External Outputs
72	VF176
73	VF230
74	VF456
75	VF155
76	Control Unit
77	ECU
78	LTM
79	Actuation
80	Logic
81	Sense
82	BCM
83	Gateway
84	Logic
85	TBM
86	Actuation
87	Logic
88	Sense
89	EMCU
90	External Device
91	Additional Component
92	I/O
93	TLM_Display.GUI
94	It is the info telematic display.
95	Server_App.GUI
96	Information
97	Hardwire
98	Internal
99	Cornering_Enable.Req
100	Used to require the Cornering feature setup
101	Day1_Setting.Req
102	Used to require the first value of Day setting
103	Day2_Setting.Req
104	Used to require the second value of Day setting
105	DistanceUnit
106	Used to give information about the distance unit selected
107	Distance_Unit_Setting.Req
108	Used to require the Distance Unit setting
109	External_Light_Sensor_Level_Setting.Req
110	External_Light_Sensor_Level_Setting.Req
111	GPS_Automatic_Time_Adj_Enable.Req
112	Used to require the GPS Automatic Time Adjustment setup
113	Hour1_Setting.Req
114	Used to require the first value of hour setting
115	Hour2_Setting.Req
116	Used to require the second value of hour setting
117	HourMode
118	Used to give information about the  Hour Mode selected
119	Hour_Mode_Setting.Req
