swe	row037	kind	nrc_in_cfts004	nrc_in_037	status
SWE1-Diagnostics-002	9	negative	-	-	兩者皆無值
SWE1-Diagnostics-003	10	unsupported	-	-	兩者皆無值
SWE1-Diagnostics-005	12	negative	-	-	兩者皆無值
SWE1-Diagnostics-006	13	unsupported	-	-	兩者皆無值
SWE1-Diagnostics-008	15	negative	-	-	兩者皆無值
SWE1-Diagnostics-009	16	unsupported	-	-	兩者皆無值
SWE1-Diagnostics-011	18	negative	-	-	兩者皆無值
SWE1-Diagnostics-014	21	negative	-	-	兩者皆無值
SWE1-Diagnostics-015	22	unsupported	-	-	兩者皆無值
SWE1-Diagnostics-017	24	negative	-	-	兩者皆無值
SWE1-Diagnostics-018	25	unsupported	-	-	兩者皆無值
SWE1-Diagnostics-020	27	negative	-	-	兩者皆無值
SWE1-Diagnostics-021	28	unsupported	-	-	兩者皆無值
SWE1-Diagnostics-023	30	negative	-	-	兩者皆無值
SWE1-Diagnostics-024	31	unsupported	-	-	兩者皆無值
SWE1-Diagnostics-026	33	negative	-	-	兩者皆無值
SWE1-Diagnostics-027	34	unsupported	-	-	兩者皆無值
SWE1-Diagnostics-029	36	negative	-	-	兩者皆無值
SWE1-Diagnostics-030	37	unsupported	-	-	兩者皆無值
SWE1-Diagnostics-032	39	negative	-	-	兩者皆無值
SWE1-Diagnostics-033	40	unsupported	-	-	兩者皆無值
SWE1-Diagnostics-034	41	negative	31	31	CFTS004 有值
SWE1-Diagnostics-036	43	negative	-	-	兩者皆無值
SWE1-Diagnostics-037	44	unsupported	-	-	兩者皆無值
SWE1-Diagnostics-039	46	negative	-	-	兩者皆無值
SWE1-Diagnostics-040	47	unsupported	-	-	兩者皆無值
SWE1-Diagnostics-042	49	negative	-	-	兩者皆無值
SWE1-Diagnostics-043	50	unsupported	-	-	兩者皆無值
SWE1-Diagnostics-045	52	negative	-	-	兩者皆無值
SWE1-Diagnostics-046	53	unsupported	-	-	兩者皆無值
SWE1-Diagnostics-048	55	negative	-	-	兩者皆無值
SWE1-Diagnostics-049	56	negative	22	22	CFTS004 有值
SWE1-Diagnostics-059	66	negative	-	-	兩者皆無值
SWE1-Diagnostics-060	67	unsupported	-	11	僅 037 有值
SWE1-Diagnostics-062	69	negative	-	-	兩者皆無值
SWE1-Diagnostics-063	70	unsupported	-	11	僅 037 有值
SWE1-Diagnostics-071	78	negative	-	-	兩者皆無值
SWE1-Diagnostics-072	79	unsupported	-	11	僅 037 有值
SWE1-Diagnostics-074	81	negative	-	-	兩者皆無值
SWE1-Diagnostics-075	82	unsupported	-	-	兩者皆無值
SWE1-Diagnostics-077	84	negative	-	-	兩者皆無值
SWE1-Diagnostics-078	85	unsupported	-	-	兩者皆無值
SWE1-Diagnostics-080	87	negative	-	-	兩者皆無值
SWE1-Diagnostics-081	88	unsupported	-	11	僅 037 有值
SWE1-Diagnostics-083	90	negative	-	-	兩者皆無值
SWE1-Diagnostics-084	91	unsupported	-	-	兩者皆無值
SWE1-Diagnostics-086	93	negative	-	-	兩者皆無值
SWE1-Diagnostics-087	94	unsupported	-	-	兩者皆無值
SWE1-Diagnostics-089	96	negative	-	-	兩者皆無值
SWE1-Diagnostics-090	97	unsupported	-	11	僅 037 有值
SWE1-Diagnostics-092	99	negative	-	-	兩者皆無值
SWE1-Diagnostics-093	100	unsupported	-	-	兩者皆無值
SWE1-Diagnostics-095	102	negative	-	-	兩者皆無值
SWE1-Diagnostics-096	103	unsupported	-	-	兩者皆無值
SWE1-Diagnostics-098	105	negative	-	-	兩者皆無值
SWE1-Diagnostics-099	106	unsupported	-	11	僅 037 有值
SWE1-Diagnostics-101	108	negative	-	-	兩者皆無值
SWE1-Diagnostics-102	109	unsupported	-	-	兩者皆無值
SWE1-Diagnostics-104	111	negative	-	-	兩者皆無值
SWE1-Diagnostics-105	112	unsupported	-	-	兩者皆無值
SWE1-Diagnostics-107	114	negative	22	-	CFTS004 有值
SWE1-Diagnostics-108	115	unsupported	22	-	CFTS004 有值
SWE1-Diagnostics-110	117	negative	-	-	兩者皆無值
SWE1-Diagnostics-111	118	unsupported	-	11	僅 037 有值
