tc_id	req_id	row	batch	test_set	bus_class	final_verdict_mode
newR1L-BLM-001	SWE1-HMI-BLM-011-01	10	pilot	Fault Handling	B	目視
newR1L-BLM-002	SWE1-HMI-BLM-011-02	11	pilot	Fault Handling	B	目視
newR1L-BLM-003	SWE1-HMI-BLM-011-03	12	pilot	Fault Handling	B	目視
newR1L-BLM-004	SWE1-HMI-BLM-011-04	13	pilot	Fault Handling	B	目視
newR1L-BLM-005	SWE1-HMI-BLM-037-01	14	pilot	Fault Handling	B	目視
newR1L-BLM-006	SWE1-HMI-BLM-037-02	15	pilot	Fault Handling	B	目視
newR1L-BLM-007	SWE1-HMI-BLM-037-03	16	pilot	Fault Handling	B	目視
newR1L-BLM-008	SWE1-HMI-BLM-037-04	17	pilot	Fault Handling	B	目視
newR1L-BLM-009	SWE1-HMI-BLM-037-05	18	pilot	Fault Handling	B	目視
newR1L-BLM-010	SWE1-HMI-BLM-038-01	19	pilot	Fault Handling	B	目視
newR1L-BLM-011	SWE1-HMI-BLM-038-02	20	pilot	Fault Handling	B	目視
newR1L-BLM-012	SWE1-HMI-BLM-038-03	21	pilot	Fault Handling	B	目視
newR1L-BLM-013	SWE1-HMI-BLM-038-04	22	pilot	Fault Handling	B	目視
newR1L-BLM-014	SWE1-HMI-BLM-022-01	23	B1	Restore And Exit	A	訊號
newR1L-BLM-015	SWE1-HMI-BLM-027-01	24	B1	Restore And Exit	A	訊號
newR1L-BLM-016	SWE1-HMI-BLM-027-02	25	B1	Restore And Exit	A	訊號
newR1L-BLM-017	SWE1-HMI-BLM-027-03	26	B1	Restore And Exit	B	目視
newR1L-BLM-018	SWE1-HMI-BLM-027-04	27	B1	Restore And Exit	B	目視
newR1L-BLM-019	SWE1-HMI-BLM-027-05	28	B1	Restore And Exit	B	目視
newR1L-BLM-020	SWE1-HMI-BLM-005-01	29	B2	Activation Gating	B	目視
newR1L-BLM-021	SWE1-HMI-BLM-005-02	30	B2	Activation Gating	B	目視
newR1L-BLM-022	SWE1-HMI-BLM-005-03	31	B2	Activation Gating	B	目視
newR1L-BLM-023	SWE1-HMI-BLM-005-04	32	B2	Activation Gating	B	目視
newR1L-BLM-024	SWE1-HMI-BLM-006-01	33	B2	Activation Gating	A	訊號
newR1L-BLM-025	SWE1-HMI-BLM-006-02	34	B2	Activation Gating	A	訊號
newR1L-BLM-026	SWE1-HMI-BLM-006-03	35	B2	Activation Gating	A	訊號
newR1L-BLM-027	SWE1-HMI-BLM-006-04	36	B2	Activation Gating	A	訊號
newR1L-BLM-028	SWE1-HMI-BLM-006-05	37	B2	Activation Gating	A	訊號
newR1L-BLM-029	SWE1-HMI-BLM-007-01	38	B2	Activation Gating	A	訊號
newR1L-BLM-030	SWE1-HMI-BLM-007-02	39	B2	Activation Gating	A	訊號
newR1L-BLM-031	SWE1-HMI-BLM-020-01	40	B2	Activation Gating	A	訊號
newR1L-BLM-032	SWE1-HMI-BLM-020-02	41	B2	Activation Gating	A	訊號
newR1L-BLM-033	SWE1-HMI-BLM-020-03	42	B2	Activation Gating	A	訊號
newR1L-BLM-034	SWE1-HMI-BLM-020-04	43	B2	Activation Gating	A	訊號
newR1L-BLM-035	SWE1-HMI-BLM-020-05	44	B2	Activation Gating	A	訊號
newR1L-BLM-036	SWE1-HMI-BLM-024-01	45	B2	Activation Gating	B	目視
newR1L-BLM-037	SWE1-HMI-BLM-024-02	46	B2	Activation Gating	B	目視
newR1L-BLM-038	SWE1-HMI-BLM-024-03	47	B2	Activation Gating	B	目視
newR1L-BLM-039	SWE1-HMI-BLM-024-04	48	B2	Activation Gating	B	目視
newR1L-BLM-040	SWE1-HMI-BLM-024-05	49	B2	Activation Gating	B	目視
newR1L-BLM-041	SWE1-HMI-BLM-024-06	50	B2	Activation Gating	B	目視
newR1L-BLM-042	SWE1-HMI-BLM-024-07	51	B2	Activation Gating	B	目視
newR1L-BLM-043	SWE1-HMI-BLM-042-01	52	B2	Activation Gating	B	目視
newR1L-BLM-044	SWE1-HMI-BLM-042-02	53	B2	Activation Gating	A	訊號
newR1L-BLM-045	SWE1-HMI-BLM-042-03	54	B2	Activation Gating	B	目視
newR1L-BLM-046	SWE1-HMI-BLM-001-01	55	B3	Lowering Operation	A	訊號
newR1L-BLM-047	SWE1-HMI-BLM-001-02	56	B3	Lowering Operation	B	目視
newR1L-BLM-048	SWE1-HMI-BLM-001-03	57	B3	Lowering Operation	B	目視
newR1L-BLM-049	SWE1-HMI-BLM-001-04	58	B3	Lowering Operation	B	目視
newR1L-BLM-050	SWE1-HMI-BLM-002-01	59	B3	Lowering Operation	A	訊號
newR1L-BLM-051	SWE1-HMI-BLM-002-02	60	B3	Lowering Operation	B	目視
newR1L-BLM-052	SWE1-HMI-BLM-002-03	61	B3	Lowering Operation	B	目視
newR1L-BLM-053	SWE1-HMI-BLM-002-04	62	B3	Lowering Operation	B	目視
newR1L-BLM-054	SWE1-HMI-BLM-002-05	63	B3	Lowering Operation	B	目視
newR1L-BLM-055	SWE1-HMI-BLM-002-06	64	B3	Lowering Operation	B	目視
newR1L-BLM-056	SWE1-HMI-BLM-003-01	65	B3	Lowering Operation	C	目視
newR1L-BLM-057	SWE1-HMI-BLM-003-02	66	B3	Lowering Operation	A	訊號
newR1L-BLM-058	SWE1-HMI-BLM-003-03	67	B3	Lowering Operation	B	目視
newR1L-BLM-059	SWE1-HMI-BLM-003-04	68	B3	Lowering Operation	B	目視
newR1L-BLM-060	SWE1-HMI-BLM-021-01	69	B3	Lowering Operation	A	訊號
newR1L-BLM-061	SWE1-HMI-BLM-021-02	70	B3	Lowering Operation	B	目視
newR1L-BLM-062	SWE1-HMI-BLM-021-03	71	B3	Lowering Operation	A	訊號
newR1L-BLM-063	SWE1-HMI-BLM-035-01	72	B3	Lowering Operation	A	訊號
newR1L-BLM-064	SWE1-HMI-BLM-035-02	73	B3	Lowering Operation	A	訊號
newR1L-BLM-065	SWE1-HMI-BLM-035-03	74	B3	Lowering Operation	A	訊號
newR1L-BLM-066	SWE1-HMI-BLM-035-04	75	B3	Lowering Operation	A	訊號
newR1L-BLM-067	SWE1-HMI-BLM-040-01	76	B3	Lowering Operation	B	目視
newR1L-BLM-068	SWE1-HMI-BLM-040-02	77	B3	Lowering Operation	B	目視
newR1L-BLM-069	SWE1-HMI-BLM-040-03	78	B3	Lowering Operation	B	目視
newR1L-BLM-070	SWE1-HMI-BLM-040-04	79	B3	Lowering Operation	B	目視
newR1L-BLM-071	SWE1-HMI-BLM-041-01	80	B3	Lowering Operation	B	目視
newR1L-BLM-072	SWE1-HMI-BLM-041-02	81	B3	Lowering Operation	B	目視
newR1L-BLM-073	SWE1-HMI-BLM-041-03	82	B3	Lowering Operation	B	目視
newR1L-BLM-074	SWE1-HMI-BLM-041-04	83	B3	Lowering Operation	B	目視
newR1L-BLM-075	SWE1-HMI-BLM-041-05	84	B3	Lowering Operation	B	目視
newR1L-BLM-076	SWE1-HMI-BLM-041-06	85	B3	Lowering Operation	B	目視
newR1L-BLM-077	SWE1-HMI-BLM-009-01	86	B4	Cluster Feedback	B	目視
newR1L-BLM-078	SWE1-HMI-BLM-009-02	87	B4	Cluster Feedback	B	目視
