swe_id	source_req_id	requirement_title	categorization	sub_categorization	verification_method	source_file	tc_status	sysra_hit	sysra_category	sysra_chapter_for_vf	sysra_ee_architecture	sysra_doc_id	remarks
SWE1-VC-PARKSENSEw/oHC.1andPARKSENSEw/oHC.2-001	Sys-RA-VF665_V42_VSM-789	PARK SENSE w/o HC.1 and PARK SENSE w/o HC.2	Heading			parksense	No TC — Heading	hit	Heading	01.11.01.01.29	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-PARKSENSEw/oHC.1andPARKSENSEw/oHC.2-002	Sys-RA-VF665_V42_VSM-790	PARK SENSE w/o HC.1 and PARK SENSE w/o HC.2	Functional Requirement	Vehicle Setting Management (VSM)	1. Software Validation 2. System Validation 3. Integration test.	parksense	leaf	hit	Functional Requirement	01.11.01.01.29	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-PARKSENSEw/oHC.1andPARKSENSEw/oHC.2-003	Sys-RA-VF665_V42_VSM-791	PARK SENSE w/o HC.1 and PARK SENSE w/o HC.2	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.29	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-PARKSENSEw/oHC.1andPARKSENSEw/oHC.2-004	Sys-RA-VF665_V42_VSM-792	PARK SENSE w/o HC.1 and PARK SENSE w/o HC.2	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.29			
SWE1-VC-PARKSENSEw/oHC.1andPARKSENSEw/oHC.2-005	Sys-RA-VF665_V42_VSM-793	PARK SENSE w/o HC.1 and PARK SENSE w/o HC.2	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.29			
SWE1-VC-PARKSENSEw/oHC.1andPARKSENSEw/oHC.2-006	Sys-RA-VF665_V42_VSM-794	PARK SENSE w/o HC.1 and PARK SENSE w/o HC.2	Functional Requirement	Vehicle Setting Management (VSM)	1. Software Validation 2. System Validation 3. Integration test.	parksense	leaf	hit	Functional Requirement	01.11.01.01.29			
SWE1-VC-RearParkSenseVolume/ParkSenseVolume-007	Sys-RA-VF665_V42_VSM-795	Rear Park Sense Volume/ ParkSense Volume	Heading			parksense	No TC — Heading	hit	Heading	01.11.01.01.29			
SWE1-VC-RearParkSenseVolume/ParkSenseVolume-008	Sys-RA-VF665_V42_VSM-796	Rear Park Sense Volume/ ParkSense Volume	Functional Requirement	Vehicle Setting Management (VSM)	1. Software Validation 2. System Validation 3. Integration test.	parksense	leaf	hit	Functional Requirement	01.11.01.01.29			
SWE1-VC-RearParkSenseVolume/ParkSenseVolume-009	Sys-RA-VF665_V42_VSM-797	Rear Park Sense Volume/ ParkSense Volume	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.29			
SWE1-VC-RearParkSenseVolume/ParkSenseVolume-010	Sys-RA-VF665_V42_VSM-798	Rear Park Sense Volume/ ParkSense Volume	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.29			
